scalar_id,generated_table,row_identity,field,value,unit,estimator,independent_unit_count,evidence_status,source_artifact,source_field
offline_cells:model_cell_id=head-large:trainable_parameters,table_offline_model_cells.csv,model_cell_id=head-large,trainable_parameters,1034208,unitless,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.trainable_parameters
offline_cells:model_cell_id=head-large:selection_median_rollout_macro_nll,table_offline_model_cells.csv,model_cell_id=head-large,selection_median_rollout_macro_nll,4.624917984008789,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.selection_median_rollout_macro_nll
offline_cells:model_cell_id=head-large:heldout_rollout_macro_nll_mean,table_offline_model_cells.csv,model_cell_id=head-large,heldout_rollout_macro_nll_mean,3.943328189849854,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.heldout_rollout_macro_nll_mean
offline_cells:model_cell_id=head-large:heldout_rollout_macro_nll_seed_sd,table_offline_model_cells.csv,model_cell_id=head-large,heldout_rollout_macro_nll_seed_sd,0.0006674471670288078,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.heldout_rollout_macro_nll_seed_sd
offline_cells:model_cell_id=head-large:seed_11_nll,table_offline_model_cells.csv,model_cell_id=head-large,seed_11_nll,3.943555450439453,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.seed_11_nll
offline_cells:model_cell_id=head-large:seed_23_nll,table_offline_model_cells.csv,model_cell_id=head-large,seed_23_nll,3.9438523292541503,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.seed_23_nll
offline_cells:model_cell_id=head-large:seed_37_nll,table_offline_model_cells.csv,model_cell_id=head-large,seed_37_nll,3.942576789855957,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=head-large.seed_37_nll
offline_cells:model_cell_id=mlp-h0p0-large:history_horizon_s,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,history_horizon_s,0.0,seconds,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.history_horizon_s
offline_cells:model_cell_id=mlp-h0p0-large:trainable_parameters,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,trainable_parameters,1035312,unitless,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.trainable_parameters
offline_cells:model_cell_id=mlp-h0p0-large:selection_median_rollout_macro_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,selection_median_rollout_macro_nll,4.5907793045043945,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.selection_median_rollout_macro_nll
offline_cells:model_cell_id=mlp-h0p0-large:heldout_rollout_macro_nll_mean,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,heldout_rollout_macro_nll_mean,3.927073987325033,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.heldout_rollout_macro_nll_mean
offline_cells:model_cell_id=mlp-h0p0-large:heldout_rollout_macro_nll_seed_sd,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,heldout_rollout_macro_nll_seed_sd,0.0008563587256699753,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.heldout_rollout_macro_nll_seed_sd
offline_cells:model_cell_id=mlp-h0p0-large:seed_11_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,seed_11_nll,3.927510452270508,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.seed_11_nll
offline_cells:model_cell_id=mlp-h0p0-large:seed_23_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,seed_23_nll,3.9260873317718508,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.seed_23_nll
offline_cells:model_cell_id=mlp-h0p0-large:seed_37_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p0-large,seed_37_nll,3.9276241779327394,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p0-large.seed_37_nll
offline_cells:model_cell_id=mlp-h0p4-large:history_horizon_s,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,history_horizon_s,0.4,seconds,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.history_horizon_s
offline_cells:model_cell_id=mlp-h0p4-large:trainable_parameters,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,trainable_parameters,1035312,unitless,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.trainable_parameters
offline_cells:model_cell_id=mlp-h0p4-large:selection_median_rollout_macro_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,selection_median_rollout_macro_nll,4.580316543579102,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.selection_median_rollout_macro_nll
offline_cells:model_cell_id=mlp-h0p4-large:heldout_rollout_macro_nll_mean,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,heldout_rollout_macro_nll_mean,3.923324282964071,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.heldout_rollout_macro_nll_mean
offline_cells:model_cell_id=mlp-h0p4-large:heldout_rollout_macro_nll_seed_sd,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,heldout_rollout_macro_nll_seed_sd,0.003938390498806065,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.heldout_rollout_macro_nll_seed_sd
offline_cells:model_cell_id=mlp-h0p4-large:seed_11_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,seed_11_nll,3.926110553741455,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.seed_11_nll
offline_cells:model_cell_id=mlp-h0p4-large:seed_23_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,seed_23_nll,3.9188185214996336,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.seed_23_nll
offline_cells:model_cell_id=mlp-h0p4-large:seed_37_nll,table_offline_model_cells.csv,model_cell_id=mlp-h0p4-large,seed_37_nll,3.9250437736511232,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h0p4-large.seed_37_nll
offline_cells:model_cell_id=mlp-h1p0-large:history_horizon_s,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,history_horizon_s,1.0,seconds,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.history_horizon_s
offline_cells:model_cell_id=mlp-h1p0-large:trainable_parameters,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,trainable_parameters,1035312,unitless,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.trainable_parameters
offline_cells:model_cell_id=mlp-h1p0-large:selection_median_rollout_macro_nll,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,selection_median_rollout_macro_nll,4.578094482421875,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.selection_median_rollout_macro_nll
offline_cells:model_cell_id=mlp-h1p0-large:heldout_rollout_macro_nll_mean,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,heldout_rollout_macro_nll_mean,3.9230475743611657,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.heldout_rollout_macro_nll_mean
offline_cells:model_cell_id=mlp-h1p0-large:heldout_rollout_macro_nll_seed_sd,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,heldout_rollout_macro_nll_seed_sd,0.0007163233138393457,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.heldout_rollout_macro_nll_seed_sd
offline_cells:model_cell_id=mlp-h1p0-large:seed_11_nll,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,seed_11_nll,3.9232402801513673,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.seed_11_nll
offline_cells:model_cell_id=mlp-h1p0-large:seed_23_nll,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,seed_23_nll,3.9222546100616453,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.seed_23_nll
offline_cells:model_cell_id=mlp-h1p0-large:seed_37_nll,table_offline_model_cells.csv,model_cell_id=mlp-h1p0-large,seed_37_nll,3.9236478328704836,nats per valid prediction step,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=mlp-h1p0-large.seed_37_nll
offline_cells:model_cell_id=transformer-h0p0-large:history_horizon_s,table_offline_model_cells.csv,model_cell_id=transformer-h0p0-large,history_horizon_s,0.0,seconds,macro mean over declared grouping unit,,retrospective_held_out,postprocess/offline_synthesis.json,model_cell_id=transformer-h0p0-large.history_horizon_s
