model_cell_id,response_stratum,support_status,retained_seeds,independent_init_groups,independent_rollouts,windows_mean,evidence_status,target_speed_profile_RMSE_mps,response_onset_timing_error_s,conflict_zone_entry_time_error_s,conflict_zone_probability_mass
head-large,assertive,observed,3,5,10,240.0,retrospective_held_out,5.5968122482299805,1.2000000476837158,0.0,0.5136731266975403
head-large,reactive_pre_response,observed,3,5,10,266.0,retrospective_held_out,5.368046760559082,0.6299999952316284,0.0028571428265422583,0.47909273703893024
head-large,response_onset,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
head-large,response_active,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
mlp-h1p0-large,assertive,observed,3,5,10,240.0,retrospective_held_out,5.571308612823486,0.41155557831128436,-0.0010256410265962284,0.5201015671094259
mlp-h1p0-large,reactive_pre_response,observed,3,5,10,266.0,retrospective_held_out,5.345967133839925,0.25742856164773303,0.0030036629953732095,0.48029278715451557
mlp-h1p0-large,response_onset,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
mlp-h1p0-large,response_active,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
transformer-h1p0-large,assertive,observed,3,5,10,240.0,retrospective_held_out,5.627071539560954,0.765333354473114,-0.004615384774903457,0.5142671863238016
transformer-h1p0-large,reactive_pre_response,observed,3,5,10,266.0,retrospective_held_out,5.3852494557698565,0.3692222038904826,0.0019047618843615055,0.47641290227572125
transformer-h1p0-large,response_onset,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
transformer-h1p0-large,response_active,sparse_or_absent,0,0,0,,retrospective_held_out,,,,
