category,contrast_id,metric,effect,ci95_low,ci95_high,raw_sign_flip_p,holm_adjusted_p,independent_groups,evidence_status
primary,H1_capacity_transformer_full_small_minus_large,rollout_macro_nll,0.0004130045572916666,0.0003067970275878906,0.0004961013793945313,0.09090909090909091,0.36363636363636365,5,retrospective_held_out
primary,H2_information_mlp_snapshot_minus_full,rollout_macro_nll,0.004026412963867188,0.00338279406229655,0.004649766286214193,0.09090909090909091,0.36363636363636365,5,retrospective_held_out
primary,H2_information_transformer_snapshot_minus_full,rollout_macro_nll,0.003728008270263672,0.002824831008911133,0.004523388544718425,0.09090909090909091,0.36363636363636365,5,retrospective_held_out
primary,H3_attention_history_gain_difference_in_differences,rollout_macro_nll,-0.0002984046936035156,-0.0014114379882812498,0.0006196498870849609,0.696969696969697,0.696969696969697,5,retrospective_held_out
direct_architecture,architecture_direct_mlp_minus_transformer__h0p0__large,rollout_macro_nll,0.007006231943766277,0.0061345736185709635,0.008150307337443034,0.09090909090909091,,5,retrospective_held_out
direct_architecture,architecture_direct_mlp_minus_transformer__h0p4__large,rollout_macro_nll,0.007503032684326172,0.005857515335083008,0.008625125885009766,0.09090909090909091,,5,retrospective_held_out
direct_architecture,architecture_direct_mlp_minus_transformer__h1p0__large,rollout_macro_nll,0.006707827250162761,0.005067761739095053,0.008057117462158203,0.09090909090909091,,5,retrospective_held_out
supporting,capacity_transformer_full_medium_minus_large,rollout_macro_nll,-0.0009842554728190104,-0.001726706822713216,-0.00040946006774902346,0.09090909090909091,,5,retrospective_held_out
supporting,capacity_transformer_full_small_minus_medium,rollout_macro_nll,0.0013972600301106772,0.0008618036905924479,0.0020664850870768226,0.09090909090909091,,5,retrospective_held_out
supporting,B1_minus_mlp_full_large,rollout_macro_nll,0.020280615488688154,0.01589811642964681,0.02489811579386393,0.09090909090909091,,5,retrospective_held_out
supporting,B1_minus_transformer_full_large,rollout_macro_nll,0.02698844273885091,0.024020210901896162,0.029987780253092445,0.09090909090909091,,5,retrospective_held_out
