contrast_family,inference_scope,contrast,metric,a_label,b_label,n_pairs,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_sign_flip_p_two_sided,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,completion_time_s,B1,B0,10,-0.29500000439584256,-0.10000000149011612,0.4935416300502749,-0.6200000092387199,-0.07000000104308128,0.015625,1,8,1,0.234375
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,min_footprint_separation_m,B1,B0,10,-0.03942250067090978,0.0003876908647991728,0.10492021767716053,-0.10842559993516925,0.011555003080859758,0.291015625,5,5,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,solver_failure_fraction,B1,B0,10,8.946759075460757e-05,2.223983572620554e-05,0.00018850474796325073,8.991604956062188e-06,0.00021719193078996438,0.0625,6,1,3,0.875
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,supervisor_active_fraction,B1,B0,10,0.003994641276989891,0.0014565183766960532,0.005961963987577175,0.0009322069456105586,0.007814594658318264,0.01171875,8,1,1,0.1875
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,completion_time_s,B1,B0,5,-0.13000000193715094,-0.10000000149011612,0.18907670682935282,-0.30000000447034836,-0.010000000149011612,0.1875,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,min_footprint_separation_m,B1,B0,5,-0.035051273417287664,-0.02747575781989342,0.04749979170502225,-0.07237533287112993,0.002272786036554608,0.25,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,solver_failure_fraction,B1,B0,5,4.3845073253083285e-05,2.391200382592055e-05,7.742392347074278e-05,-5.360571603960258e-06,0.0001136218389256963,0.375,3,1,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,supervisor_active_fraction,B1,B0,5,0.0015861796993819788,0.0013874837404249107,0.0021246440542637326,0.00013708304840876485,0.0034659236536149995,0.1875,4,1,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,completion_time_s,B1,B0,5,-0.4600000068545341,-0.15000000223517418,0.6665208273112565,-1.060000015795231,-0.05000000074505806,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,min_footprint_separation_m,B1,B0,5,-0.043793727924531886,0.005970569733273257,0.14988184644220148,-0.18121729863499786,0.046244813745355676,0.9375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,solver_failure_fraction,B1,B0,5,0.00013509010825613188,2.056766762649053e-05,0.0002622090593915547,4.1135335252981065e-06,0.0003720084926293367,0.25,3,0,2,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,supervisor_active_fraction,B1,B0,5,0.006403102854597803,0.0020398200774085495,0.0078077174988131996,0.0006959113622525881,0.012985064458172685,0.125,4,0,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_medium__pooled,completion_time_s,B1,B0,10,0.30000000447034836,0.02500000037252903,1.149154295519613,-0.37500000558793545,0.9900000147521496,0.5078125,5,4,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_medium__pooled,min_footprint_separation_m,B1,B0,10,-0.041156100290423395,-0.005036966787850261,0.10025730431992917,-0.10777945349653706,0.002863364790511648,0.15234375,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_medium__pooled,solver_failure_fraction,B1,B0,10,-0.000685974065086952,-3.6484960176302005e-05,0.001580886620103373,-0.001761698484148521,2.618638377463413e-05,0.15625,2,6,2,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_medium__pooled,supervisor_active_fraction,B1,B0,10,-0.00204585855090265,-0.0003189792663476909,0.016221295412268473,-0.011409674035317006,0.0077044119493761155,0.68359375,4,5,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__assertive,completion_time_s,B1,B0,5,0.6500000096857548,0.05000000074505806,1.202601365000726,-0.2500000037252903,1.6400000244379043,0.4375,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__assertive,min_footprint_separation_m,B1,B0,5,-0.07003563941301479,-0.011571547637681867,0.13975802533557483,-0.19215434890818525,0.010468651349480895,0.3125,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__assertive,solver_failure_fraction,B1,B0,5,-0.0014078642749750267,-0.0009183673469387752,0.002034508136312652,-0.003193733952795394,-0.00019278716271197444,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__assertive,supervisor_active_fraction,B1,B0,5,-0.006546753381293485,-0.0006379585326953818,0.015923080271936944,-0.01942842525544656,0.005437604884038228,0.4375,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,completion_time_s,B1,B0,5,-0.05000000074505806,0.0,1.1039701247414173,-0.9600000143051147,0.8600000128149986,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,min_footprint_separation_m,B1,B0,5,-0.012276561167832,1.716196462142605e-05,0.03160001282974588,-0.04072776326037593,0.0034028454721801047,0.875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,solver_failure_fraction,B1,B0,5,3.5916144801122725e-05,0.0,0.00042563904085057445,-0.00029574072522682885,0.0004058208649313385,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_medium__reactive,supervisor_active_fraction,B1,B0,5,0.0024550362794881846,0.0,0.01696625577094251,-0.010295365969090819,0.017450297192047548,0.75,2,2,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,completion_time_s,B1,B0,10,0.10000000149011612,-0.02500000037252903,1.154219330077927,-0.5600000083446502,0.745000011101365,0.9765625,4,5,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,min_footprint_separation_m,B1,B0,10,-0.09844688055914068,-0.0055816539437014145,0.1912319064993764,-0.22299884850247548,-0.0007829755274083391,0.162109375,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,solver_failure_fraction,B1,B0,10,-0.0010789874650908005,-2.029097254631438e-05,0.001844596035366066,-0.0022892270277562734,-0.00011712545290130973,0.09375,2,5,3,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_conservative__pooled,supervisor_active_fraction,B1,B0,10,-0.0035231758316324165,0.00031223083548664876,0.013277323260093883,-0.01202295052147189,0.003286574546711689,0.48046875,5,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,completion_time_s,B1,B0,5,-0.17000000253319741,-0.20000000298023224,0.1440486050553708,-0.2800000041723251,-0.06000000089406967,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,min_footprint_separation_m,B1,B0,5,-0.06069986861564967,0.0005694009517192011,0.15917981982665091,-0.20352524103608757,0.027036692587709864,0.75,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,solver_failure_fraction,B1,B0,5,-0.0009186917933300778,0.0,0.0021720836800541155,-0.002876720386744444,0.00011203174232699287,1.0,2,1,2,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__assertive,supervisor_active_fraction,B1,B0,5,0.003394797294945079,0.0030808729139923108,0.0038777380955177464,0.0008215137204712175,0.006692840695497415,0.125,4,0,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,completion_time_s,B1,B0,5,0.37000000551342965,0.10000000149011612,1.6716758308005146,-0.8900000132620335,1.5400000229477881,0.8125,4,1,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,min_footprint_separation_m,B1,B0,5,-0.1361938925026317,-0.011077255785004403,0.23104412419691361,-0.3481078327205167,-0.00016551984344193027,0.1875,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,solver_failure_fraction,B1,B0,5,-0.001239283136851523,-0.0005651482026799923,0.0016951455488181508,-0.002744153367459601,-0.00012926241857304997,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_conservative__reactive,supervisor_active_fraction,B1,B0,5,-0.010441148958209912,-0.0014203680782419736,0.016185293354053457,-0.02433092746239999,0.0013386336813114741,0.3125,1,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,completion_time_s,B1,B0,10,0.11000000163912774,-0.10000000149011612,0.9691921178629387,-0.3500000052154064,0.7551250112522284,0.888671875,4,6,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,min_footprint_separation_m,B1,B0,10,-0.02115966825609562,0.005689654670011202,0.10512235408715753,-0.09121108592337815,0.021546033713904976,0.91015625,6,4,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,solver_failure_fraction,B1,B0,10,0.00036283939679596186,0.0,0.0014455322141150016,-0.00027254684105042156,0.0013357611858863913,0.671875,4,4,2,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__adaptive__pooled,supervisor_active_fraction,B1,B0,10,-0.0009497975222557325,0.0014008125772831531,0.013274501157555716,-0.009930560862549228,0.00544704245605567,0.904296875,6,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,completion_time_s,B1,B0,5,0.29000000432133677,-0.10000000149011612,1.3898741157279808,-0.6400000095367432,1.5500000230967999,0.9375,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,min_footprint_separation_m,B1,B0,5,0.004508068493836626,0.0003605115792150171,0.023164815920797395,-0.013323899738567823,0.02291669299101362,0.6875,3,2,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__adaptive__assertive,solver_failure_fraction,B1,B0,5,-0.00011797102943387413,0.0,0.0005702719559676078,-0.0006399311501996083,0.00027016292280876707,0.875,2,2,1,1.0
