predictor,risk_policy,target_style,target_offset_m,rollouts,mean_target_clearance_adjusted_completion_delay_s,mean_min_footprint_separation_m,mean_solver_failure_fraction,mean_supervisor_active_fraction,collisions,yield_order_failures
B0,adaptive,assertive,-3.0,5,8.830000131577254,1.2618985677421033,0.0,0.15661232810414671,0.0,0.0
B0,adaptive,assertive,3.0,5,9.410000140219926,1.9181988188379464,0.022115483813822993,0.09997924419111477,0.0,0.0
B0,adaptive,reactive,-3.0,5,9.900000147521496,1.1786512770903905,0.0,0.17528066812058044,0.0,0.0
B0,adaptive,reactive,3.0,5,8.57000012770295,1.8427065794122952,0.020677965402106906,0.10527166099168102,0.0,0.0
B0,fixed_medium,assertive,-3.0,5,8.840000131726265,1.2902301519122967,0.0,0.15913184863568786,0.0,0.0
B0,fixed_medium,assertive,3.0,5,9.320000138878822,1.6865335527182688,0.018791066413357337,0.09983158054840276,0.0,0.0
B0,fixed_medium,reactive,-3.0,5,9.940000148117543,1.2106001015945622,0.0,0.1745460370605379,0.0,0.0
B0,fixed_medium,reactive,3.0,5,8.81000013127923,1.7017021436631121,0.020517564166096104,0.10417365270730224,0.0,0.0
B1,adaptive,assertive,-3.0,5,8.540000127255917,1.0709627663582828,0.0,0.15947338659268867,0.0,0.0
B1,adaptive,assertive,3.0,5,8.590000128000975,1.8732519321345609,0.022805876494326343,0.10689835645610721,0.0,0.0
B1,adaptive,reactive,-3.0,5,8.690000129491091,1.0482139899415057,0.0,0.1950984953799699,0.0,0.0
B1,adaptive,reactive,3.0,5,8.660000129044056,2.0383552304905637,0.024738383522106465,0.10889186243582279,0.0,0.0
B1,fixed_medium,assertive,-3.0,5,8.470000126212835,1.1470075881190525,0.0,0.16389294156414333,0.0,0.0
B1,fixed_medium,assertive,3.0,5,8.360000124573707,1.6517913959387092,0.019962357239102762,0.10752565738659026,0.0,0.0
B1,fixed_medium,reactive,-3.0,5,8.800000131130219,1.1113335262414394,0.0,0.19256253237694285,0.0,0.0
B1,fixed_medium,reactive,3.0,5,8.470000126212835,1.6451366436025077,0.0211202509650875,0.1075289734194768,0.0,0.0
