inference_scope,contrast,metric,left_minus_right_mean,ci95_low,ci95_high,exact_init_cluster_sign_flip_p,condition_pairs,independent_init_groups,holm_adjusted_p_within_scope
predictor_primary,B1_minus_B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.7025000104680658,-1.1050000164657832,-0.20750000309199096,0.125,20,5,1.0
predictor_primary,B1_minus_B0__fixed_medium,min_footprint_separation_m,-0.0834491989966329,-0.23781940238707797,0.00470439445273646,0.375,20,5,1.0
predictor_primary,B1_minus_B0__fixed_medium,solver_failure_fraction,0.000443494406184204,0.00011493220124315379,0.0007411985681533594,0.125,20,5,1.0
predictor_primary,B1_minus_B0__fixed_medium,supervisor_active_fraction,0.008456746448805624,0.0018317249336794162,0.01470103143014132,0.125,20,5,1.0
predictor_primary,B1_minus_B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.5575000083073973,-0.877500013075769,-0.23500000350177289,0.125,20,5,1.0
predictor_primary,B1_minus_B0__adaptive,min_footprint_separation_m,-0.04266783103945563,-0.16835465093239751,0.06718304451750208,0.625,20,5,1.0
predictor_primary,B1_minus_B0__adaptive,solver_failure_fraction,0.0011877027001257275,0.0004585528190350057,0.0020426071287062467,0.125,20,5,1.0
predictor_primary,B1_minus_B0__adaptive,supervisor_active_fraction,0.008304549864266415,0.0010280500635044473,0.015236194874546083,0.125,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B1,target_clearance_adjusted_completion_delay_s,0.09500000141561031,-0.38250000569969417,0.5875000087544322,0.75,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B1,min_footprint_separation_m,0.11887869125580108,0.03688377142691957,0.18977800227613587,0.125,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B1,solver_failure_fraction,0.001615412953060637,-0.0003031279409278005,0.003533953847049075,0.25,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B1,supervisor_active_fraction,-0.0002870009706411623,-0.003005132994908462,0.002473025466148317,0.9375,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B0,target_clearance_adjusted_completion_delay_s,-0.05000000074505806,-0.8850000131875276,0.567500008456409,1.0,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B0,min_footprint_separation_m,0.07809732329862382,0.023979605431762065,0.13683611038382076,0.125,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B0,solver_failure_fraction,0.0008712046591191137,-0.001102043875663612,0.0028444531939018393,0.625,20,5,1.0
policy_primary,adaptive_minus_fixed_medium__B0,supervisor_active_fraction,-0.00013480438610195337,-0.0048579689717860326,0.007158529507647194,1.0,20,5,1.0
offset_primary,offset_p3_minus_m3__B1__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.22000000327825547,-0.9900000147521496,0.5500000081956387,0.6875,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__fixed_medium,min_footprint_separation_m,0.5192934625903625,0.34150810901676837,0.7018565354429658,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__fixed_medium,solver_failure_fraction,0.02054130410209513,0.015350491849656145,0.02686503218736721,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__fixed_medium,supervisor_active_fraction,-0.07070042156750958,-0.08596033337271772,-0.05420578618711371,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__adaptive,target_clearance_adjusted_completion_delay_s,0.010000000149011612,-1.055000015720725,1.4800000220537186,0.9375,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__adaptive,min_footprint_separation_m,0.896215203162668,0.45445175079208566,1.3379786555332505,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__adaptive,solver_failure_fraction,0.023772130008216406,0.01806263116116785,0.02898625294895752,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B1__adaptive,supervisor_active_fraction,-0.06939083154036428,-0.09359733136829959,-0.04654404547348534,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.3250000048428774,-1.805000026896596,1.2100000180304051,0.75,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__fixed_medium,min_footprint_separation_m,0.4437027214372612,0.32436854079801536,0.549660335556685,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__fixed_medium,solver_failure_fraction,0.019654315289726724,0.013997642897003542,0.02671005194891498,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__fixed_medium,supervisor_active_fraction,-0.06483632622026038,-0.08162165875383494,-0.04805099368668582,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.37500000558793545,-1.2050000179558993,0.45500000678002833,0.4375,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__adaptive,min_footprint_separation_m,0.6601777767088738,0.43130237353509937,0.8844687574157556,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__adaptive,solver_failure_fraction,0.02139672460796495,0.01539612207026803,0.02662315703243029,0.0625,10,5,1.0
offset_primary,offset_p3_minus_m3__B0__adaptive,supervisor_active_fraction,-0.0633210455209657,-0.07639556563270629,-0.05005237491797904,0.0625,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__fixed_medium,target_clearance_adjusted_completion_delay_s,0.10500000156462193,-0.8300000123679638,1.0400000154972076,0.875,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__fixed_medium,min_footprint_separation_m,0.07559074115310124,-0.027404816926611675,0.21918120941006278,0.375,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__fixed_medium,solver_failure_fraction,0.000886988812368408,0.0002762148269563398,0.0014823971363067188,0.125,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__fixed_medium,supervisor_active_fraction,-0.005864095347249193,-0.019219757342892045,0.007270226414572386,0.5,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__adaptive,target_clearance_adjusted_completion_delay_s,0.38500000573694704,-0.5400000080466271,1.4000000208616257,0.5625,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__adaptive,min_footprint_separation_m,0.2360374264537942,-0.0019032200196053006,0.50096947891959,0.25,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__adaptive,solver_failure_fraction,0.002375405400251455,0.0008326717431184269,0.0040852142574124934,0.125,10,5,1.0
predictor_x_offset_primary,predictor_x_offset__adaptive,supervisor_active_fraction,-0.006069786019398596,-0.02524839574188467,0.010300323918678975,0.625,10,5,1.0
policy_x_offset_primary,policy_x_offset__B1,target_clearance_adjusted_completion_delay_s,0.23000000342726706,-0.8950000133365392,1.4300000213086606,0.8125,10,5,1.0
policy_x_offset_primary,policy_x_offset__B1,min_footprint_separation_m,0.3769217405723056,0.09287091285586417,0.6609725682887471,0.125,10,5,0.875
policy_x_offset_primary,policy_x_offset__B1,solver_failure_fraction,0.003230825906121274,-0.000606255881855601,0.00706790769409815,0.25,10,5,1.0
policy_x_offset_primary,policy_x_offset__B1,supervisor_active_fraction,0.0013095900271452867,-0.012254397202616077,0.015159247112929108,0.9375,10,5,1.0
policy_x_offset_primary,policy_x_offset__B0,target_clearance_adjusted_completion_delay_s,-0.05000000074505806,-1.6800000250339509,1.2050000179558993,0.9375,10,5,1.0
policy_x_offset_primary,policy_x_offset__B0,min_footprint_separation_m,0.21647505527161265,0.0673693159488578,0.3655807945943675,0.0625,10,5,0.5
policy_x_offset_primary,policy_x_offset__B0,solver_failure_fraction,0.0017424093182382273,-0.002204087751327224,0.005688906387803679,0.625,10,5,1.0
policy_x_offset_primary,policy_x_offset__B0,supervisor_active_fraction,0.0015152806992946896,-0.009900485353208659,0.015055660230642856,0.8125,10,5,1.0
