cell,ego_init_id,split,scenario_dir,rollout_episode_index,monitored_role,other_actor_id,other_actor_type,episode_index_for_actor,start_frame,end_frame,unique_frames,callbacks,max_impulse,start_global_carla_time_s,end_global_carla_time_s
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,1,target_2,106,traffic.traffic_light,1,265851,265852,2,4,374.5103067351464,13292.55,13292.6
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,2,target_2,106,traffic.traffic_light,2,265854,265857,4,9,194.34230992312268,13292.7,13292.85
S1_FIXED,10,train,scenario_uk_give_way_ego_init_10_smpc_fixed_risk,1,target_2,0,static.wall,1,270002,270035,34,180,2907.953216894069,13500.1,13501.75
S1_FIXED,10,train,scenario_uk_give_way_ego_init_10_smpc_fixed_risk,2,target_2,106,traffic.traffic_light,1,269965,269965,1,1,15130.476883150548,13498.25,13498.25
S1_FIXED,10,train,scenario_uk_give_way_ego_init_10_smpc_fixed_risk,3,target_2,106,traffic.traffic_light,2,269971,269974,4,20,473.4255297148539,13498.55,13498.7
S1_FIXED,10,train,scenario_uk_give_way_ego_init_10_smpc_fixed_risk,4,target_2,106,traffic.traffic_light,3,269978,269980,3,9,303.7355568436675,13498.9,13499.0
S1_ADAPTIVE,7,train,scenario_uk_give_way_ego_init_07_smpc_var_risk,1,target_2,106,traffic.traffic_light,1,369973,369973,1,1,2563.300710948198,18498.65,18498.65
S1_ADAPTIVE,10,train,scenario_uk_give_way_ego_init_10_smpc_var_risk,1,target_2,106,traffic.traffic_light,1,376460,376461,2,4,404.6090297890154,18823.0,18823.05
S1_ADAPTIVE,10,train,scenario_uk_give_way_ego_init_10_smpc_var_risk,2,target_2,106,traffic.traffic_light,2,376464,376464,1,1,113.98383452718804,18823.2,18823.2
S1_ADAPTIVE,10,train,scenario_uk_give_way_ego_init_10_smpc_var_risk,3,target_2,106,traffic.traffic_light,3,376466,376466,1,2,250.94967495575386,18823.3,18823.3
S1_ADAPTIVE,19,train,scenario_uk_give_way_ego_init_19_smpc_var_risk,1,target_2,106,traffic.traffic_light,1,395518,395519,2,4,297.84364321763655,19775.9,19775.95
S1_ADAPTIVE,19,train,scenario_uk_give_way_ego_init_19_smpc_var_risk,2,target_2,106,traffic.traffic_light,2,395521,395522,2,2,150.89420252626078,19776.05,19776.1
S1_ADAPTIVE,19,train,scenario_uk_give_way_ego_init_19_smpc_var_risk,3,target_2,106,traffic.traffic_light,3,395524,395524,1,4,198.33755083738095,19776.2,19776.2
S1_ADAPTIVE,27,train,scenario_uk_give_way_ego_init_27_smpc_var_risk,1,target_2,106,traffic.traffic_light,1,412256,412257,2,4,373.2291892371498,20612.8,20612.85
S1_ADAPTIVE,27,train,scenario_uk_give_way_ego_init_27_smpc_var_risk,2,target_2,106,traffic.traffic_light,2,412259,412259,1,4,135.06245895342076,20612.95,20612.95
S1_ADAPTIVE,27,train,scenario_uk_give_way_ego_init_27_smpc_var_risk,3,target_2,106,traffic.traffic_light,3,412262,412262,1,4,123.46233660955409,20613.1,20613.1
