cell,ego_init_id,split,scenario_dir,collision_callbacks,unique_collision_frames,contact_episodes,monitored_roles,other_actor_types,labeled_samples,usable_windows,full_horizon_windows,history_overlap_windows,future_overlap_windows,post_collision_windows,affected_usable_windows,affected_window_semantics
S0_FIXED,1,train,scenario_uk_give_way_ego_init_01_smpc_fixed_risk,0,0,0,,,53,24,15,0,0,0,0,exact_zero
S0_FIXED,2,train,scenario_uk_give_way_ego_init_02_smpc_fixed_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_FIXED,3,train,scenario_uk_give_way_ego_init_03_smpc_fixed_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_FIXED,4,train,scenario_uk_give_way_ego_init_04_smpc_fixed_risk,0,0,0,,,62,24,15,0,0,0,0,exact_zero
S0_FIXED,5,train,scenario_uk_give_way_ego_init_05_smpc_fixed_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_FIXED,6,train,scenario_uk_give_way_ego_init_06_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,7,train,scenario_uk_give_way_ego_init_07_smpc_fixed_risk,0,0,0,,,71,24,15,0,0,0,0,exact_zero
S0_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_FIXED,9,train,scenario_uk_give_way_ego_init_09_smpc_fixed_risk,0,0,0,,,71,24,15,0,0,0,0,exact_zero
S0_FIXED,10,train,scenario_uk_give_way_ego_init_10_smpc_fixed_risk,0,0,0,,,61,24,15,0,0,0,0,exact_zero
S0_FIXED,11,train,scenario_uk_give_way_ego_init_11_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_FIXED,12,train,scenario_uk_give_way_ego_init_12_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_FIXED,13,train,scenario_uk_give_way_ego_init_13_smpc_fixed_risk,0,0,0,,,58,24,15,0,0,0,0,exact_zero
S0_FIXED,14,train,scenario_uk_give_way_ego_init_14_smpc_fixed_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_FIXED,15,train,scenario_uk_give_way_ego_init_15_smpc_fixed_risk,0,0,0,,,59,24,15,0,0,0,0,exact_zero
S0_FIXED,16,train,scenario_uk_give_way_ego_init_16_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,17,train,scenario_uk_give_way_ego_init_17_smpc_fixed_risk,0,0,0,,,58,24,15,0,0,0,0,exact_zero
S0_FIXED,18,train,scenario_uk_give_way_ego_init_18_smpc_fixed_risk,0,0,0,,,56,24,15,0,0,0,0,exact_zero
S0_FIXED,19,train,scenario_uk_give_way_ego_init_19_smpc_fixed_risk,0,0,0,,,53,24,15,0,0,0,0,exact_zero
S0_FIXED,20,train,scenario_uk_give_way_ego_init_20_smpc_fixed_risk,0,0,0,,,62,24,15,0,0,0,0,exact_zero
S0_FIXED,21,train,scenario_uk_give_way_ego_init_21_smpc_fixed_risk,0,0,0,,,51,24,15,0,0,0,0,exact_zero
S0_FIXED,22,train,scenario_uk_give_way_ego_init_22_smpc_fixed_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
S0_FIXED,23,train,scenario_uk_give_way_ego_init_23_smpc_fixed_risk,0,0,0,,,53,24,15,0,0,0,0,exact_zero
S0_FIXED,24,train,scenario_uk_give_way_ego_init_24_smpc_fixed_risk,0,0,0,,,61,24,15,0,0,0,0,exact_zero
S0_FIXED,25,train,scenario_uk_give_way_ego_init_25_smpc_fixed_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_FIXED,26,train,scenario_uk_give_way_ego_init_26_smpc_fixed_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_FIXED,27,train,scenario_uk_give_way_ego_init_27_smpc_fixed_risk,0,0,0,,,50,24,15,0,0,0,0,exact_zero
S0_FIXED,28,train,scenario_uk_give_way_ego_init_28_smpc_fixed_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_FIXED,29,train,scenario_uk_give_way_ego_init_29_smpc_fixed_risk,0,0,0,,,58,24,15,0,0,0,0,exact_zero
S0_FIXED,30,train,scenario_uk_give_way_ego_init_30_smpc_fixed_risk,0,0,0,,,52,24,15,0,0,0,0,exact_zero
S0_FIXED,31,train,scenario_uk_give_way_ego_init_31_smpc_fixed_risk,0,0,0,,,62,24,15,0,0,0,0,exact_zero
S0_FIXED,32,train,scenario_uk_give_way_ego_init_32_smpc_fixed_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_FIXED,33,train,scenario_uk_give_way_ego_init_33_smpc_fixed_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_FIXED,34,train,scenario_uk_give_way_ego_init_34_smpc_fixed_risk,0,0,0,,,49,24,15,0,0,0,0,exact_zero
S0_FIXED,35,train,scenario_uk_give_way_ego_init_35_smpc_fixed_risk,0,0,0,,,61,24,15,0,0,0,0,exact_zero
S0_FIXED,36,train,scenario_uk_give_way_ego_init_36_smpc_fixed_risk,0,0,0,,,55,24,15,0,0,0,0,exact_zero
S0_FIXED,37,train,scenario_uk_give_way_ego_init_37_smpc_fixed_risk,0,0,0,,,57,24,15,0,0,0,0,exact_zero
S0_FIXED,38,train,scenario_uk_give_way_ego_init_38_smpc_fixed_risk,0,0,0,,,60,24,15,0,0,0,0,exact_zero
S0_FIXED,39,train,scenario_uk_give_way_ego_init_39_smpc_fixed_risk,0,0,0,,,48,24,15,0,0,0,0,exact_zero
