cell,ego_init_id,split,scenario_dir,sample_id,sample_step,history_start_step,future_end_step,temporal_attribution,valid_future_steps,usable,full_horizon,history_collision_overlap,future_collision_overlap,sample_after_first_collision,collision_affected_usable
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,0,20,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,1,24,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,2,28,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,3,32,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,4,36,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,5,40,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,6,44,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,7,48,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,8,52,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,9,56,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,10,60,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,11,64,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,12,68,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,13,72,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,14,76,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,15,80,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,16,84,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,17,88,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,10,True,True,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,18,92,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,9,True,False,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,19,96,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,8,True,False,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,20,100,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,7,True,False,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,21,104,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,6,True,False,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,22,108,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,5,True,False,,,,True
S1_FIXED,8,train,scenario_uk_give_way_ego_init_08_smpc_fixed_risk,23,112,,,rollout_level_conservative_upper_bound_missing_carla_frame_anchor,4,True,False,,,,True
