contrast_family,inference_scope,contrast,metric,a_label,b_label,condition_pairs,independent_init_groups,mean_delta_a_minus_b,median_delta_a_minus_b,sd_delta,bootstrap_95ci_low,bootstrap_95ci_high,exact_init_cluster_sign_flip_p,positive_pairs,negative_pairs,zero_pairs,holm_adjusted_p_within_scope
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,target_clearance_adjusted_completion_delay_s,B1,B0,10,5,-0.30500000454485415,-0.10000000149011612,0.4935416300502749,-0.6900000102818012,-0.05500000081956387,0.0625,1,8,1,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,min_footprint_separation_m,B1,B0,10,5,-0.03942250067090978,0.0003876908647991728,0.10492021767716053,-0.11645614030679494,0.003966015181600469,0.5,5,5,0,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,solver_failure_fraction,B1,B0,10,5,8.946759075460757e-05,2.223983572620554e-05,0.00018850474796325073,8.895934290482216e-06,0.00024015268281562044,0.125,6,1,3,1.0
predictor_within_risk,predictor_within_risk_pooled_primary,B1_minus_B0__fixed_aggressive__pooled,supervisor_active_fraction,B1,B0,10,5,0.003994641276989891,0.0014565183766960532,0.005961963987577175,0.0006990967290019578,0.008211687128639613,0.0625,8,1,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,-0.14000000208616256,-0.10000000149011612,0.18506755799093894,-0.31000000461935995,-0.010000000149011612,0.125,1,4,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,min_footprint_separation_m,B1,B0,5,5,-0.035051273417287664,-0.02747575781989342,0.04749979170502225,-0.07237533287112993,0.002272786036554608,0.25,2,3,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,solver_failure_fraction,B1,B0,5,5,4.3845073253083285e-05,2.391200382592055e-05,7.742392347074278e-05,-5.360571603960258e-06,0.0001136218389256963,0.375,3,1,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__assertive,supervisor_active_fraction,B1,B0,5,5,0.0015861796993819788,0.0013874837404249107,0.0021246440542637326,0.00013708304840876485,0.0034659236536149995,0.1875,4,1,0,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,target_clearance_adjusted_completion_delay_s,B1,B0,5,5,-0.47000000700354577,-0.15000000223517418,0.6676451252607072,-1.0700000159442424,-0.05000000074505806,0.125,0,4,1,1.0
predictor_within_risk,predictor_within_risk_style_descriptive,B1_minus_B0__fixed_aggressive__reactive,min_footprint_separation_m,B1,B0,5,5,-0.043793727924531886,0.005970569733273257,0.14988184644220146,-0.18121729863499786,0.046244813745355676,0.9375,3,2,0,1.0
