predictor,risk_policy,target_style,target_offset_m,source_batch,rollouts,mean_target_clearance_adjusted_completion_delay_s,mean_min_footprint_separation_m,mean_solver_failure_fraction,mean_supervisor_active_fraction,collisions,yield_order_failures,reactive_active_samples
B0,adaptive,assertive,-3.0,day11_shifted,5,8.830000131577254,1.2618985677421033,0.0,0.15661232810414671,0.0,0.0,0
B0,adaptive,assertive,0.0,day10_nominal,5,8.220000122487544,1.249576263748136,0.0038386967545371645,0.1391626798961336,0.0,0.0,0
B0,adaptive,assertive,3.0,day11_shifted,5,9.410000140219926,1.9181988188379464,0.022115483813822993,0.09997924419111477,0.0,0.0,0
B0,adaptive,reactive,-3.0,day11_shifted,5,9.900000147521496,1.1786512770903905,0.0,0.17528066812058044,0.0,0.0,75
B0,adaptive,reactive,0.0,day10_nominal,5,8.670000129193067,1.2470403915906378,0.0035676623318553814,0.15292053666478433,0.0,0.0,34
B0,adaptive,reactive,3.0,day11_shifted,5,8.57000012770295,1.8427065794122952,0.020677965402106906,0.10527166099168102,0.0,0.0,0
B0,fixed_medium,assertive,-3.0,day11_shifted,5,8.840000131726265,1.2902301519122967,0.0,0.15913184863568786,0.0,0.0,0
B0,fixed_medium,assertive,0.0,day10_nominal,5,8.230000122636557,1.3265569399727073,0.005791800184364163,0.1376592313207475,0.0,0.0,0
B0,fixed_medium,assertive,3.0,day11_shifted,5,9.320000138878822,1.6865335527182688,0.018791066413357337,0.09983158054840276,0.0,0.0,0
B0,fixed_medium,reactive,-3.0,day11_shifted,5,9.940000148117543,1.2106001015945622,0.0,0.1745460370605379,0.0,0.0,75
B0,fixed_medium,reactive,0.0,day10_nominal,5,9.040000134706498,1.2036631591144282,0.0033866886694823143,0.14929275522440089,0.0,0.0,34
B0,fixed_medium,reactive,3.0,day11_shifted,5,8.81000013127923,1.7017021436631121,0.020517564166096104,0.10417365270730224,0.0,0.0,0
B1,adaptive,assertive,-3.0,day11_shifted,5,8.540000127255917,1.0709627663582828,0.0,0.15947338659268867,0.0,0.0,0
B1,adaptive,assertive,0.0,day10_nominal,5,8.510000126808881,1.2540843322419728,0.00372072572510329,0.13505649880697762,0.0,0.0,0
B1,adaptive,assertive,3.0,day11_shifted,5,8.590000128000975,1.8732519321345609,0.022805876494326343,0.10689835645610721,0.0,0.0,0
B1,adaptive,reactive,-3.0,day11_shifted,5,8.690000129491091,1.0482139899415057,0.0,0.1950984953799699,0.0,0.0,76
B1,adaptive,reactive,0.0,day10_nominal,5,8.590000128000975,1.20021298658461,0.00441131215488118,0.15512712270942886,0.0,0.0,34
B1,adaptive,reactive,3.0,day11_shifted,5,8.660000129044056,2.0383552304905637,0.024738383522106465,0.10889186243582279,0.0,0.0,0
B1,fixed_medium,assertive,-3.0,day11_shifted,5,8.470000126212835,1.1470075881190525,0.0,0.16389294156414333,0.0,0.0,0
B1,fixed_medium,assertive,0.0,day10_nominal,5,8.870000132173299,1.2565213005596925,0.004383935909389136,0.13111247793945402,0.0,0.0,0
B1,fixed_medium,assertive,3.0,day11_shifted,5,8.360000124573707,1.6517913959387092,0.019962357239102762,0.10752565738659026,0.0,0.0,0
B1,fixed_medium,reactive,-3.0,day11_shifted,5,8.800000131130219,1.1113335262414394,0.0,0.19256253237694285,0.0,0.0,76
B1,fixed_medium,reactive,0.0,day10_nominal,5,8.99000013396144,1.1913865979465963,0.0034226048142834372,0.15174779150388906,0.0,0.0,34
B1,fixed_medium,reactive,3.0,day11_shifted,5,8.470000126212835,1.6451366436025077,0.0211202509650875,0.1075289734194768,0.0,0.0,0
