predictor,risk_policy,target_style,ego_init_id,target_clearance_adjusted_completion_delay_s,min_footprint_separation_m,solver_failure_fraction,supervisor_active_fraction,footprint_collision,yield_order_valid,reactive_active_samples,target_offset_m,offset_label,source_batch,source_cell_id
B0,adaptive,assertive,46,9.80000014603138,0.8370287739243075,0.0,0.1440329218106996,0.0,1.0,0,-3.0,m3,day11_shifted,B0_adaptive_assertive_offset_m3
B0,adaptive,assertive,47,8.400000125169754,1.531592968767848,0.0,0.13488372093023257,0.0,1.0,0,-3.0,m3,day11_shifted,B0_adaptive_assertive_offset_m3
B0,adaptive,assertive,48,9.150000136345625,1.0942661858995795,0.0,0.17391304347826086,0.0,1.0,0,-3.0,m3,day11_shifted,B0_adaptive_assertive_offset_m3
B0,adaptive,assertive,49,8.25000012293458,1.1459751803178315,0.0,0.1650943396226415,0.0,1.0,0,-3.0,m3,day11_shifted,B0_adaptive_assertive_offset_m3
B0,adaptive,assertive,50,8.550000127404928,1.7006297298009498,0.0,0.1651376146788991,0.0,1.0,0,-3.0,m3,day11_shifted,B0_adaptive_assertive_offset_m3
B0,adaptive,assertive,46,8.00000011920929,0.9857434305774737,0.005,0.14,0.0,1.0,0,0.0,0,day10_nominal,B0_adaptive_assertive
B0,adaptive,assertive,47,7.300000108778477,1.0605223381896305,0.0,0.12834224598930483,0.0,1.0,0,0.0,0,day10_nominal,B0_adaptive_assertive
B0,adaptive,assertive,48,7.850000116974115,1.0971343840282635,0.005076142131979695,0.16751269035532995,0.0,1.0,0,0.0,0,day10_nominal,B0_adaptive_assertive
B0,adaptive,assertive,49,9.250000137835741,1.318228332091092,0.0044444444444444444,0.12444444444444444,0.0,1.0,0,0.0,0,day10_nominal,B0_adaptive_assertive
B0,adaptive,assertive,50,8.700000129640102,1.7862528338542212,0.004672897196261682,0.13551401869158877,0.0,1.0,0,0.0,0,day10_nominal,B0_adaptive_assertive
B0,adaptive,assertive,46,9.150000136345625,1.424610870937228,0.023148148148148147,0.09722222222222222,0.0,1.0,0,3.0,p3,day11_shifted,B0_adaptive_assertive_offset_p3
B0,adaptive,assertive,47,11.10000016540289,2.399104948449219,0.011811023622047244,0.06299212598425197,0.0,1.0,0,3.0,p3,day11_shifted,B0_adaptive_assertive_offset_p3
B0,adaptive,assertive,48,8.350000124424696,1.3443117001965343,0.03,0.135,0.0,1.0,0,3.0,p3,day11_shifted,B0_adaptive_assertive_offset_p3
B0,adaptive,assertive,49,10.250000152736902,1.8620490047111558,0.025210084033613446,0.09243697478991597,0.0,1.0,0,3.0,p3,day11_shifted,B0_adaptive_assertive_offset_p3
B0,adaptive,assertive,50,8.200000122189522,2.560917569895594,0.02040816326530612,0.11224489795918367,0.0,1.0,0,3.0,p3,day11_shifted,B0_adaptive_assertive_offset_p3
B0,adaptive,reactive,46,10.800000160932541,0.8350587523883708,0.0,0.16423357664233576,0.0,1.0,16,-3.0,m3,day11_shifted,B0_adaptive_reactive_offset_m3
B0,adaptive,reactive,47,10.30000015348196,1.2588492758699676,0.0,0.15151515151515152,0.0,1.0,17,-3.0,m3,day11_shifted,B0_adaptive_reactive_offset_m3
B0,adaptive,reactive,48,10.200000151991844,1.1211388140404854,0.0,0.17578125,0.0,1.0,9,-3.0,m3,day11_shifted,B0_adaptive_reactive_offset_m3
B0,adaptive,reactive,49,8.550000127404928,1.1494230957378415,0.0,0.20087336244541484,0.0,1.0,17,-3.0,m3,day11_shifted,B0_adaptive_reactive_offset_m3
B0,adaptive,reactive,50,9.650000143796206,1.528786447415288,0.0,0.184,0.0,1.0,16,-3.0,m3,day11_shifted,B0_adaptive_reactive_offset_m3
B0,adaptive,reactive,46,9.300000138580799,0.842359478288727,0.004219409282700422,0.16455696202531644,0.0,1.0,15,0.0,0,day10_nominal,B0_adaptive_reactive
