variant,seed,original_validation_macro_nll,filtered_validation_macro_nll,delta_validation_macro_nll,original_reactive_top1_ade_m,filtered_reactive_top1_ade_m,delta_reactive_top1_ade_m
B1,11,1.8608615398406982,1.8621842861175537,0.0013227462768554688,0.17150510847568512,0.17468315362930298,0.003178045153617859
B1,23,1.8603261709213257,1.861606240272522,0.001280069351196289,0.17127500474452972,0.172930046916008,0.0016550421714782715
B1,37,1.8605518341064453,1.8624597787857056,0.001907944679260254,0.17087049782276154,0.1751871109008789,0.004316613078117371
B2-D,11,1.8727439641952515,1.8739591836929321,0.001215219497680664,0.41219091415405273,0.40413111448287964,-0.008059799671173096
B2-D,23,1.8728382587432861,1.8733537197113037,0.0005154609680175781,0.40202391147613525,0.40364205837249756,0.0016181468963623047
B2-D,37,1.8719608783721924,1.8727706670761108,0.000809788703918457,0.40523988008499146,0.4031582772731781,-0.0020816028118133545
B2-M,11,1.9970422983169556,2.0000908374786377,0.003048539161682129,1.053559422492981,1.067722201347351,0.014162778854370117
B2-M,23,2.0287201404571533,2.0278029441833496,-0.0009171962738037109,1.22551691532135,1.219522476196289,-0.005994439125061035
B2-M,37,2.0255308151245117,2.0245954990386963,-0.0009353160858154297,1.179817795753479,1.163510799407959,-0.01630699634552002
T1,11,2.002960443496704,2.0052037239074707,0.0022432804107666016,1.0660743713378906,1.0778557062149048,0.01178133487701416
T1,23,2.0088319778442383,2.003139019012451,-0.005692958831787109,1.1064033508300781,1.0696702003479004,-0.036733150482177734
T1,37,2.023714542388916,2.0271480083465576,0.0034334659576416016,1.1717482805252075,1.1780985593795776,0.006350278854370117
T2,11,1.878930687904358,1.8810275793075562,0.002096891403198242,0.434354692697525,0.4415874481201172,0.007232755422592163
T2,23,1.8778938055038452,1.8775869607925415,-0.00030684471130371094,0.4326615631580353,0.43081235885620117,-0.0018492043018341064
T2,37,1.8772691488265991,1.8792545795440674,0.0019854307174682617,0.42911359667778015,0.4342542886734009,0.0051406919956207275
