baseline,ego_init_id,B1_ADE_m,baseline_ADE_m,B1_minus_baseline_ADE_m,B1_ADE_better,B1_FDE_m,baseline_FDE_m,B1_minus_baseline_FDE_m,B1_FDE_better
CA,46,0.16520896553993225,1.5423034647485494,-1.3770944992086172,1,0.21483509242534637,3.9742262167992037,-3.7593911243738574,1
CA,47,0.044903434813022614,1.2732418669515566,-1.228338432138534,1,0.049632299691438675,3.0643644671557086,-3.01473216746427,1
CA,48,0.09564118087291718,1.5081829187262832,-1.412541737853366,1,0.11969322711229324,3.796080749233211,-3.6763875221209177,1
CA,49,0.1718652844429016,1.5118750767336764,-1.3400097922907748,1,0.2004128098487854,3.7453674357382707,-3.5449546258894853,1
CA,50,0.043304599821567535,1.2732712839943265,-1.229966684172759,1,0.04884276166558266,3.0644384881357896,-3.015595726470207,1
CV,46,0.16520896553993225,0.7743540190719055,-0.6091450535319732,1,0.21483509242534637,1.5938437631107025,-1.3790086706853562,1
CV,47,0.044903434813022614,0.4842718252406597,-0.4393683904276371,1,0.049632299691438675,0.8947164350558104,-0.8450841353643718,1
CV,48,0.09564118087291718,0.7504602765275382,-0.654819095654621,1,0.11969322711229324,1.5613308912945252,-1.441637664182232,1
CV,49,0.1718652844429016,0.6109381281267976,-0.439072843683896,1,0.2004128098487854,1.2045300711449038,-1.0041172612961184,1
CV,50,0.043304599821567535,0.4842752076170533,-0.44097060779548575,1,0.04884276166558266,0.8947227642365528,-0.8458800025709702,1
train_mean,46,0.16520896553993225,0.658081209166522,-0.49287224362658977,1,0.21483509242534637,0.7839655806305575,-0.5691304882052112,1
train_mean,47,0.044903434813022614,0.3518904896169232,-0.3069870548039006,1,0.049632299691438675,0.41195762146668957,-0.3623253217752509,1
train_mean,48,0.09564118087291718,0.5595985523422913,-0.4639573714693741,1,0.11969322711229324,0.649388756501314,-0.5296955293890208,1
train_mean,49,0.1718652844429016,0.4403719080469707,-0.2685066236040691,1,0.2004128098487854,0.5092212764582851,-0.3088084666094997,1
train_mean,50,0.043304599821567535,0.35189123510477077,-0.30858663528320324,1,0.04884276166558266,0.41195816770690197,-0.3631154060413193,1
