baseline,split,rollout,ego_init_id,cell_id,target_style,response_active,ADE_m,FDE_m,diagonal_gaussian_NLL_nats_per_step
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,1.9300882429175288,3.706731393188969,-0.8900040974933263
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,2.2681988208503343,4.584941710229879,-1.3658640819337324
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.2250042150497007,0.26704812872042266,-2.3125477494563085
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,1.86287208083309,3.249463800768633,0.07842414962527194
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.531102048810521,0.5438566835740207,-1.1601434219590119
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.5049357529385443,0.568410871427108,-2.2083567037143723
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.5561485150349718,1.1913418402424762,-2.279681657873124
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,3.6240098442394966,9.191345427092573,-0.9565038971591546
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.5601866777663934,0.6041993708235941,-2.1349867629114967
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.9114904966032205,1.6912146783113624,-1.9951325659534522
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,1.5573739063134044,3.3688358363151005,-1.8602910940437134
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.37724077008104323,0.43984455774954084,-2.2620018654493252
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.2954756139947758,0.46601299337719015,-2.2978035771545353
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,2.24984010233418,6.145192976470393,-1.9927438015659071
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.26602395722781347,0.3428092756786027,-2.3255695573432598
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3364971756140598,0.6552569598026595,-2.3576997498781416
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,2.469404997507514,6.199102370002893,-1.6999977061041052
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.286702403828912,0.3553160560992509,-2.321130184481758
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3701271456958875,0.639824977633307,-2.3075792797371237
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.21509758199969817,0.2371638747277497,-2.407361900565159
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3661018657411859,0.420423914706069,-2.2854164522397067
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.11667061722635268,0.24446016126701134,-2.3926008544782063
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,1.8444594826372303,4.756512706717653,-2.095463428222218
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.38498023832649375,0.43854518681221266,-2.2689026399786845
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.30565665420904425,0.5539809545117639,-2.3527151105048216
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.8225155834469964,1.896471868834128,-2.3436443547436623
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3343158618825107,0.39751964261886696,-2.2949053500385705
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.0633484966360541,0.08110598984892828,-2.3905139201265198
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.904009972281233,2.431054035337039,-2.3966932244792676
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.30028719566564177,0.3679651498475253,-2.3139040695282977
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.17841733725119902,0.33770048150524085,-2.3884705413170746
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.9569316003536606,2.3598155130361915,-2.35075928859069
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3196208960548593,0.3823509122927992,-2.3071818437881793
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.12164020780774103,0.20218018588217784,-2.3890370583459433
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.20342202560108053,0.6119733084811622,-2.4702033193331947
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3524002364829796,0.4096602017768448,-2.2905613599557957
CV,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.08369253262134257,0.16847403702488453,-2.3991334150926233
CA,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.7985729403158143,2.027719621462986,-2.400715933841603
train_mean,test,S0_ADAPTIVE/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,S0_ADAPTIVE,assertive_constant_speed,0,0.3525132217288587,0.41085332037826294,-2.2881622609935652
