variant,seed,trainable_parameters,total_parameters,epochs_completed,best_epoch,best_epoch_at_budget_boundary,best_val_masked_nll,validation_rollout_macro_NLL,validation_top1_ADE_m,validation_top1_FDE_m,latency_ms_per_sample
B1,11,1034208,8522472,20,20,1,0.0706237405538559,1.8608615398406982,0.11508596688508987,0.14220093190670013,16.715906868957305
B1,23,1034208,8522472,20,20,1,0.06979741156101227,1.8603261709213257,0.11893651634454727,0.1531231552362442,16.932817210266194
B1,37,1034208,8522472,20,20,1,0.07062225043773651,1.8605518341064453,0.11202172189950943,0.1390462964773178,16.32667526008527
B2-M,11,77600,8600072,20,18,0,1.843819499015808,1.9970422983169556,0.925360381603241,1.6619600057601929,18.318969287846716
B2-M,23,77600,8600072,20,19,0,1.8440279960632324,2.0287201404571533,1.0993541479110718,1.7564798593521118,16.486138071110645
B2-M,37,77600,8600072,20,20,1,1.843580961227417,2.0255308151245117,1.062926173210144,1.843079686164856,18.046522158786562
B2-D,11,176096,8698568,20,20,1,0.17276422679424286,1.8727439641952515,0.2627864181995392,0.4834739863872528,18.370934836337902
B2-D,23,176096,8698568,20,19,0,0.17414973676204681,1.8728382587432861,0.2646424472332001,0.47653600573539734,17.644250331206557
B2-D,37,176096,8698568,20,20,1,0.17196832597255707,1.8719608783721924,0.2591661810874939,0.472772479057312,20.146486137999347
T1,11,86688,8609160,20,19,0,1.8448173999786377,2.002960443496704,0.9539418816566467,1.631837010383606,18.68887258225058
T1,23,86688,8609160,20,20,1,1.8451942205429077,2.0088319778442383,0.9651916027069092,1.8683593273162842,16.805803574667387
T1,37,86688,8609160,20,20,1,1.8448468446731567,2.023714542388916,1.0563054084777832,1.761116623878479,16.606449840898893
T2,11,165728,8688200,20,20,1,0.1766974776983261,1.878930687904358,0.29011693596839905,0.5038072466850281,18.537912357804235
T2,23,165728,8688200,20,18,0,0.17836356163024902,1.8778938055038452,0.2854841947555542,0.5025621652603149,17.99482312853351
T2,37,165728,8688200,20,20,1,0.1750306785106659,1.8772691488265991,0.28302833437919617,0.4875827729701996,17.144666481877398
