contrast,metric,full_five_init_effect,exclude_init50_effect,effect_sign_stable,independent_init_groups_after_exclusion
B1_minus_B0__fixed_medium,target_clearance_adjusted_completion_delay_s,-0.37000000551342965,-0.4000000059604645,1,4
B1_minus_B0__fixed_medium,min_footprint_separation_m,-0.06935149942789638,-0.09068680831932409,1,4
B1_minus_B0__fixed_medium,supervisor_active_fraction,0.004955878115569533,0.005992308958763442,1,4
B1_minus_B0__adaptive,target_clearance_adjusted_completion_delay_s,-0.33666667168339093,-0.437500006519258,1,4
B1_minus_B0__adaptive,min_footprint_separation_m,-0.0354984434450023,-0.029027543354686283,1,4
B1_minus_B0__adaptive,supervisor_active_fraction,0.005219767402092366,0.007460443387861347,1,4
adaptive_minus_fixed_medium__B1,target_clearance_adjusted_completion_delay_s,-0.06333333427707354,0.14375000214204192,0,4
adaptive_minus_fixed_medium__B1,min_footprint_separation_m,0.08031736422391646,0.08903347647881986,1,4
adaptive_minus_fixed_medium__B1,supervisor_active_fraction,0.0010292246984164547,-0.0001516154341280994,0,4
adaptive_minus_fixed_medium__B0,target_clearance_adjusted_completion_delay_s,-0.09666666810711225,0.18125000270083547,0,4
adaptive_minus_fixed_medium__B0,min_footprint_separation_m,0.04646430824102234,0.02737421151418203,1,4
adaptive_minus_fixed_medium__B0,supervisor_active_fraction,0.0007653354118936213,-0.001619749863226004,0,4
