stage,cell_id,predictor,risk_policy,target_style,target_offset_m,rollout,ego_init_id,callback_count,unique_frames,contact_episodes,traffic_light_callbacks,vehicle_actor_callbacks
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,B0_adaptive_assertive/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,0,0,0,0,0
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,B0_adaptive_assertive/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,0,0,0,0,0
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,B0_adaptive_assertive/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,0,0,0,0,0
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,B0_adaptive_assertive/scenario_uk_give_way_ego_init_49_smpc_var_risk,49,0,0,0,0,0
day10,B0_adaptive_assertive,B0,adaptive,assertive,0.0,B0_adaptive_assertive/scenario_uk_give_way_ego_init_50_smpc_var_risk,50,0,0,0,0,0
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,B0_adaptive_reactive/scenario_uk_give_way_ego_init_46_smpc_var_risk,46,0,0,0,0,0
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,B0_adaptive_reactive/scenario_uk_give_way_ego_init_47_smpc_var_risk,47,0,0,0,0,0
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,B0_adaptive_reactive/scenario_uk_give_way_ego_init_48_smpc_var_risk,48,0,0,0,0,0
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,B0_adaptive_reactive/scenario_uk_give_way_ego_init_49_smpc_var_risk,49,0,0,0,0,0
day10,B0_adaptive_reactive,B0,adaptive,reactive,0.0,B0_adaptive_reactive/scenario_uk_give_way_ego_init_50_smpc_var_risk,50,0,0,0,0,0
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,B0_fixed_aggressive_assertive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,B0_fixed_aggressive_assertive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,B0_fixed_aggressive_assertive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,B0_fixed_aggressive_assertive/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day10,B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,0.0,B0_fixed_aggressive_assertive/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,B0_fixed_aggressive_reactive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,B0_fixed_aggressive_reactive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,B0_fixed_aggressive_reactive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,B0_fixed_aggressive_reactive/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day10,B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,0.0,B0_fixed_aggressive_reactive/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,B0_fixed_conservative_assertive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,B0_fixed_conservative_assertive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,B0_fixed_conservative_assertive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,B0_fixed_conservative_assertive/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day10,B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,0.0,B0_fixed_conservative_assertive/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,B0_fixed_conservative_reactive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,B0_fixed_conservative_reactive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,B0_fixed_conservative_reactive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,B0_fixed_conservative_reactive/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day10,B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,0.0,B0_fixed_conservative_reactive/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,B0_fixed_medium_assertive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,B0_fixed_medium_assertive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,B0_fixed_medium_assertive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,B0_fixed_medium_assertive/scenario_uk_give_way_ego_init_49_smpc_fixed_risk,49,0,0,0,0,0
day10,B0_fixed_medium_assertive,B0,fixed_medium,assertive,0.0,B0_fixed_medium_assertive/scenario_uk_give_way_ego_init_50_smpc_fixed_risk,50,0,0,0,0,0
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,B0_fixed_medium_reactive/scenario_uk_give_way_ego_init_46_smpc_fixed_risk,46,0,0,0,0,0
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,B0_fixed_medium_reactive/scenario_uk_give_way_ego_init_47_smpc_fixed_risk,47,0,0,0,0,0
day10,B0_fixed_medium_reactive,B0,fixed_medium,reactive,0.0,B0_fixed_medium_reactive/scenario_uk_give_way_ego_init_48_smpc_fixed_risk,48,0,0,0,0,0
