cell_id,pilot_role,predictor,risk_policy,target_style,ego_init_id,target_offset_m,status,completion_time_s,minimum_center_distance_m,completion_valid,feasibility_fraction,average_solve_time_s,solver_failure_fraction,native_collision_count,valid_prediction_steps,p95_solve_time_s,reference_A_MIN_mps2,solver_A_MIN_mps2
dev_B1_fixed_medium_assertive_init45,deployment_smoke,B1,fixed_medium,assertive,45,0.0,pass,9.400000140070915,4.485231933940416,1.0,0.9947089947089947,0.04539911634574468,0.005291005291005291,0,171,0.0907552195,-3.0,-3.0
dev_B1_fixed_medium_reactive_init45,deployment_smoke,B1,fixed_medium,reactive,45,0.0,pass,9.850000146776438,4.354550876480927,1.0,0.9949494949494949,0.04262282373096447,0.005050505050505051,0,180,0.08852023534999999,-3.0,-3.0
dev_B1_adaptive_assertive_init45,deployment_smoke,B1,adaptive,assertive,45,0.0,pass,9.400000140070915,4.468404116062691,1.0,0.9947089947089947,0.047329192632978724,0.005291005291005291,0,171,0.09444951700000001,-3.0,-3.0
dev_B1_adaptive_reactive_init45,deployment_smoke,B1,adaptive,reactive,45,0.0,pass,9.700000144541264,4.372720734849359,1.0,0.9948717948717949,0.05548557110309279,0.005128205128205128,0,177,0.10380073279999999,-3.0,-3.0
dev_B0_fixed_medium_assertive_init45,deployment_smoke,B0,fixed_medium,assertive,45,0.0,pass,9.250000137835741,4.454099182577122,1.0,0.9946236559139785,0.03582964236216216,0.005376344086021506,0,168,0.08618297135000001,-3.0,-3.0
dev_B0_fixed_medium_reactive_init45,deployment_smoke,B0,fixed_medium,reactive,45,0.0,pass,9.850000146776438,4.371823370442084,1.0,0.98989898989899,0.0358220215255102,0.010101010101010102,0,180,0.0855033613,-3.0,-3.0
dev_B0_adaptive_assertive_init45,deployment_smoke,B0,adaptive,assertive,45,0.0,pass,9.300000138580799,4.390984445956478,1.0,0.9946524064171123,0.052869932741935494,0.0053475935828877,0,169,0.09781025019999999,-3.0,-3.0
dev_B0_adaptive_reactive_init45,deployment_smoke,B0,adaptive,reactive,45,0.0,pass,9.900000147521496,4.343254675266739,1.0,0.9899497487437185,0.044246846035533,0.010050251256281407,0,181,0.09563227659999998,-3.0,-3.0
probe_B1_adaptive_reactive_offset_m3_init50,collision_regression_probe,B1,adaptive,reactive,50,-3.0,pass,11.950000178068876,4.946613188071506,1.0,1.0,0.046170856100000005,0.0,0,222,0.10150602335,-3.0,-3.0
probe_B0_adaptive_reactive_offset_m3_init50,collision_regression_probe,B0,adaptive,reactive,50,-3.0,pass,13.600000202655792,4.966355852941853,1.0,1.0,0.050678407406593406,0.0,0,255,0.10100162399999994,-3.0,-3.0
