hypothesis,contrast_id,failure_metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,expected_clusters,complete_clusters,missing_clusters,missing_init_ids,treatment_failure_rollouts,control_failure_rollouts,mean_treatment_minus_control,raw_init_effects,no_excess_observed_failure,intent_to_treat_rollout_binary
H3,H3_B1_minus_B0_fixed_aggressive_assertive,native_collision_any,assertive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_assertive,footprint_collision,assertive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_assertive,fixed_geometry_yield_failure,assertive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_assertive,completion_failure,assertive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_reactive,native_collision_any,reactive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_reactive,footprint_collision,reactive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_reactive,fixed_geometry_yield_failure,reactive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_aggressive_reactive,completion_failure,reactive,B1,B0,fixed_aggressive,fixed_aggressive,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_assertive,native_collision_any,assertive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_assertive,footprint_collision,assertive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_assertive,fixed_geometry_yield_failure,assertive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_assertive,completion_failure,assertive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_reactive,native_collision_any,reactive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_reactive,footprint_collision,reactive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_reactive,fixed_geometry_yield_failure,reactive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_medium_reactive,completion_failure,reactive,B1,B0,fixed_medium,fixed_medium,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
H3,H3_B1_minus_B0_fixed_conservative_assertive,native_collision_any,assertive,B1,B0,fixed_conservative,fixed_conservative,5,5,0,,0,0,0.0,101:0;102:0;103:0;104:0;105:0,1,1
