cell_id,predictor,risk_policy,target_style,rollouts,init_ids,ego_route_completion_duration_s_n,ego_route_completion_duration_s_mean,ego_route_completion_duration_s_median,target_fixed_zone_exit_elapsed_s_n,target_fixed_zone_exit_elapsed_s_mean,target_fixed_zone_exit_elapsed_s_median,post_clearance_completion_lag_s_n,post_clearance_completion_lag_s_mean,post_clearance_completion_lag_s_median,fixed_geometry_yield_gap_s_n,fixed_geometry_yield_gap_s_mean,fixed_geometry_yield_gap_s_median,minimum_footprint_separation_m_n,minimum_footprint_separation_m_mean,minimum_footprint_separation_m_median,solver_failure_fraction_n,solver_failure_fraction_mean,solver_failure_fraction_median,supervisor_active_fraction_n,supervisor_active_fraction_mean,supervisor_active_fraction_median,risk_tightening_mean_n,risk_tightening_mean_mean,risk_tightening_mean_median,adaptive_risk_solver_fraction_n,adaptive_risk_solver_fraction_mean,adaptive_risk_solver_fraction_median,native_collision_any_observed_n,native_collision_any_rollouts,footprint_collision_observed_n,footprint_collision_rollouts,fixed_geometry_yield_failure_observed_n,fixed_geometry_yield_failure_rollouts,completion_failure_observed_n,completion_failure_rollouts
B0_adaptive_assertive,B0,adaptive,assertive,5,101;102;103;104;105,5,10.3,10.6,5,2.1000000312924385,2.1000000312924385,5,8.199999968707539,8.49999996870747,5,1.0400000154972076,1.1000000163912773,5,1.2062583668098645,1.0895944700371958,5,0.015534005862811373,0.014150943396226415,5,0.16036723000594155,0.16129032258064516,5,1.3775402169854916,1.3762416865223317,5,1.0,1.0,5,0,5,0,5,0,5,0
B0_adaptive_reactive,B0,adaptive,reactive,5,101;102;103;104;105,5,11.040000000000001,11.1,5,2.6200000390410425,2.600000038743019,5,8.419999960958899,8.399999959766774,5,1.0800000160932541,1.1000000163912773,5,1.1318903414595405,1.0582930901555025,5,0.014469423330472108,0.013888888888888888,5,0.19724855729674529,0.19823788546255505,5,1.3947510274505714,1.3968530226288955,5,1.0,1.0,5,0,5,0,5,0,5,0
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,5,101;102;103;104;105,5,10.8,10.75,5,2.1000000312924385,2.1000000312924385,5,8.699999968707584,8.649999968707561,5,1.1000000163912773,1.1500000171363354,5,1.2094144811941796,1.110567951938544,5,0.014520874499551672,0.013953488372093023,5,0.15335167253432297,0.15283842794759825,5,1.2815515655445977,1.2815515655445977,5,0.0,0.0,5,0,5,0,5,0,5,0
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,5,101;102;103;104;105,5,11.01,11.2,5,2.6200000390410425,2.600000038743019,5,8.389999960958994,8.49999995976691,5,1.1300000168383122,1.1500000171363354,5,1.1426050064188136,1.0603437311107076,5,0.014409743180357874,0.013392857142857142,5,0.19719805681574795,0.19642857142857142,5,1.2815515655445981,1.2815515655445981,5,0.0,0.0,5,0,5,0,5,0,5,0
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,5,101;102;103;104;105,5,10.620000000000001,10.2,5,2.1000000312924385,2.1000000312924385,5,8.519999968707634,8.099999968707607,5,1.030000015348196,1.1000000163912773,5,1.2290674353590094,1.218095255715237,5,0.016818018608747414,0.01639344262295082,5,0.15639337029459985,0.16,5,2.053748910631823,2.0537489106318225,5,0.0,0.0,5,0,5,0,5,0,5,0
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,5,101;102;103;104;105,5,10.790000000000001,10.9,5,2.6200000390410425,2.600000038743019,5,8.169999960958979,8.299999961256958,5,1.0900000162422656,1.1000000163912773,5,1.1399790795744091,1.0589516080341448,5,0.01664675312364467,0.017543859649122806,5,0.20124951976409505,0.20588235294117646,5,2.0537489106318225,2.053748910631823,5,0.0,0.0,5,0,5,0,5,0,5,0
B0_fixed_medium_assertive,B0,fixed_medium,assertive,5,101;102;103;104;105,5,10.75,10.3,5,2.1000000312924385,2.1000000312924385,5,8.649999968707528,8.199999968707573,5,1.0200000151991844,1.1000000163912773,5,1.192668913183366,1.0765416095269598,5,0.014925371269836646,0.012244897959183673,5,0.15383712277165226,0.15510204081632653,5,1.6399999999999946,1.639999999999995,5,0.0,0.0,5,0,5,0,5,0,5,0
B0_fixed_medium_reactive,B0,fixed_medium,reactive,5,101;102;103;104;105,5,11.219999999999999,11.45,5,2.6200000390410425,2.600000038743019,5,8.599999960958929,8.84999996125697,5,1.0900000162422656,1.1000000163912773,5,1.140331071180134,1.0956823307787336,5,0.014187403402038123,0.013043478260869565,5,0.1938076051817184,0.1981981981981982,5,1.6399999999999948,1.6399999999999948,5,0.0,0.0,5,0,5,0,5,0,5,0
B1_adaptive_assertive,B1,adaptive,assertive,5,101;102;103;104;105,5,10.540000000000001,10.35,5,2.1000000312924385,2.1000000312924385,5,8.439999968707616,8.249999968707584,5,1.0900000162422656,1.1500000171363354,5,1.1995992166399412,1.0895559372353625,5,0.015163781439016708,0.013392857142857142,5,0.15669328740336727,0.16080402010050251,5,1.375580002847414,1.374703568445954,5,1.0,1.0,5,0,5,0,5,0,5,0
B1_adaptive_reactive,B1,adaptive,reactive,5,101;102;103;104;105,5,10.86,11.0,5,2.6200000390410425,2.600000038743019,5,8.239999960959016,8.399999961256981,5,1.0900000162422656,1.1000000163912773,5,1.1325266876661961,1.0583218569746329,5,0.01477188712124786,0.012875536480686695,5,0.2001131949781047,0.20600858369098712,5,1.3967466947219827,1.3918702309478688,5,1.0,1.0,5,0,5,0,5,0,5,0
B1_fixed_aggressive_assertive,B1,fixed_aggressive,assertive,5,101;102;103;104;105,5,10.01,9.95,5,2.1000000312924385,2.1000000312924385,5,7.909999968707609,7.849999968707607,5,1.0400000154972076,1.1000000163912773,5,1.2146855082315544,1.1147829227729373,5,0.015939939008052816,0.015789473684210527,5,0.16541126297754308,0.16279069767441862,5,1.2815515655445986,1.2815515655445984,5,0.0,0.0,5,0,5,0,5,0,5,0
B1_fixed_aggressive_reactive,B1,fixed_aggressive,reactive,5,101;102;103;104;105,5,11.0,11.1,5,2.6200000390410425,2.600000038743019,5,8.379999960958946,8.399999959766774,5,1.0900000162422656,1.1000000163912773,5,1.1320068556752023,1.058610443586742,5,0.014440045808640427,0.013100436681222707,5,0.19732207599295215,0.1981981981981982,5,1.2815515655445981,1.2815515655445981,5,0.0,0.0,5,0,5,0,5,0,5,0
B1_fixed_conservative_assertive,B1,fixed_conservative,assertive,5,101;102;103;104;105,5,10.1,10.2,5,2.1000000312924385,2.1000000312924385,5,7.999999968707567,8.099999968707607,5,1.0400000154972076,1.1000000163912773,5,1.2028677156395178,1.0954970766015988,5,0.01775595096092823,0.0196078431372549,5,0.16351941055085045,0.16842105263157894,5,2.053748910631822,2.0537489106318225,5,0.0,0.0,5,0,5,0,5,0,5,0
B1_fixed_conservative_reactive,B1,fixed_conservative,reactive,5,101;102;103;104;105,5,11.28,11.25,5,2.6200000390410425,2.600000038743019,5,8.659999960958947,8.649999961256981,5,1.0900000162422656,1.1000000163912773,5,1.1343825963720064,1.0591596726315995,5,0.015799770887968197,0.017777777777777778,5,0.1931133078682647,0.19909502262443438,5,2.0537489106318234,2.0537489106318234,5,0.0,0.0,5,0,5,0,5,0,5,0
