cell_id,predictor,risk_policy,target_style,collision_category,independent_rollouts,callback_events,canonical_contact_episodes,rollouts_with_category,callbacks_and_episodes_are_not_independent_units
B0_adaptive_assertive,B0,adaptive,assertive,ego_target,5,0,0,0,1
B0_adaptive_assertive,B0,adaptive,assertive,ego_infrastructure,5,0,0,0,1
B0_adaptive_assertive,B0,adaptive,assertive,target_infrastructure,5,0,0,0,1
B0_adaptive_assertive,B0,adaptive,assertive,ego_static_vehicle,5,0,0,0,1
B0_adaptive_assertive,B0,adaptive,assertive,target_static_vehicle,5,0,0,0,1
B0_adaptive_assertive,B0,adaptive,assertive,other,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,ego_target,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,ego_infrastructure,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,target_infrastructure,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,ego_static_vehicle,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,target_static_vehicle,5,0,0,0,1
B0_adaptive_reactive,B0,adaptive,reactive,other,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,ego_target,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,ego_infrastructure,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,target_infrastructure,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,ego_static_vehicle,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,target_static_vehicle,5,0,0,0,1
B0_fixed_aggressive_assertive,B0,fixed_aggressive,assertive,other,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,ego_target,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,ego_infrastructure,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,target_infrastructure,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,ego_static_vehicle,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,target_static_vehicle,5,0,0,0,1
B0_fixed_aggressive_reactive,B0,fixed_aggressive,reactive,other,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,ego_target,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,ego_infrastructure,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,target_infrastructure,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,ego_static_vehicle,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,target_static_vehicle,5,0,0,0,1
B0_fixed_conservative_assertive,B0,fixed_conservative,assertive,other,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,ego_target,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,ego_infrastructure,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,target_infrastructure,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,ego_static_vehicle,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,target_static_vehicle,5,0,0,0,1
B0_fixed_conservative_reactive,B0,fixed_conservative,reactive,other,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,ego_target,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,ego_infrastructure,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,target_infrastructure,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,ego_static_vehicle,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,target_static_vehicle,5,0,0,0,1
B0_fixed_medium_assertive,B0,fixed_medium,assertive,other,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,ego_target,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,ego_infrastructure,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,target_infrastructure,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,ego_static_vehicle,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,target_static_vehicle,5,0,0,0,1
B0_fixed_medium_reactive,B0,fixed_medium,reactive,other,5,0,0,0,1
B1_adaptive_assertive,B1,adaptive,assertive,ego_target,5,0,0,0,1
B1_adaptive_assertive,B1,adaptive,assertive,ego_infrastructure,5,0,0,0,1
B1_adaptive_assertive,B1,adaptive,assertive,target_infrastructure,5,0,0,0,1
B1_adaptive_assertive,B1,adaptive,assertive,ego_static_vehicle,5,0,0,0,1
