hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,effect_orientation,expected_clusters,complete_clusters,missing_clusters,missing_init_ids,mean_effect,median_effect,exact_sign_flip_p_raw,bootstrap_mean_ci_lower,bootstrap_mean_ci_upper,bootstrap_replicates,bootstrap_global_seed,bootstrap_role,holm_adjusted_p,holm_family_declared_size,holm_family_observed_p_values
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,0.5299999999999997,0.049999999999998934,0.25,0.009999999999999787,1.1999999999999997,20000,20260808,descriptive_only,0.75,3,3
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.015086291591613187,-0.02755797682982508,0.375,-0.0369185723067242,0.010656425044167684,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,treatment_minus_control,5,5,0,,-0.4400000000000002,-0.09999999999999964,0.375,-1.170000000000001,0.040000000000000216,20000,20260808,descriptive_only,0.75,3,3
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,treatment_minus_control,5,5,0,,-0.0002965824496902414,-2.2374000304026254e-05,0.8125,-0.014025876644881663,0.010688668580501614,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,treatment_minus_control,5,5,0,,0.43999999999999984,0.05000000000000071,0.4375,-0.05000000000000071,0.9700000000000003,20000,20260808,descriptive_only,0.75,3,3
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,treatment_minus_control,5,5,0,,-0.00326849899957673,-0.00035984039044079097,0.6875,-0.016750534226166857,0.008603499716360919,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.1399999999999995,-0.05000000000000071,0.6875,-0.48999999999999916,0.10000000000000035,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,0.0005198319909938797,-0.0002598916058117462,0.5,-0.00030348978635645895,0.0013958813569375562,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,treatment_minus_control,5,5,0,,-0.1400000000000002,-0.05000000000000071,0.625,-0.5199999999999999,0.12999999999999973,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,treatment_minus_control,5,5,0,,0.0005976419383577402,-0.0003686772029599661,0.5,-0.0005660073148443745,0.0019588312372458283,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_conservative,treatment_minus_control,5,5,0,,-0.41999999999999993,-0.5,0.1875,-0.8600000000000001,0.07000000000000028,20000,20260808,descriptive_only,0.5625,3,3
H4,H4_B1_reactive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_conservative,treatment_minus_control,5,5,0,,-0.0018559087058101832,-0.0008378156569666118,0.9375,-0.01332416097980591,0.01020965139266714,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.5000000000000003,-0.15000000000000036,0.3125,-1.2200000000000002,0.02999999999999936,20000,20260808,descriptive_only,0.9375,3,3
H4,H4_B0_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B0,B0,adaptive,fixed_aggressive,treatment_minus_control,5,5,0,,-0.0031561143843151563,0.0009294034541329488,0.875,-0.023211423326033563,0.015798108246364427,20000,20260808,descriptive_only,1.0,3,3
H4,H4_B0_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B0,B0,adaptive,fixed_medium,treatment_minus_control,5,5,0,,-0.45000000000000034,0.0,0.5,-1.1700000000000004,0.11999999999999958,20000,20260808,descriptive_only,1.0,3,3
