contrast_id,predictor,target_style,fixed_comparator,all_five_primary_pairs_complete,all_binary_guards_observed,mean_adaptive_minus_fixed_completion_s,mean_adaptive_minus_fixed_separation_m,completion_no_worse_within_tolerance,separation_no_worse_within_tolerance,at_least_one_strictly_better,no_excess_binary_failures,dominance_status
H4_B0_assertive_adaptive_minus_fixed_aggressive,B0,assertive,fixed_aggressive,1,1,-0.5000000000000003,-0.0031561143843151563,1,0,1,1,does_not_dominate
H4_B0_assertive_adaptive_minus_fixed_conservative,B0,assertive,fixed_conservative,1,1,-0.3200000000000003,-0.022809068549144884,1,0,1,1,does_not_dominate
H4_B0_assertive_adaptive_minus_fixed_medium,B0,assertive,fixed_medium,1,1,-0.45000000000000034,0.01358945362649846,1,1,1,1,dominates
H4_B0_reactive_adaptive_minus_fixed_aggressive,B0,reactive,fixed_aggressive,1,1,0.030000000000000072,-0.010714664959273246,1,0,0,1,does_not_dominate
H4_B0_reactive_adaptive_minus_fixed_conservative,B0,reactive,fixed_conservative,1,1,0.25,-0.008088738114868942,0,0,0,1,does_not_dominate
H4_B0_reactive_adaptive_minus_fixed_medium,B0,reactive,fixed_medium,1,1,-0.17999999999999972,-0.008440729720593643,1,0,1,1,does_not_dominate
H4_B1_assertive_adaptive_minus_fixed_aggressive,B1,assertive,fixed_aggressive,1,1,0.5299999999999997,-0.015086291591613187,0,0,0,1,does_not_dominate
H4_B1_assertive_adaptive_minus_fixed_conservative,B1,assertive,fixed_conservative,1,1,0.43999999999999984,-0.00326849899957673,0,0,0,1,does_not_dominate
H4_B1_assertive_adaptive_minus_fixed_medium,B1,assertive,fixed_medium,1,1,-0.4400000000000002,-0.0002965824496902414,1,0,1,1,does_not_dominate
H4_B1_reactive_adaptive_minus_fixed_aggressive,B1,reactive,fixed_aggressive,1,1,-0.1399999999999995,0.0005198319909938797,1,1,1,1,dominates
H4_B1_reactive_adaptive_minus_fixed_conservative,B1,reactive,fixed_conservative,1,1,-0.41999999999999993,-0.0018559087058101832,1,0,1,1,does_not_dominate
H4_B1_reactive_adaptive_minus_fixed_medium,B1,reactive,fixed_medium,1,1,-0.1400000000000002,0.0005976419383577402,1,1,1,1,dominates
