hypothesis,contrast_id,metric,target_style,treatment_predictor,control_predictor,treatment_policy,control_policy,ego_init_id,treatment_value,control_value,treatment_minus_control,pair_complete,missing_reason
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,101,11.65,10.75,0.9000000000000004,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,102,11.2,9.5,1.6999999999999993,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,103,9.95,9.95,0.0,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,104,9.55,9.55,0.0,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_aggressive,105,10.35,10.3,0.049999999999998934,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,101,1.0895559372353625,1.0589627767685792,0.030593160466783287,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,102,1.438140410591842,1.4656983874216671,-0.02755797682982508,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,103,0.9392305343567177,0.9391797335998439,5.0800756873803365e-05,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,104,1.076234765836552,1.1147829227729373,-0.03854815693638525,1,
H4,H4_B1_assertive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_aggressive,105,1.4548344351792313,1.494803720594744,-0.0399692854155127,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,101,11.65,12.05,-0.40000000000000036,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,102,11.2,11.1,0.09999999999999964,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,103,9.95,11.8,-1.8500000000000014,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,104,9.55,9.5,0.05000000000000071,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_medium,105,10.35,10.45,-0.09999999999999964,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,101,1.0895559372353625,1.0771747083579302,0.012381228877432315,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,102,1.438140410591842,1.465618346859131,-0.027477936267289005,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,103,0.9392305343567177,0.9392529083570217,-2.2374000304026254e-05,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,104,1.076234765836552,1.0763115691365257,-7.680329997361568e-05,1,
H4,H4_B1_assertive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_medium,105,1.4548344351792313,1.4411214627375482,0.013712972441683124,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,101,11.65,10.35,1.3000000000000007,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,102,11.2,10.2,1.0,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,103,9.95,10.05,-0.10000000000000142,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,104,9.55,9.5,0.05000000000000071,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,ego_route_completion_duration_s,assertive,B1,B1,adaptive,fixed_conservative,105,10.35,10.4,-0.05000000000000071,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,101,1.0895559372353625,1.0954970766015988,-0.005941139366236303,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,102,1.438140410591842,1.4658180740418263,-0.027677663449984236,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,103,0.9392305343567177,0.923569289487086,0.015661244869631608,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,104,1.076234765836552,1.0765946062269929,-0.00035984039044079097,1,
H4,H4_B1_assertive_adaptive_minus_fixed_conservative,minimum_footprint_separation_m,assertive,B1,B1,adaptive,fixed_conservative,105,1.4548344351792313,1.4528595318400852,0.0019749033391460724,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,101,11.35,11.4,-0.05000000000000071,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,102,11.65,11.45,0.20000000000000107,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,103,10.3,11.1,-0.7999999999999989,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,104,10.0,10.1,-0.09999999999999964,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_aggressive,105,11.0,10.95,0.05000000000000071,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,101,1.0583218569746329,1.058610443586742,-0.00028858661210917624,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,102,1.390668590201789,1.3887785086152737,0.0018900815865152687,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,103,0.9353615953693959,0.935701787420272,-0.00034019205087609805,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,104,0.9934583219388524,0.9937182135446642,-0.0002598916058117462,1,
H4,H4_B1_reactive_adaptive_minus_fixed_aggressive,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_aggressive,105,1.2848230738463107,1.2832253252090595,0.0015977486372511507,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,101,11.35,11.4,-0.05000000000000071,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,102,11.65,11.4,0.25,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,103,10.3,11.15,-0.8499999999999996,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,104,10.0,10.05,-0.05000000000000071,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,ego_route_completion_duration_s,reactive,B1,B1,adaptive,fixed_medium,105,11.0,11.0,0.0,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,101,1.0583218569746329,1.0591749273676274,-0.0008530703929945371,1,
H4,H4_B1_reactive_adaptive_minus_fixed_medium,minimum_footprint_separation_m,reactive,B1,B1,adaptive,fixed_medium,102,1.390668590201789,1.387876490752546,0.0027920994492429685,1,
