risk_policy,target_style,metric,effect_orientation,complete_init_pairs,missing_init_ids,mean_B1_minus_B0,median_B1_minus_B0,B1_better_init_fraction,exact_sign_flip_p_descriptive,interpretation
fixed_aggressive,assertive,top1_ADE_m,B1_minus_B0,5,,-1.128605719334791,-1.1177273669928856,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,assertive,top1_FDE_m,B1_minus_B0,5,,-2.3231598566348124,-2.2996704318457115,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,assertive,minADE_m,B1_minus_B0,5,,-0.6299474999243276,-0.6305317835890418,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,assertive,calibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-5.0581771041075685,-5.057736369364424,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,assertive,uncalibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-0.6906154025776431,-0.6910618035618024,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,reactive,top1_ADE_m,B1_minus_B0,5,,-1.3522187645199497,-1.4383155221344932,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,reactive,top1_FDE_m,B1_minus_B0,5,,-3.151585727509339,-3.2243631422438956,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,reactive,minADE_m,B1_minus_B0,5,,-1.0031145694432568,-1.0115975308995644,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,reactive,calibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-4.6147137353968954,-4.84002746415894,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_aggressive,reactive,uncalibrated_trajectory_NLL_per_step,B1_minus_B0,5,,-1.6540197081850045,-1.6482480920067015,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
fixed_medium,assertive,top1_ADE_m,B1_minus_B0,5,,-1.1248652053489012,-1.1178691012756066,1.0,0.0625,descriptive_in_loop_manipulation_check_not_independent_closed_loop_benchmark
