difficulty,arm,policy,gate_status,footprint_collision,target_clears_before_ego_enters,completion_time,completion_valid,solver_failure_frac,feasibility_percent,forced_reference_linearization_frac,dmin_TV,min_center_distance_m,min_footprint_separation_m,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,solver_bypass_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel,critical_pre_tightening,near_pre_tightening,near_post_tightening
arrival_offset_m1p5,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,9.950000148266554,1.0,0.0,1.0,0.05,4.7234701329374005,4.723470123949869,1.2864317559850624,,,,,,,,1.7292074795745478,1.6969252609241003,1.2815515655445981
arrival_offset_m1p5,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.000000149011612,1.0,0.0,1.0,0.04975124378109453,4.760111109076792,4.760111099414997,1.3300231564453837,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445981
arrival_offset_m1p5,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,9.80000014603138,1.0,0.0,1.0,0.050761421319796954,4.762586146881362,4.762586137382297,1.3331682506513123,,,,,,,,2.0537489106318243,2.053748910631824,2.0537489106318207
arrival_offset_m1p5,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,9.950000148266554,1.0,0.0,1.0,0.115,4.792121222865292,4.792121213095692,1.371818778864014,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999937
arrival_offset_m3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.30000015348196,1.0,0.0,1.0,0.04830917874396135,4.711590409498071,4.711590410895664,1.265762192343385,,,,,,,,1.7309460837213837,1.7087930807920866,1.281551565544598
arrival_offset_m3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.650000158697367,1.0,0.0,1.0,0.06074766355140187,4.759281162117898,4.759281162168424,1.3235355730589085,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445975
arrival_offset_m3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,11.400000169873238,1.0,0.0,1.0,0.043668122270742356,4.75701580970596,4.757015810993696,1.324246312578082,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631824
arrival_offset_m3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,11.000000163912773,1.0,0.0,1.0,0.04524886877828054,4.7563244383734995,4.756324439679718,1.320162856107155,,,,,,,,1.6400000000000003,1.6400000000000001,1.639999999999993
arrival_offset_p0p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.150000151246786,1.0,0.00980392156862745,0.9901960784313726,0.049019607843137254,4.71665860644431,4.71665860821035,1.2889951221196803,,,,,,,,1.7275771256070764,1.64708041747856,1.2815515655445977
arrival_offset_p0p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.250000152736902,1.0,0.009708737864077669,0.9902912621359223,0.04854368932038835,4.758898741240367,4.758898744934561,1.3310054194419167,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445977
arrival_offset_p0p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.30000015348196,1.0,0.00966183574879227,0.9903381642512077,0.04830917874396135,4.7594239681571295,4.759423972429692,1.3317287964117048,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631822
arrival_offset_p0p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.350000154227018,1.0,0.009615384615384616,0.9903846153846154,0.04807692307692308,4.760779142220578,4.760779146427005,1.3333859927041547,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999935
arrival_offset_p1p5,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,9.700000144541264,1.0,0.020512820512820513,0.9794871794871794,0.05128205128205128,4.751207362972456,4.751207382092119,1.3034426528997642,,,,,,,,1.7265020056711948,1.6440595178757997,1.2815515655445981
arrival_offset_p1p5,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,11.050000164657831,1.0,0.013513513513513514,0.9864864864864865,0.04504504504504504,4.766914067547814,4.766914087966111,1.3241573209544544,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445968
arrival_offset_p1p5,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,9.400000140070915,1.0,0.015873015873015872,0.9841269841269841,0.05291005291005291,4.770869879431788,4.770869900162448,1.3297535296389287,,,,,,,,2.0537489106318243,2.0537489106318234,2.0537489106318207
arrival_offset_p1p5,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,9.650000143796206,1.0,0.015463917525773196,0.9845360824742269,0.05154639175257732,4.763527099866962,4.763527118238721,1.3269125809271403,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999937
arrival_offset_p3p0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.750000160187483,1.0,0.032407407407407406,0.9675925925925926,0.2175925925925926,5.201189036695217,5.201189044981035,1.8495270665993468,,,,,,,,1.7264301263832609,1.5663792423762573,1.2815515655445968
arrival_offset_p3p0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,9.450000140815973,1.0,0.02631578947368421,0.9736842105263158,0.08947368421052632,5.081915271901249,5.0819152853231895,1.6721531365050473,,,,,,,,1.2815515655446006,1.2815515655446001,1.2815515655445981
arrival_offset_p3p0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,11.950000178068876,1.0,0.025,0.975,0.07083333333333333,5.045028578109135,5.045028592588275,1.6217822383706353,,,,,,,,2.0537489106318243,2.053748910631823,2.0537489106318256
arrival_offset_p3p0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,9.500000141561031,1.0,0.031413612565445025,0.9685863874345549,0.09424083769633508,5.08659609246853,5.086596105117128,1.6861629298130612,,,,,,,,1.6400000000000003,1.6400000000000001,1.6399999999999937
