run,arm,policy,label,gate_status,completion_time_s,solver_failure_frac,feasibility_percent,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,solver_bypass_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel,dmin_TV,min_center_distance_m,min_footprint_separation_m,footprint_collision,target_clears_before_ego_enters,forced_reference_linearization_frac
v10 executable approach braking,smpc_fixed_medium,smpc_fixed_risk,fixed medium,PASS,10.600000157952309,0.009389671361502348,0.9906103286384976,4.904746579781454,2.4000000000000004,0.0,0.15023474178403756,0.14084507042253522,0.009389671361502348,1.7858030686171695,4.948331152326347,4.948331150893336,1.5626664343936028,False,True,0.04225352112676056
v10 executable approach braking,smpc_adaptive_floor_weak,smpc_var_risk,adaptive floor_weak,PASS,10.05000014975667,0.009900990099009901,0.9900990099009901,4.891174875249819,2.4000000000000004,0.0,0.15841584158415842,0.1485148514851485,0.009900990099009901,1.7630856347710449,4.92060361763436,4.920603616412056,1.5292500722298914,False,True,0.04455445544554455
v11 planner-ownership stress,smpc_fixed_aggressive,smpc_fixed_risk,fixed aggressive,PASS,10.700000159442425,0.004651162790697674,0.9953488372093023,4.891571792355741,2.4000000000000004,0.0,0.13953488372093023,0.14418604651162792,0.004651162790697674,1.7708657051314751,4.942545084562831,4.942545083366587,1.5552870933008764,False,True,0.05581395348837209
v11 planner-ownership stress,smpc_fixed_medium,smpc_fixed_risk,fixed medium,PASS,10.600000157952309,0.009389671361502348,0.9906103286384976,4.877196750612061,2.4000000000000004,0.0,0.13615023474178403,0.14084507042253522,0.009389671361502348,1.7932145611860626,4.941125885947337,4.941125883004267,1.5529872285394442,False,True,0.056338028169014086
v11 planner-ownership stress,smpc_fixed_conservative,smpc_fixed_risk,fixed conservative,PASS,10.450000155717134,0.009523809523809525,0.9904761904761905,4.900759096252138,2.4000000000000004,0.0,0.1380952380952381,0.14285714285714285,0.009523809523809525,1.7964602018180464,4.945824126047488,4.94582412445438,1.5592812508570677,False,True,0.05714285714285714
v11 planner-ownership stress,smpc_adaptive_floor_weak,smpc_var_risk,adaptive floor_weak,PASS,10.05000014975667,0.009900990099009901,0.9900990099009901,4.887094475621549,2.4000000000000004,0.0,0.14356435643564355,0.1485148514851485,0.009900990099009901,1.7538538302290776,4.91657770846092,4.9165777071316965,1.5242107553948887,False,True,0.0594059405940594
v12 close-stop 4.0m,smpc_fixed_aggressive,smpc_fixed_risk,fixed aggressive,PASS,10.100000150501728,0.009852216748768473,0.9901477832512315,4.547272487678979,2.4000000000000012,0.20000000000000107,0.1477832512315271,0.1477832512315271,0.009852216748768473,1.8062735520124553,4.833779957355453,4.8337799601715075,1.4227801684399124,False,True,0.10344827586206896
v12 close-stop 4.0m,smpc_fixed_medium,smpc_fixed_risk,fixed medium,PASS,10.55000015720725,0.009433962264150943,0.9905660377358491,4.542681607551128,2.4000000000000012,0.20000000000000107,0.14150943396226415,0.14150943396226415,0.009433962264150943,1.8249177902087683,4.828735336717844,4.8287353394384755,1.4168125150118984,False,True,0.09905660377358491
v12 close-stop 4.0m,smpc_fixed_conservative,smpc_fixed_risk,fixed conservative,PASS,10.30000015348196,0.00966183574879227,0.9903381642512077,4.5202517797229405,2.4000000000000012,0.20000000000000107,0.14492753623188406,0.14492753623188406,0.00966183574879227,1.821953413578204,4.759599217558828,4.7595992216558995,1.3316243119814137,False,True,0.04830917874396135
v12 close-stop 4.0m,smpc_adaptive_floor_weak,smpc_var_risk,adaptive floor_weak,PASS,10.100000150501728,0.009852216748768473,0.9901477832512315,4.508601644374307,2.4000000000000012,0.20000000000000107,0.1477832512315271,0.1477832512315271,0.009852216748768473,1.791834020518246,4.725038700387749,4.7250387051591005,1.290003594871939,False,True,0.04926108374384237
