run,difficulty,arm,gate_status,solver_failure_frac,feasibility_percent,infeasible_steps_logged,dominant_infeasible_phase,final_safety_interpretation
v12 close-stop baseline,init01,smpc_fixed_aggressive,PASS,0.009852216748768473,0.9901477832512315,2,critical/pre-clearance / cautious_approach_observed_target: 2,PASS gate; solver failures are low and phase-localized.
v12 close-stop baseline,init01,smpc_fixed_medium,PASS,0.009433962264150943,0.9905660377358491,2,critical/pre-clearance / cautious_approach_observed_target: 2,PASS gate; solver failures are low and phase-localized.
v12 close-stop baseline,init01,smpc_fixed_conservative,PASS,0.00966183574879227,0.9903381642512077,2,critical/pre-clearance / cautious_approach_observed_target: 2,PASS gate; solver failures are low and phase-localized.
v12 close-stop baseline,init01,smpc_adaptive_floor_weak,PASS,0.009852216748768473,0.9901477832512315,2,critical/pre-clearance / cautious_approach_observed_target: 2,PASS gate; solver failures are low and phase-localized.
fine target-speed sweep,target_speed_8p8,smpc_fixed_aggressive,PASS,0.009302325581395349,0.9906976744186047,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_8p8,smpc_fixed_medium,PASS,0.0091324200913242,0.9908675799086758,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_8p8,smpc_fixed_conservative,PASS,0.008658008658008658,0.9913419913419913,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_8p8,smpc_adaptive_floor_weak,PASS,0.009433962264150943,0.9905660377358491,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p0,smpc_fixed_aggressive,PASS,0.00975609756097561,0.9902439024390244,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
fine target-speed sweep,target_speed_9p0,smpc_fixed_medium,PASS,0.00980392156862745,0.9901960784313726,,phase_not_logged_in_this_sweep_summary,Use solver_failure_frac with post-CARLA gate; do not infer phase without per-step diagnostics.
