difficulty,target_speed,arm,policy,gate_status,footprint_collision,target_clears_before_ego_enters,completion_time,completion_valid,dmin_TV,min_center_distance_m,min_footprint_separation_m,first_stop_distance_to_conflict_m,waiting_time_after_first_stop_s,delay_after_target_clearance_s,supervisor_active_fraction,solver_bypass_fraction,infeasible_fraction,mean_abs_final_minus_nominal_accel,critical_pre_tightening,near_pre_tightening,near_post_tightening
target_speed_8p8,8.8,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.700000159442425,1.0,4.757193667487062,4.757193667305419,1.3296644011515824,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445973
target_speed_8p8,8.8,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.900000162422657,1.0,4.758087804187566,4.758087803615987,1.3309576161593286,,,,,,,,1.6400000000000003,1.6400000000000003,1.639999999999993
target_speed_8p8,8.8,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,11.500000171363354,1.0,4.820332242491382,4.820332241181436,1.408020939385337,,,,,,,,2.0537489106318243,2.053748910631824,2.0537489106318243
target_speed_8p8,8.8,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.55000015720725,1.0,4.740038960524869,4.740038960440477,1.3081857362589069,,,,,,,,1.7277383526538999,1.6553878913861502,1.2815515655445975
target_speed_9p0,9.0,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.200000151991844,1.0,4.762339196280452,4.762339200526573,1.334858396200311,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445977
target_speed_9p0,9.0,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.150000151246786,1.0,4.761862430486588,4.761862434710692,1.3346912222153628,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999937
target_speed_9p0,9.0,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.30000015348196,1.0,4.744956813839371,4.744956815870538,1.3221307044678592,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631822
target_speed_9p0,9.0,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.200000151991844,1.0,4.725128622712918,4.725128627630683,1.2899796928351008,,,,,,,,1.7274956868077889,1.64708041747856,1.2815515655445977
target_speed_9p2,9.2,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,10.400000154972076,1.0,4.765945579966235,4.765945568080063,1.3341284599488719,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445975
target_speed_9p2,9.2,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,10.350000154227018,1.0,4.827543145376711,4.8275431564123386,1.409669415784988,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999935
target_speed_9p2,9.2,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.200000151991844,1.0,4.771588714579665,4.771588702515617,1.3403796061199016,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631822
target_speed_9p2,9.2,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,10.950000163167715,1.0,4.781153589795727,4.781153599485879,1.3628952362753926,,,,,,,,1.727336705235599,1.6731896211881288,1.281551565544597
target_speed_9p4,9.4,smpc_fixed_aggressive,smpc_fixed_risk,PASS,False,True,11.000000163912773,1.0,4.761205721058883,4.761205715033638,1.333209734282412,,,,,,,,1.2815515655446004,1.2815515655446001,1.2815515655445968
target_speed_9p4,9.4,smpc_fixed_medium,smpc_fixed_risk,PASS,False,True,11.450000170618296,1.0,4.758671069243831,4.758671062195286,1.329261135677957,,,,,,,,1.6400000000000003,1.6400000000000003,1.6399999999999926
target_speed_9p4,9.4,smpc_fixed_conservative,smpc_fixed_risk,PASS,False,True,10.950000163167715,1.0,4.762782063655892,4.762782057601077,1.3351354856658597,,,,,,,,2.0537489106318243,2.053748910631824,2.053748910631824
target_speed_9p4,9.4,smpc_adaptive_floor_weak,smpc_var_risk,PASS,False,True,11.000000163912773,1.0,4.724134034212548,4.724134028699065,1.2889418816498985,,,,,,,,1.7271255956054834,1.6649734382026,1.2815515655445968
