run_id,model_cell_id,seed,old_temperature,corrected_temperature,old_covariance_scale,corrected_covariance_scale,model_artifact_identity,cached_weights_sha256,corrected_validity,old_uncalibrated_trajectory_mixture_NLL_per_step_mean,old_uncalibrated_pointwise_mixture_NLL_mean,old_uncalibrated_top1_ADE_mean,old_uncalibrated_top1_FDE_mean,old_calibrated_trajectory_mixture_NLL_per_step_mean,old_calibrated_pointwise_mixture_NLL_mean,old_calibrated_top1_ADE_mean,old_calibrated_top1_FDE_mean,corrected_uncalibrated_trajectory_mixture_NLL_per_step_mean,corrected_uncalibrated_pointwise_mixture_NLL_mean,corrected_uncalibrated_top1_ADE_mean,corrected_uncalibrated_top1_FDE_mean,corrected_calibrated_trajectory_mixture_NLL_per_step_mean,corrected_calibrated_pointwise_mixture_NLL_mean,corrected_calibrated_top1_ADE_mean,corrected_calibrated_top1_FDE_mean
v3__head-large__lr1e-4__s11__data100,head-large,11,3.1748021039363983,0.6299605249474366,2.5722163336702906,0.012861081668351452,847abdf05aae0b6872d9ac5afa3452d4c3c93b042495338f5f4df615289e9c00,84c9de14eb1f4fa8bcafe24e9f117328702d73f2cd85da2d1b1ba0053d25bcca,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.624560356140137,3.8457958698272705,2.5726611614227295,6.663092136383057,3.9395077228546143,3.8501484394073486,2.5726611614227295,6.663092136383057,1.877449631690979,1.9642155170440674,0.2380862683057785,0.45119985938072205,-1.4838542938232422,-1.3944494724273682,0.2380862683057785,0.45119985938072205
v3__head-large__lr1e-4__s23__data100,head-large,23,3.1748021039363983,0.6299605249474366,2.5722163336702906,0.012861081668351452,898a928378fb3cebcfb89980e02586f93576193b0db3f211a74c90079c7c0023,e901f43457dd5755239700fbed42c492fd4a6b690841730c556e22df10ba77ba,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.624917984008789,3.8460259437561035,2.5725605487823486,6.662588596343994,3.9397716522216797,3.849943161010742,2.5725605487823486,6.662588596343994,1.877419114112854,1.9651178121566772,0.238878533244133,0.45099911093711853,-1.4797608852386475,-1.3765974044799805,0.238878533244133,0.45099911093711853
v3__head-large__lr1e-4__s37__data100,head-large,37,3.1748021039363983,0.6299605249474366,2.5722163336702906,0.012861081668351452,54b5aa571e446a4e7a214168aa1bb3ee3727f37aa2f9bd4db91e787b47e6c7d6,8beb006a31b49f2750f26e2591c0222bd6e16b1acf4b2cbc54e808e22b4e47d2,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.629396915435791,3.8684794902801514,2.585345506668091,6.679075717926025,3.9384193420410156,3.8453402519226074,2.585345506668091,6.679075717926025,1.8742536306381226,1.9559863805770874,0.25043031573295593,0.4733780026435852,-1.5861159563064575,-1.4858115911483765,0.25043031573295593,0.4733780026435852
v3__mlp-h0p0-large__lr1e-4__s11__data100,mlp-h0p0-large,11,3.1748021039363983,0.7071067811865475,2.5722163336702906,0.012861081668351452,5b05ab63f6e0e2afe2a349d2372563c0a81c81758e50bf3032437d5211d7310e,a266f829271717611bea0ffcb863bdfc5912064015cd0d6a381b89b715d1224f,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.5909929275512695,3.8044638633728027,2.5477848052978516,6.724505424499512,3.921637773513794,3.819624662399292,2.5477848052978516,6.724505424499512,1.8677785396575928,1.9291045665740967,0.22173269093036652,0.5494583249092102,-1.4783506393432617,-1.3841241598129272,0.22173269093036652,0.5494583249092102
v3__mlp-h0p0-large__lr1e-4__s23__data100,mlp-h0p0-large,23,3.1748021039363983,0.7937005259840998,2.5722163336702906,0.012861081668351452,8a4a7c4489757eb29f131e64475ca60269fba1ccad7380610866d1eb26db5461,dc9be6dd7368522f8fcfaec4dd96609f02b6beaefefad2877355e0502a5dc117,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.5874810218811035,3.8047261238098145,2.5532538890838623,6.738346099853516,3.9203624725341797,3.8187146186828613,2.5532538890838623,6.738346099853516,1.8687175512313843,1.9299170970916748,0.2264491617679596,0.5462255477905273,-1.4296032190322876,-1.338018536567688,0.2264491617679596,0.5462255477905273
v3__mlp-h0p0-large__lr1e-4__s37__data100,mlp-h0p0-large,37,3.1748021039363983,0.7071067811865475,2.5722163336702906,0.012861081668351452,b1ea1ad389e5062b5a16a5396544c27097a5df5fb77d287f481cce99a9811f3a,fc0a9851197530c4e77f39ce60d24216a9a7339e900fd33b34648f2a95dff553,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.5907793045043945,3.8047943115234375,2.564405918121338,6.771146297454834,3.92170786857605,3.8184256553649902,2.564405918121338,6.771146297454834,1.8678280115127563,1.9293277263641357,0.2278844565153122,0.563730001449585,-1.4175556898117065,-1.346381664276123,0.2278844565153122,0.563730001449585
v3__mlp-h0p4-large__lr1e-4__s11__data100,mlp-h0p4-large,11,3.1748021039363983,0.6299605249474366,2.5722163336702906,0.006632064580675554,65761e05562547586a6651d9a01c7b0ed36cd3598cfef9ed5dbf890ce4db9efd,62c9bdf0e198228a26cd50367ca92f35e17467b82eefe97a164fc16a59e1edb5,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.58528995513916,3.7970523834228516,2.512303113937378,6.711245059967041,3.9194366931915283,3.8239200115203857,2.512303113937378,6.711245059967041,1.8607492446899414,1.9225351810455322,0.1754187047481537,0.4724575877189636,-2.053379535675049,-2.0828490257263184,0.1754187047481537,0.4724575877189636
v3__mlp-h0p4-large__lr1e-4__s23__data100,mlp-h0p4-large,23,3.1748021039363983,0.5612310241546865,2.5722163336702906,0.006632064580675554,2311c3103b9c5e6b0e9927f671d21f7c2a7030f00a860e9057b0cbd61177e388,93800f182804ded145430bb8808f7acfc3e4e44f4751dad12363deb434cdb62a,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.572936058044434,3.7941882610321045,2.4963176250457764,6.667426109313965,3.913454532623291,3.8190712928771973,2.4963176250457764,6.667426109313965,1.8604358434677124,1.9198753833770752,0.1629246473312378,0.44632959365844727,-2.1166892051696777,-2.1633596420288086,0.1629246473312378,0.44632959365844727
v3__mlp-h0p4-large__lr1e-4__s37__data100,mlp-h0p4-large,37,3.1748021039363983,0.5612310241546865,2.5722163336702906,0.00827037108400028,12c29ce4e940b8b071af27bbaf0445f18af7549131cb4b3548118477a41647c3,ab4ab3237d5d02626f7776d831cd93e4c646422239ec55230e6343208e2fc1f7,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.580316543579102,3.7980990409851074,2.5246639251708984,6.733747959136963,3.917959690093994,3.8210785388946533,2.5246639251708984,6.733747959136963,1.8613176345825195,1.923761010169983,0.18293602764606476,0.4871247410774231,-2.008617639541626,-1.9890108108520508,0.18293602764606476,0.4871247410774231
v3__mlp-h1p0-large__lr1e-4__s11__data100,mlp-h1p0-large,11,3.1748021039363983,0.6299605249474366,2.5722163336702906,0.006632064580675554,ba59915af4b8feccf5370c9463ee3dd88a6b4f52c0124f17f224797efa3201ef,b998df8f8d8dbd4da30b470698682fa4fb4fb6b3fbccbce4d2d5ac891b267178,"{'contract': 'future_valid_mask_fail_closed_v4', 'fixed_horizon_FDE_samples': 330, 'full_horizon_samples': 330, 'horizon_steps': 10, 'invalid_future_steps': 900, 'mask_sha256': '013e66ea7f4478080829a25d0df10939b0025992d40ddaeb5e528c3c998bdecb', 'partial_horizon_samples': 180, 'samples': 510, 'valid_future_steps': 4200, 'valid_length_histogram': {'1': 20, '10': 330, '2': 20, '3': 20, '4': 20, '5': 20, '6': 20, '7': 20, '8': 20, '9': 20}}",4.578094482421875,3.7979164123535156,2.5129809379577637,6.6895294189453125,3.916792392730713,3.8257980346679688,2.5129809379577637,6.6895294189453125,1.8596203327178955,1.9217983484268188,0.1711694896221161,0.46014100313186646,-2.2511773109436035,-2.2306551933288574,0.1711694896221161,0.46014100313186646
