run_id,model_cell_id,seed,epochs_completed,best_epoch,best_validation_rollout_macro_nll,last_validation_rollout_macro_nll,tail_window_epochs,tail_best_improvement,tail_slope_per_epoch,boundary_best,unresolved_boundary_underfit_risk,last_train_loss,last_validation_loss,last_validation_minus_train_loss,per_epoch_checkpoints,epoch_recovery_preserved,maximum_trainable_weight_change,completion_sha256
v3__head-large__lr1e-4__s11__data100,head-large,11,120,115,1.8459720611572266,1.8461542129516602,11,0.00040400028228759766,-2.5119564750055648e-05,False,False,0.05150553956627846,0.04664194956421852,-0.0048635900020599365,120,True,0.36631131172180176,85c99edabb004ec3f0caead1193517d2174948073b53e94923a4252983f1e7a3
v3__head-large__lr1e-4__s23__data100,head-large,23,120,115,1.8458703756332397,1.8464488983154297,11,0.0006250143051147461,-1.3008984652486379e-05,False,False,0.05155208334326744,0.04671641066670418,-0.004835672676563263,120,True,0.3686278462409973,54150020bf9f6d7992c34db3765c844613bce27e8a423afa63ad2d9e02f7f6b9
v3__head-large__lr1e-4__s37__data100,head-large,37,120,116,1.846060037612915,1.8463808298110962,11,0.0005402565002441406,-1.0468743064853309e-06,True,False,0.05135698616504669,0.04656197503209114,-0.004795011132955551,120,True,0.3742404580116272,cc38b5efc0b6a910df34e63af7e008075dbaa40c3de9deec2453f2e294bfe277
v3__mlp-h0p0-large__lr1e-4__s11__data100,mlp-h0p0-large,11,93,81,1.86702561378479,1.8674027919769287,11,0.0003018379211425781,-4.439462314953538e-05,False,False,0.19456304609775543,0.18038715422153473,-0.014175891876220703,93,True,0.22050710022449493,9b66fa4be93d5b34d5a6003fcda1dfcf625aa0c30fb4f94980ae74dd47911a44
v3__mlp-h0p0-large__lr1e-4__s23__data100,mlp-h0p0-large,23,88,76,1.8671993017196655,1.867903709411621,11,0.0016113519668579102,-5.1214478232723145e-05,False,False,0.19314803183078766,0.17906241118907928,-0.014085620641708374,88,True,0.2188713252544403,11d3f4078a9826cedd5c7f55dd326be746be76ecda82040a5a24606e2fc98554
v3__mlp-h0p0-large__lr1e-4__s37__data100,mlp-h0p0-large,37,76,64,1.8679202795028687,1.8684450387954712,11,0.00021839141845703125,-7.116144353692854e-05,False,False,0.19563201069831848,0.18266023695468903,-0.012971773743629456,76,True,0.1717263162136078,b995a496d310bfd39632af0ad5e5187726d82bae8835f7e28f418e7d4e54f108
v3__mlp-h1p0-large__lr1e-4__s11__data100,mlp-h1p0-large,11,57,45,1.8589308261871338,1.8594646453857422,11,0.0001462697982788086,-2.1100044250468356e-05,False,False,0.17509280145168304,0.1634962409734726,-0.01159656047821045,57,True,0.11702234297990799,676c4da9b58ffc07e5d930be3e285d7f07b3ea8ca226fe9323029326848e1f20
v3__mlp-h1p0-large__lr1e-4__s23__data100,mlp-h1p0-large,23,66,54,1.8590081930160522,1.859581708908081,11,0.0002549886703491211,-2.4691495028365228e-05,False,False,0.1754480004310608,0.16278059780597687,-0.012667402625083923,66,True,0.13746856153011322,c2aabc95db7eef5fc02a71e6942069faf0ff877204690bc77dd35498ec8c3e9c
v3__mlp-h1p0-large__lr1e-4__s37__data100,mlp-h1p0-large,37,85,73,1.859180212020874,1.8595221042633057,11,0.0007810592651367188,-4.176551645452104e-05,False,False,0.17100302875041962,0.16183017194271088,-0.00917285680770874,85,True,0.14327195286750793,16452089379533992900561671c6750bbad14519f14c1d1d19c25565bbef9eb7
v3__transformer-h0p0-large__lr1e-4__s11__data100,transformer-h0p0-large,11,65,53,1.8684461116790771,1.8692238330841064,11,0.0007145404815673828,-6.12193887875773e-06,False,False,0.18278104066848755,0.16867607831954956,-0.014104962348937988,65,True,0.14866924285888672,a4092085a4a04c1ac4ce9fa477628ac7c2857dc980231692e774b99c333cc836
