contrast_id,contrast_role,corrected_exact_sign_flip_p,corrected_group_bootstrap_ci_high,corrected_group_bootstrap_ci_low,corrected_holm_p,corrected_v4_effect,crossed_seed_init_ci_high,crossed_seed_init_ci_low,evidence_role,full_horizon_ci_high,full_horizon_ci_low,full_horizon_recalibrated_effect,independent_init_groups,metric,old_v3_effect_diagnostic_only,reported_adjusted_p
B1_minus_mlp_full_large,supporting_descriptive,0.625,0.1633418877919515,-0.6250080029169719,,-0.17281518777211508,0.1633418877919515,-0.6200968182086944,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.020280615488688154,
B1_minus_transformer_full_large,supporting_descriptive,0.0625,-0.11888858477274575,-0.9388853073120117,,-0.41982611020406085,-0.11620899041493733,-0.9358412027359009,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.02698844273885091,
H1_capacity_transformer_full_small_minus_large,primary,0.1875,0.20792345583438465,-0.013376355171203613,0.25,0.11237579981486004,0.29357271989186606,-0.05134460131327311,retrospective_primary_n5_resolution_limited,0.21568373263253862,-0.025632607373335288,0.11188174516589759,5,rollout_macro_nll,0.0004130045572916666,0.25
H2_information_mlp_snapshot_minus_full,primary,0.0625,1.002118436495463,0.5491511503855387,0.25,0.7936484813690184,1.017651915550232,0.5491511503855387,retrospective_primary_n5_resolution_limited,1.0655415377001596,0.5029886343002409,0.8103760558683227,5,rollout_macro_nll,0.004026412963867188,0.25
H2_information_transformer_snapshot_minus_full,primary,0.0625,0.6472522258758545,0.46502076784769697,0.25,0.5786387364069621,0.6783447265625,0.4595476778348287,retrospective_primary_n5_resolution_limited,0.6829155149947675,0.46934500275402613,0.6042312602884958,5,rollout_macro_nll,0.003728008270263672,0.25
H3_attention_history_gain_difference_in_differences,primary,0.0625,-0.0751532793045044,-0.35486621061960855,0.25,-0.21500974496205644,-0.053940900166829425,-0.39456302066644033,retrospective_primary_n5_resolution_limited,-0.02966356845426198,-0.382626022705392,-0.20614479557982696,5,rollout_macro_nll,-0.0002984046936035156,0.25
architecture_direct_mlp_minus_transformer__h0p0__large,supporting_descriptive,0.1875,0.010302241643269858,-0.06372491518656413,,-0.03200117746988932,0.029611244797705875,-0.10798721313476563,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.007006231943766277,
architecture_direct_mlp_minus_transformer__h0p4__large,supporting_descriptive,0.3125,0.1087884744008382,-0.015250237782796222,,0.04676911830902099,0.14269334475199383,-0.04541969299316406,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.007503032684326172,
architecture_direct_mlp_minus_transformer__h1p0__large,supporting_descriptive,0.125,-0.07522840499877931,-0.4032673438390096,,-0.2470109224319458,-0.06396925449371338,-0.41069128513336184,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.006707827250162761,
capacity_transformer_full_medium_minus_large,supporting_descriptive,0.125,0.1424480120340983,0.015373380978902179,,0.07389501730600992,0.17116883277893005,0.0003854672114054362,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,-0.0009842554728190104,
capacity_transformer_full_small_minus_medium,supporting_descriptive,0.4375,0.12086862723032635,-0.06344831784566243,,0.0384807825088501,0.23536820590496013,-0.12841196060180665,retrospective_supporting_descriptive_no_confirmatory_p,,,,5,rollout_macro_nll,0.0013972600301106772,
