best_epoch,boundary_limited,cached_weights_sha256,calibration_sha256,covariance_scale,epochs_completed,heldout_FDE_2s_m,heldout_FDE_2s_support,heldout_invalid_future_steps,heldout_partial_samples,heldout_rollout_macro_nll,heldout_samples,heldout_top1_ADE_m,heldout_valid_future_steps,mask_contract,model_cell_id,model_identity,run_id,seed,selection_FDE_2s_m,selection_FDE_2s_support,selection_invalid_future_steps,selection_partial_samples,selection_rollout_macro_nll,selection_samples,selection_top1_ADE_m,selection_valid_future_steps,temperature,trainable_parameters,training_complete
115,False,c4db58db2a406d7a06905bd76ce66588488e3e4a06bca745b6e019c46b97e587,e7d2aebf090af821fe0188d460c5921722c4cdbea9c38c1f0a0c83c5954bce4e,0.002199214030112558,120,0.11057374626398087,326,900,180,-2.4500269889831543,506,0.06076420471072197,4160,future_valid_mask_fail_closed_v4,head-large,069984d7bdf822a0c32cd45de89a39e6bdda9a8e55b56993f69ad57cfe227783,v3__head-large__lr1e-4__s11__data100,11,0.06638037413358688,330,900,180,-3.2539138793945312,510,0.03850877285003662,4200,0.7071067811865475,1034208,True
115,False,a4c4b7fefa93b2b8e2976d2f3914f87fa236f0b9c21fce897e353fb0ff4efa6d,56194f5ff331277dc97783dfebf8d948e2ad0f0bb0c01121d413fae1140335cf,0.002199214030112558,120,0.1039271354675293,326,900,180,-2.4276740550994873,506,0.05794404819607735,4160,future_valid_mask_fail_closed_v4,head-large,e5e50bb4a3a119f793c4a3814d480e0f8a74620d82952cc7b01f8a8f6e14be68,v3__head-large__lr1e-4__s23__data100,23,0.06908614933490753,330,900,180,-3.2320220470428467,510,0.03991856053471565,4200,0.7071067811865475,1034208,True
116,True,aedd461141e676979eda01e546b0096775bbab592553c6576dff3646451c0c23,24461e1850c32f40490aa0331c0289b5244734c8c795d11ae5fce39cfa5c0572,0.002199214030112558,120,0.10211849212646484,326,900,180,-2.420610189437866,506,0.05688469484448433,4160,future_valid_mask_fail_closed_v4,head-large,e4053fc19bade8786f61f315f7b98be2d0409fcefc51b993e481b2b553bd396f,v3__head-large__lr1e-4__s37__data100,37,0.06727000325918198,330,900,180,-3.2048187255859375,510,0.03901148587465286,4200,0.6299605249474366,1034208,True
81,False,2812fbfae55b8b23fb7ff0d43e8c7795ce746d453f842cab8e59f6ff76e0629c,c58c9a40fed38ad18408132566e500b1502697cdb0189d849b3f9213a74cebb2,0.012861081668351452,93,0.44329530000686646,326,900,180,-1.4148242473602295,506,0.19538314640522003,4160,future_valid_mask_fail_closed_v4,mlp-h0p0-large,a724366d2ab3542e6312a566876d68ab4ecd4a1dc9c0738d38e922282344afc3,v3__mlp-h0p0-large__lr1e-4__s11__data100,11,0.5626119375228882,330,900,180,-1.4717270135879517,510,0.2262992113828659,4200,0.7071067811865475,1035312,True
76,False,bbc69ce920d5231409c0cab7f90710803c6e4ee7a1e5185bc7686766a2857525,2a6de109eaef649ebc421e7a785aba8e645f136d6c5d909736732311866fe8f5,0.012861081668351452,88,0.45471110939979553,326,900,180,-1.410190224647522,506,0.19622161984443665,4160,future_valid_mask_fail_closed_v4,mlp-h0p0-large,0205d8a26b0975bdff2e47f2cbdd0b1f63de48fb7b1414f447481b4cf1c508d6,v3__mlp-h0p0-large__lr1e-4__s23__data100,23,0.5646074414253235,330,900,180,-1.471513271331787,510,0.22549788653850555,4200,0.7071067811865475,1035312,True
64,False,9413bdebccf2ff629605ee2a98292e2e909f1d5bcf9ff6a7a27b4d74d15489c0,cad97e094da754c85cd6cecc5f25e09e0a3c66356ca792fc6c2a7c382aef2881,0.012861081668351452,76,0.45655345916748047,326,900,180,-1.3580652475357056,506,0.19878466427326202,4160,future_valid_mask_fail_closed_v4,mlp-h0p0-large,e09a5cf6fc2f161bc827b7be44a9ed7bfeb3fce0fdfa7b4df7592c04c59a0879,v3__mlp-h0p0-large__lr1e-4__s37__data100,37,0.567758321762085,330,900,180,-1.376563310623169,510,0.22851809859275818,4200,0.7071067811865475,1035312,True
42,False,24f924e8286288068db11c82797dcd8d044250981dea58e2520e0ada372774d1,8cdeb5fc87934e7222fc3bad98b15c6ccb8163128a306edffcd0b867bdee6fe3,0.006632064580675554,54,0.4001316428184509,326,900,180,-2.078488826751709,506,0.16134227812290192,4160,future_valid_mask_fail_closed_v4,mlp-h0p4-large,4ba99dd0901729f32855f9f792c5db1d75e8c0215fa37b4196e88989c02637fe,v3__mlp-h0p4-large__lr1e-4__s11__data100,11,0.46698635816574097,330,900,180,-2.106583595275879,510,0.17464759945869446,4200,0.6299605249474366,1035312,True
38,False,0f1412caed9d15b80377080936a70e8af061b7dfe29917f3b8ad6016fc62c87c,f17445c2d12209a2f434367c954a44399ae45eae2bdfcb897a055e8760f7d662,0.006632064580675554,50,0.4350697100162506,326,900,180,-2.0618698596954346,506,0.17183999717235565,4160,future_valid_mask_fail_closed_v4,mlp-h0p4-large,323e4b543ae01c89a0c1e7e77fb9daad72f8f65916c61f9432ec82e8efefd775,v3__mlp-h0p4-large__lr1e-4__s23__data100,23,0.49013176560401917,330,900,180,-2.1233417987823486,510,0.18163196742534637,4200,0.5612310241546865,1035312,True
37,False,731ecabe6a6dbfb15619e9e4c1f05fa921caf360d155a786cab54d18f9766d9f,4ca7940ea8a6029bbacc662e1efb2ca438edc2f11f625e5f01fecb5c1cf0ea97,0.00827037108400028,49,0.41752734780311584,326,900,180,-1.953381896018982,506,0.17292222380638123,4160,future_valid_mask_fail_closed_v4,mlp-h0p4-large,4d601dd5c55f2c3b25d0933ffe5f483bb09bc8584ed585fc6cb689cd142ba437,v3__mlp-h0p4-large__lr1e-4__s37__data100,37,0.4687340259552002,330,900,180,-1.9708582162857056,510,0.18028537929058075,4200,0.5612310241546865,1035312,True
45,False,984a9fcc52480944eeeab13285d81e8e5d3ebb789ec530e1aadd64a9de9babad,1581b4d6ef06fe664661c058814cf7ed831a3d279d93933a28954518628cf8b7,0.005318295896944989,57,0.38840365409851074,326,900,180,-2.214290142059326,506,0.15755125880241394,4160,future_valid_mask_fail_closed_v4,mlp-h1p0-large,b28b3f09bab4bd43e2219c4e793b250cd6cbf1d962ed4ec05e3c11a97cec23c6,v3__mlp-h1p0-large__lr1e-4__s11__data100,11,0.4526178240776062,330,900,180,-2.3469443321228027,510,0.16703131794929504,4200,0.6299605249474366,1035312,True
54,False,33ea7cfcdd9261889146f6db472ee962e1ec1b113098a3595714c308fb821dfe,b332ef5fe0a48b0331185b560b43f39ed9f2ce4b87d383fe7dd6962d47ff97b9,0.005318295896944989,66,0.38915297389030457,326,900,180,-2.192883014678955,506,0.15793706476688385,4160,future_valid_mask_fail_closed_v4,mlp-h1p0-large,9c6745554d20b912bba0dc68c65387ed94cbbf9d3af84a0dbcee45e9c9c096fe,v3__mlp-h1p0-large__lr1e-4__s23__data100,23,0.4512125551700592,330,900,180,-2.3464267253875732,510,0.16671210527420044,4200,0.6299605249474366,1035312,True
73,False,db9407d863d5678d12ea60a4c183f188ce8d60210b3e54c2f74268f531507f9c,aea087a312911b012ff5762635f5652e5ec3426942b6d805eec9c79d77461c29,0.005318295896944989,85,0.3951023519039154,326,900,180,-2.217332601547241,506,0.15598222613334656,4160,future_valid_mask_fail_closed_v4,mlp-h1p0-large,8829bcc5a6ba5a43e4d0a5c21e18b0bbf706d93322d111f46041f96ed920f3c2,v3__mlp-h1p0-large__lr1e-4__s37__data100,37,0.4492461681365967,330,900,180,-2.381364345550537,510,0.16563859581947327,4200,0.7071067811865475,1035312,True
53,False,9bf9775a458c4b59417c4280fa7109c63d7816af08f2f6b118fcc40d33190bac,e232a4bf9bb14590ae0f244f2b92d9ef12d0b2a594e252a940657bdb63e854a2,0.016038130606994976,65,0.44901975989341736,326,900,180,-1.3710402250289917,506,0.19579176604747772,4160,future_valid_mask_fail_closed_v4,transformer-h0p0-large,7c189cb6a51243d18377e5cb7d0597936704cde996f595b4e6a2cba65baf5ae8,v3__transformer-h0p0-large__lr1e-4__s11__data100,11,0.5551596879959106,330,900,180,-1.2949039936065674,510,0.22663548588752747,4200,0.7071067811865475,1026816,True
54,False,9e79f2ba9ce8fd1958133db8a14dda4e00f3e8905656c6e916be5f7a8151d405,e69e34ed7cb955a9b3db47d97720465d0c0dcac5f46501233838f54fe83c45c4,0.016038130606994976,66,0.45402461290359497,326,900,180,-1.3385635614395142,506,0.19862909615039825,4160,future_valid_mask_fail_closed_v4,transformer-h0p0-large,de504441356edc8f9b5fd0e51eaa1bcbbc58088a7effecb795c914b3a7ecdf00,v3__transformer-h0p0-large__lr1e-4__s23__data100,23,0.5330860018730164,330,900,180,-1.320631504058838,510,0.21885034441947937,4200,0.7937005259840998,1026816,True
61,False,df349086a4eaedb2e08540fe768710a81e121afae7a71ac83eb03fcb5a4d01c3,17e0f227346332821c19195233c14a24aac080d8d04c09a5d87997bd2ddad67c,0.016038130606994976,73,0.45084986090660095,326,900,180,-1.374607801437378,506,0.19532400369644165,4160,future_valid_mask_fail_closed_v4,transformer-h0p0-large,f38281d678eecc2c5464ae863bbdd5163e783dcb9b84a09b6864965d37849708,v3__transformer-h0p0-large__lr1e-4__s37__data100,37,0.5520976185798645,330,900,180,-1.3589301109313965,510,0.223342627286911,4200,0.7071067811865475,1026816,True
89,False,5ae07f43c323288aa5b978922ae2eb704dc31d8a134a34d71a4812190d6ab442,2e3d9ef243ebf3ccdef91361e8a81889cbc521d0adebf105ffe3dfbdf87ee380,0.006632064580675554,101,0.39039069414138794,326,900,180,-2.1466140747070312,506,0.15096677839756012,4160,future_valid_mask_fail_closed_v4,transformer-h0p4-large,3c476696574fe7d13b6d2335f92f32ef21e7579d7a5cbbd13b95d998d6e0b7c5,v3__transformer-h0p4-large__lr1e-4__s11__data100,11,0.44538503885269165,330,900,180,-2.1481292247772217,510,0.16085240244865417,4200,0.5612310241546865,1026816,True
54,False,de852962efd1ffd1d5a876b626bcc9533b15e34da22cee3b796c8c9ada9cf5a0,5d5bf181720fa3204a95d146e5046be117094b04baa9a8c5acf528a6458e31a6,0.006632064580675554,66,0.41342130303382874,326,900,180,-2.039524555206299,506,0.16743351519107819,4160,future_valid_mask_fail_closed_v4,transformer-h0p4-large,4f3d8b8e9e5377267e4a73d850bfc8b72bb43183c6a2c14f898c9b2756e005b7,v3__transformer-h0p4-large__lr1e-4__s23__data100,23,0.4545500874519348,330,900,180,-2.0633490085601807,510,0.1702190339565277,4200,0.6299605249474366,1026816,True
57,False,76f9d87703c1bc0687f407141fc5d7e69e2c969cd040de4abaf605cc648affb3,98d864c4661fb7a7fec3e10cf64703f3345cc1b761bd84d81d58ca79cddd1edc,0.00827037108400028,69,0.4183989465236664,326,900,180,-2.059596061706543,506,0.16449683904647827,4160,future_valid_mask_fail_closed_v4,transformer-h0p4-large,f5c201d5d1574416f1d7799ad3ec8e924591203216880a2052d274ac12442e93,v3__transformer-h0p4-large__lr1e-4__s37__data100,37,0.45919737219810486,330,900,180,-2.021973133087158,510,0.17203693091869354,4200,0.5,1026816,True
83,False,0d9836ed632e1f334ecfdef97fb2d3f4fae14d4447f58c8bf7a79d0da1a093d4,f1403588303f1d9604d149940a7a2235cfe90980da5be0fb590108e10b62dcbe,0.00827037108400028,95,0.40616995096206665,326,900,180,-1.9855225086212158,506,0.1555621325969696,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-large,8c86ff25334130dbb2b320448e4ed9bcdc2a364ca4af00d03c73af6a3e898663,v3__transformer-h1p0-large__lr1e-4__s11__data100,11,0.44861507415771484,330,900,180,-2.0181567668914795,510,0.16467127203941345,4200,0.5612310241546865,1026816,True
52,False,c0b83163d1775c2646fbeecf1b47f71ce4abd1821aa33be971749d0519489ce1,0a7e212982009983dba8a70e9547dd7f783d09b50f027653566893096acb0dc9,0.00827037108400028,64,0.4272957444190979,326,900,180,-1.9372886419296265,506,0.1720096915960312,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-large,7b8b55e063c9b60c68a1eefdbd636fe860ebfac5dade484f5c60e3387ed240f9,v3__transformer-h1p0-large__lr1e-4__s23__data100,23,0.4671931266784668,330,900,180,-1.9477792978286743,510,0.17645850777626038,4200,0.5612310241546865,1026816,True
47,False,7c80b6729a328ac2605099c76d2af57a85bcce79313cf1f6463ebf2172cd9398,800a9d4ceec8c7d2cd5a4ff467be3fe3f119cc2eb07417320d1b91682765bd07,0.00827037108400028,59,0.42465463280677795,326,900,180,-1.9497463703155518,506,0.16951368749141693,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-large,f68b78ab510295e5ba645fe1fc4e105a524d182575cdaa9d4aeed6cf96635777,v3__transformer-h1p0-large__lr1e-4__s37__data100,37,0.46492916345596313,330,900,180,-1.8494758605957031,510,0.17586085200309753,4200,0.5612310241546865,1026816,True
59,False,6354bdb9db0c3a717b9ba07ab9c39811e91d0eac2be3e6c6ea6e935031b98afb,f96c4102e1b37c0617b58b3c0a5da97e7094a60e881e64c51be2ff02a993ffca,0.00827037108400028,71,0.4363916516304016,326,900,180,-1.9615857601165771,506,0.1771494448184967,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-medium,ed776bf58b06e681a100f152d57f5b42494c04d02b7975a9bbb722134fd1d79e,v3__transformer-h1p0-medium__lr1e-4__s11__data100,11,0.47249603271484375,330,900,180,-1.9071567058563232,510,0.18115045130252838,4200,0.5612310241546865,497840,True
65,False,11c46ea8db02a8c435c8654a5125efb27c806318a2a60a4ebb126b12f194aa09,1b4f15a6aa097768c5a284591888f37ad5e66d246ef3b1f29dee03301c2daae0,0.00827037108400028,77,0.4499184191226959,326,900,180,-1.8464982509613037,506,0.1826963722705841,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-medium,0b3d45e18e4cb33140c2746c24f58d3a3c3b10fca1f6a316bdba844b0c46ea89,v3__transformer-h1p0-medium__lr1e-4__s23__data100,23,0.47768697142601013,330,900,180,-1.8789373636245728,510,0.18293270468711853,4200,0.5612310241546865,497840,True
54,False,76fd03cf74d31f50397645959aed4549a2b32e5150dc7abb49687bc98c14f9a5,fbc61bbc937a614ec91744f03e5f64fbb9ee4b5feb11e545c59411dc662f3569,0.01031338537721246,66,0.4590575098991394,326,900,180,-1.8200328350067139,506,0.18510417640209198,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-medium,8574925794d4466615288f834d55fd4849a1b89fff4b8accc7ab541946411178,v3__transformer-h1p0-medium__lr1e-4__s37__data100,37,0.48667794466018677,330,900,180,-1.8153499364852905,510,0.18647970259189606,4200,0.5,497840,True
105,False,bf60a765a36ec77aada55eea382c39fb75e7147ade85d386f57ef733bc0c581d,38ccd44886406a972c877f460d2b8e6e89e16a09232e270fc10463e687b0cfd5,0.01031338537721246,117,0.42783865332603455,326,900,180,-1.7491414546966553,506,0.172037273645401,4160,future_valid_mask_fail_closed_v4,transformer-h1p0-small,916d46c7e50fb41243e67fd1601aa50c2ff0b89ee618f759ff253faa52fc3123,v3__transformer-h1p0-small__lr1e-4__s11__data100,11,0.47818002104759216,330,900,180,-1.6566652059555054,510,0.182761549949646,4200,0.5,167384,True
