result_id,value,unit,metric,aggregation_unit,evidence_role,source_file,source_locator
R_ABLATION_T1_SHUFFLE_MACRO_NLL,0.08481574058532715,nats/step,ablated minus original rollout-macro NLL,"frozen test split; 20 rollouts, 5 init groups",post_selection_mechanistic_diagnostic,docs/paper/generated/day10/gaps/context_ablation/interaction_context_ablation_summary.json,/variants/T1/modes/shuffle/subsets/all/deltas/ablated_minus_original_uncalibrated_rollout_macro_NLL
R_ABLATION_T2_SHUFFLE_MACRO_NLL,0.14940476417541504,nats/step,ablated minus original rollout-macro NLL,"frozen test split; 20 rollouts, 5 init groups",post_selection_mechanistic_diagnostic,docs/paper/generated/day10/gaps/context_ablation/interaction_context_ablation_summary.json,/variants/T2/modes/shuffle/subsets/all/deltas/ablated_minus_original_uncalibrated_rollout_macro_NLL
R_ABLATION_T2_ZERO_MACRO_NLL,0.09083116054534912,nats/step,ablated minus original rollout-macro NLL,"frozen test split; 20 rollouts, 5 init groups",post_selection_mechanistic_diagnostic,docs/paper/generated/day10/gaps/context_ablation/interaction_context_ablation_summary.json,/variants/T2/modes/zero/subsets/all/deltas/ablated_minus_original_uncalibrated_rollout_macro_NLL
R_DAY10_B1_REACTIVE_ADAPTIVE_ADJUSTED_DELAY_S,8.590000128000975,s,adjusted_delay_s,cell mean over five paired ego-init rollouts,primary,docs/paper/generated/day10/analysis/day10_cell_summary.csv,filter: predictor=B1; target_style=reactive; risk_policy=adaptive; column=target_clearance_adjusted_completion_delay_s_mean
R_DAY10_B1_REACTIVE_ADAPTIVE_FOOTPRINT_MARGIN_M,1.20021298658461,m,footprint_margin_m,cell mean over five paired ego-init rollouts,primary,docs/paper/generated/day10/analysis/day10_cell_summary.csv,filter: predictor=B1; target_style=reactive; risk_policy=adaptive; column=min_footprint_separation_m_mean
R_DAY10_B1_REACTIVE_FIXED_AGGRESSIVE_ADJUSTED_DELAY_S,8.340000124275685,s,adjusted_delay_s,cell mean over five paired ego-init rollouts,primary,docs/paper/generated/day10/analysis/day10_cell_summary.csv,filter: predictor=B1; target_style=reactive; risk_policy=fixed_aggressive; column=target_clearance_adjusted_completion_delay_s_mean
R_DAY10_B1_REACTIVE_FIXED_AGGRESSIVE_FOOTPRINT_MARGIN_M,1.1856344464767816,m,footprint_margin_m,cell mean over five paired ego-init rollouts,primary,docs/paper/generated/day10/analysis/day10_cell_summary.csv,filter: predictor=B1; target_style=reactive; risk_policy=fixed_aggressive; column=min_footprint_separation_m_mean
R_DAY10_RELIABILITY_FOOTPRINT_COLLISIONS,0,count,footprint_collisions,80 formal closed-loop rollouts,primary,docs/paper/generated/day10/analysis/day10_analysis_summary.json,/reliability/footprint_collisions
R_DAY10_RELIABILITY_YIELD_ORDER_FAILURES,0,count,yield_order_failures,80 formal closed-loop rollouts,primary,docs/paper/generated/day10/analysis/day10_analysis_summary.json,/reliability/yield_order_failures
R_SENS_SELECTED_ARCHITECTURE_STABLE,True,boolean,validation-selected architecture unchanged after conservative filter,matched 5-variant x 3-seed validation matrix,post_hoc_sensitivity,docs/paper/generated/day13/analysis/day13_filtered_sensitivity_summary.json,/selected_architecture_stable
R_TEST_B1_MACRO_NLL,1.857094407081604,nats/step,test_macro_nll,rollout-macro over 20 test rollouts,frozen_test_reporting,docs/paper/generated/day8/final_test/day8_frozen_test_summary.json,/runs/B1/subsets/all/uncalibrated_rollout_macro_NLL
R_TEST_B1_MINUS_B0_ADE,-1.1929180920124054,m,B1 minus B0 ADE,"matched test split; 20 rollouts, 5 init groups",matched_control,docs/paper/generated/day10/gaps/b0_offline/b0_frozen_offline_summary.json,/subsets/all/contrasts/B1_minus_B0_ADE
R_TEST_B1_MINUS_B0_FDE,-2.5553432404994965,m,B1 minus B0 FDE,"matched test split; 20 rollouts, 5 init groups",matched_control,docs/paper/generated/day10/gaps/b0_offline/b0_frozen_offline_summary.json,/subsets/all/contrasts/B1_minus_B0_FDE
R_TEST_B1_MINUS_B0_MACRO_NLL,-0.3136173486709595,nats/step,B1 minus B0 MACRO_NLL,"matched test split; 20 rollouts, 5 init groups",matched_control,docs/paper/generated/day10/gaps/b0_offline/b0_frozen_offline_summary.json,/subsets/all/contrasts/B1_minus_B0_MACRO_NLL
R_TIMING_ADAPTIVE_MINUS_FIXED_MEDIUM_B1_OFFSET_P3_MIN_FOOTPRINT_SEPARATION_M,0.3073395615419539,m,min_footprint_separation_m,five ego-init cluster means,primary,docs/paper/generated/day12/timing_synthesis/day12_timing_paired_contrasts.csv,filter: inference_scope=synthesis_policy_by_offset_primary; contrast=adaptive_minus_fixed_medium__B1__offset_p3; metric=min_footprint_separation_m
R_TIMING_ADAPTIVE_MINUS_FIXED_MEDIUM_B1_OFFSET_P3_TARGET_CLEARANCE_ADJUSTED_COMPLETION_DELAY_S,0.21000000312924386,s,target_clearance_adjusted_completion_delay_s,five ego-init cluster means,primary,docs/paper/generated/day12/timing_synthesis/day12_timing_paired_contrasts.csv,filter: inference_scope=synthesis_policy_by_offset_primary; contrast=adaptive_minus_fixed_medium__B1__offset_p3; metric=target_clearance_adjusted_completion_delay_s
R_TIMING_B1_MINUS_B0_ADAPTIVE_OFFSET_P3_MIN_FOOTPRINT_SEPARATION_M,0.07535088218744149,m,min_footprint_separation_m,five ego-init cluster means,primary,docs/paper/generated/day12/timing_synthesis/day12_timing_paired_contrasts.csv,filter: inference_scope=synthesis_predictor_by_offset_primary; contrast=B1_minus_B0__adaptive__offset_p3; metric=min_footprint_separation_m
R_TIMING_B1_MINUS_B0_FIXED_MEDIUM_OFFSET_0_TARGET_CLEARANCE_ADJUSTED_COMPLETION_DELAY_S,0.29500000439584256,s,target_clearance_adjusted_completion_delay_s,five ego-init cluster means,primary,docs/paper/generated/day12/timing_synthesis/day12_timing_paired_contrasts.csv,filter: inference_scope=synthesis_predictor_by_offset_primary; contrast=B1_minus_B0__fixed_medium__offset_0; metric=target_clearance_adjusted_completion_delay_s
R_TIMING_B1_MINUS_B0_FIXED_MEDIUM_OFFSET_M3_TARGET_CLEARANCE_ADJUSTED_COMPLETION_DELAY_S,-0.7550000112503767,s,target_clearance_adjusted_completion_delay_s,five ego-init cluster means,primary,docs/paper/generated/day12/timing_synthesis/day12_timing_paired_contrasts.csv,filter: inference_scope=synthesis_predictor_by_offset_primary; contrast=B1_minus_B0__fixed_medium__offset_m3; metric=target_clearance_adjusted_completion_delay_s
R_VAL_B1_S11_MACRO_NLL,1.8608615398406982,nats/step,validation rollout-macro trajectory mixture NLL per step,rollout macro mean over validation split,primary,docs/paper/generated/day8/final_validation/day8_validation_summary.json,/runs/B1/seed_11/subsets/all/uncalibrated_rollout_macro_trajectory_NLL_per_step
