scope,contrast,metric,effect,ci95_low,ci95_high,exact_p,holm_p,independent_init_groups
synthesis_predictor_pooled_primary,B1_minus_B0__fixed_medium__all_offsets,target_clearance_adjusted_completion_delay_s,-0.37000000551342965,-0.7166666773458322,-0.023333333681027094,0.1875,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__fixed_medium__all_offsets,min_footprint_separation_m,-0.06935149942789638,-0.19874762281607383,0.0036089708939936725,0.375,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__fixed_medium__all_offsets,solver_failure_fraction,6.700491576048532e-05,-0.00035231185979628095,0.00039363982998405044,0.8125,1.0,5
synthesis_predictor_pooled_primary,B1_minus_B0__fixed_medium__all_offsets,supervisor_active_fraction,0.004955878115569533,-6.076431620982656e-05,0.010716965449693324,0.25,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_m3,target_clearance_adjusted_completion_delay_s,-0.7550000112503767,-1.5000000223517418,-0.010000000149011612,0.1875,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_m3,min_footprint_separation_m,-0.1212445695731835,-0.34719485126785704,-0.002526075043694309,0.0625,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_m3,solver_failure_fraction,0.0,0.0,0.0,1.0,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_m3,supervisor_active_fraction,0.011388794122430221,-0.0008767028349559947,0.02461113713728504,0.3125,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_0,target_clearance_adjusted_completion_delay_s,0.29500000439584256,-0.18500000275671483,0.8150000121444464,0.5,1.0,5
synthesis_predictor_by_offset_primary,B1_minus_B0__fixed_medium__offset_0,min_footprint_separation_m,-0.041156100290423395,-0.11597715833278344,0.005889203576377544,0.3125,1.0,5
