release_table,release_row,field,value,canonical_source_locator,aggregation_unit,population_id
table02_foundation_and_cia.csv,2,estimate,2.1707117557525635,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,3,estimate,1.2826716899871826,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,4,estimate,2.6443111896514893,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,5,estimate,1.857094407081604,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,6,estimate,0.09965752065181732,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,7,estimate,0.12089526653289795,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro,5,F0_foundation
table02_foundation_and_cia.csv,8,estimate,0.0004130045572916666,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H1_capacity_transformer_full_small_minus_large,5,F4_capacity_information_architecture
table02_foundation_and_cia.csv,9,estimate,0.004026412963867188,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H2_information_mlp_snapshot_minus_full,5,F4_capacity_information_architecture
table02_foundation_and_cia.csv,10,estimate,0.003728008270263672,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H2_information_transformer_snapshot_minus_full,5,F4_capacity_information_architecture
table02_foundation_and_cia.csv,11,estimate,-0.0002984046936035156,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H3_attention_history_gain_difference_in_differences,5,F4_capacity_information_architecture
table02_foundation_and_cia.csv,12,estimate,0.006707827250162761,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=architecture_direct_mlp_minus_transformer__h1p0__large,5,F4_capacity_information_architecture
table05_v3_transfer_effects.csv,2,effect,0.09250000137835741,docs/paper/generated/capacity_history_v3/final/table_model_by_risk_contrasts.csv::contrast_id=completion_time_s__P_star_minus_B1__fixed_medium,10,F5_v3_selected_model_closed_loop
