evidence_block,comparison_member,metric,estimate,ci95_low,ci95_high,independent_groups,population,source_locator
F0_foundation,B0,rollout_macro_NLL,2.1707117557525635,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro
F0_foundation,B0,top1_ADE_m,1.2826716899871826,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro
F0_foundation,B0,top1_FDE_m,2.6443111896514893,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B0;aggregation_level=rollout_macro
F0_foundation,B1,rollout_macro_NLL,1.857094407081604,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro
F0_foundation,B1,top1_ADE_m,0.09965752065181732,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro
F0_foundation,B1,top1_FDE_m,0.12089526653289795,,,5,Town05 groups 46--50,docs/paper/generated/supervisor_feedback_v1/03_finetune_audit/frozen_test_same_aggregation.csv::variant=B1;aggregation_level=rollout_macro
F4_capacity_information_architecture,H1_capacity_transformer_full_small_minus_large,rollout_macro_nll,0.0004130045572916666,0.0003067970275878906,0.0004961013793945313,5,Town05 retrospective held-out groups 41--45,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H1_capacity_transformer_full_small_minus_large
F4_capacity_information_architecture,H2_information_mlp_snapshot_minus_full,rollout_macro_nll,0.004026412963867188,0.00338279406229655,0.004649766286214193,5,Town05 retrospective held-out groups 41--45,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H2_information_mlp_snapshot_minus_full
F4_capacity_information_architecture,H2_information_transformer_snapshot_minus_full,rollout_macro_nll,0.003728008270263672,0.002824831008911133,0.004523388544718425,5,Town05 retrospective held-out groups 41--45,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H2_information_transformer_snapshot_minus_full
F4_capacity_information_architecture,H3_attention_history_gain_difference_in_differences,rollout_macro_nll,-0.0002984046936035156,-0.0014114379882812498,0.0006196498870849609,5,Town05 retrospective held-out groups 41--45,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=H3_attention_history_gain_difference_in_differences
F4_capacity_information_architecture,architecture_direct_mlp_minus_transformer__h1p0__large,rollout_macro_nll,0.006707827250162761,0.005067761739095053,0.008057117462158203,5,Town05 retrospective held-out groups 41--45,docs/paper/generated/capacity_history_v3/final/table_three_axis_contrasts.csv::contrast_id=architecture_direct_mlp_minus_transformer__h1p0__large
