supervisor_authority_mode,risk_policy,target_style,phase_field,defined_init_groups,total_init_groups,availability_fraction,analysis_status,missing_values_imputed
off,adaptive,assertive,yield_entry_step,10,10,1.0,complete,False
off,adaptive,assertive,first_sustained_stop_step,0,10,0.0,unavailable,False
off,adaptive,assertive,nominal_conflict_clear_step,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,actual_path_release_step,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,buffered_conflict_clear_step,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,sustained_resume_step,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,cautious_approach_progress_m,0,10,0.0,unavailable,False
off,adaptive,assertive,first_stop_distance_to_conflict_m,0,10,0.0,unavailable,False
off,adaptive,assertive,first_stop_distance_to_designed_stop_m,0,10,0.0,unavailable,False
off,adaptive,assertive,stopped_duration_s,0,10,0.0,unavailable,False
off,adaptive,assertive,nominal_conflict_clear_to_actual_path_release_s,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,actual_path_release_to_sustained_resume_s,9,10,0.9,descriptive_only_missing_event_clock,False
off,adaptive,assertive,buffered_conflict_clear_to_sustained_resume_s,0,10,0.0,unavailable,False
off,adaptive,reactive,yield_entry_step,10,10,1.0,complete,False
off,adaptive,reactive,first_sustained_stop_step,0,10,0.0,unavailable,False
off,adaptive,reactive,nominal_conflict_clear_step,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,actual_path_release_step,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,buffered_conflict_clear_step,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,sustained_resume_step,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,cautious_approach_progress_m,0,10,0.0,unavailable,False
off,adaptive,reactive,first_stop_distance_to_conflict_m,0,10,0.0,unavailable,False
off,adaptive,reactive,first_stop_distance_to_designed_stop_m,0,10,0.0,unavailable,False
off,adaptive,reactive,stopped_duration_s,0,10,0.0,unavailable,False
off,adaptive,reactive,nominal_conflict_clear_to_actual_path_release_s,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,actual_path_release_to_sustained_resume_s,3,10,0.3,descriptive_only_missing_event_clock,False
off,adaptive,reactive,buffered_conflict_clear_to_sustained_resume_s,0,10,0.0,unavailable,False
off,fixed_medium,assertive,yield_entry_step,10,10,1.0,complete,False
off,fixed_medium,assertive,first_sustained_stop_step,0,10,0.0,unavailable,False
off,fixed_medium,assertive,nominal_conflict_clear_step,9,10,0.9,descriptive_only_missing_event_clock,False
off,fixed_medium,assertive,actual_path_release_step,9,10,0.9,descriptive_only_missing_event_clock,False
