cell_id,ego_init_id,risk_policy,target_style,supervisor_authority_mode,intervention_mode,supervisor_any_channel_requested_fraction,supervisor_candidate_requested_fraction,supervisor_authority_applied_fraction,rule_smpc_bypass_requested_fraction,rule_smpc_bypass_applied_fraction,candidate_minus_nominal_accel_abs_mean_mps2,actual_minus_nominal_accel_abs_mean_mps2
SF4_B1_adaptive_reactive_supervisor_on,106,adaptive,reactive,on,bypass,0.4862068965517241,0.2517241379310345,0.2517241379310345,0.13448275862068965,0.13448275862068965,1.025833423407225,1.025833423407225
SF4_B1_adaptive_reactive_supervisor_off,106,adaptive,reactive,off,monitor_only,0.9655172413793104,0.896551724137931,0.0,0.3793103448275862,0.0,4.183868976127625,0.0
SF4_B1_adaptive_assertive_supervisor_off,106,adaptive,assertive,off,monitor_only,0.9642857142857143,0.8928571428571429,0.0,0.35714285714285715,0.0,4.218472247581997,0.0
SF4_B1_adaptive_assertive_supervisor_on,106,adaptive,assertive,on,bypass,0.48175182481751827,0.23357664233576642,0.23357664233576642,0.10948905109489052,0.10948905109489052,0.852830210508671,0.852830210508671
SF4_B1_fixed_medium_reactive_supervisor_off,106,fixed_medium,reactive,off,monitor_only,0.9655172413793104,0.896551724137931,0.0,0.3793103448275862,0.0,4.220210305216953,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,106,fixed_medium,assertive,on,bypass,0.48,0.23272727272727273,0.23272727272727273,0.10909090909090909,0.10909090909090909,0.8494952094158879,0.8494952094158879
SF4_B1_fixed_medium_reactive_supervisor_on,106,fixed_medium,reactive,on,bypass,0.4845360824742268,0.2508591065292096,0.2508591065292096,0.13402061855670103,0.13402061855670103,1.022410928329693,1.022410928329693
SF4_B1_fixed_medium_assertive_supervisor_off,106,fixed_medium,assertive,off,monitor_only,0.9642857142857143,0.8928571428571429,0.0,0.35714285714285715,0.0,4.2692566639874645,0.0
SF4_B1_adaptive_reactive_supervisor_on,107,adaptive,reactive,on,bypass,0.6033755274261603,0.22784810126582278,0.22784810126582278,0.1729957805907173,0.1729957805907173,0.7605470097086848,0.7605470097086848
SF4_B1_adaptive_assertive_supervisor_off,107,adaptive,assertive,off,monitor_only,0.6751269035532995,0.6345177664974619,0.0,0.1319796954314721,0.0,0.9319756302504014,0.0
SF4_B1_adaptive_reactive_supervisor_off,107,adaptive,reactive,off,monitor_only,0.9736842105263158,0.7631578947368421,0.0,0.5263157894736842,0.0,3.0805512908371044,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,107,fixed_medium,reactive,off,monitor_only,0.9736842105263158,0.7631578947368421,0.0,0.5263157894736842,0.0,3.084314650964642,0.0
SF4_B1_adaptive_assertive_supervisor_on,107,adaptive,assertive,on,bypass,0.6785714285714286,0.19387755102040816,0.19387755102040816,0.14285714285714285,0.14285714285714285,0.5431192218589438,0.5431192218589438
SF4_B1_fixed_medium_assertive_supervisor_on,107,fixed_medium,assertive,on,bypass,0.6100917431192661,0.2018348623853211,0.2018348623853211,0.14220183486238533,0.14220183486238533,0.5111760499518636,0.5111760499518636
SF4_B1_fixed_medium_assertive_supervisor_off,107,fixed_medium,assertive,off,monitor_only,0.6683417085427136,0.628140703517588,0.0,0.1306532663316583,0.0,0.9337120077907178,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,107,fixed_medium,reactive,on,bypass,0.6033755274261603,0.22784810126582278,0.22784810126582278,0.1729957805907173,0.1729957805907173,0.7605152313830015,0.7605152313830015
SF4_B1_adaptive_reactive_supervisor_off,108,adaptive,reactive,off,monitor_only,0.972972972972973,0.7567567567567568,0.0,0.5135135135135135,0.0,3.086822548518257,0.0
SF4_B1_adaptive_reactive_supervisor_on,108,adaptive,reactive,on,bypass,0.6574074074074074,0.25462962962962965,0.25462962962962965,0.18518518518518517,0.18518518518518517,0.6370922940503466,0.6370922940503466
SF4_B1_fixed_medium_assertive_supervisor_on,108,fixed_medium,assertive,on,bypass,0.6839378238341969,0.20207253886010362,0.20207253886010362,0.14507772020725387,0.14507772020725387,0.5278591777675564,0.5278591777675564
SF4_B1_fixed_medium_assertive_supervisor_off,108,fixed_medium,assertive,off,monitor_only,0.7630057803468208,0.7167630057803468,0.0,0.14450867052023122,0.0,1.0230161009213494,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,108,fixed_medium,reactive,off,monitor_only,0.972972972972973,0.7567567567567568,0.0,0.5135135135135135,0.0,3.0884410826553754,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,108,fixed_medium,reactive,on,bypass,0.5966386554621849,0.23109243697478993,0.23109243697478993,0.16806722689075632,0.16806722689075632,0.5811665172539477,0.5811665172539477
SF4_B1_adaptive_assertive_supervisor_off,108,adaptive,assertive,off,monitor_only,0.7630057803468208,0.7167630057803468,0.0,0.14450867052023122,0.0,1.0226095375975535,0.0
SF4_B1_adaptive_assertive_supervisor_on,108,adaptive,assertive,on,bypass,0.6839378238341969,0.20207253886010362,0.20207253886010362,0.14507772020725387,0.14507772020725387,0.5285788932467098,0.5285788932467098
SF4_B1_fixed_medium_reactive_supervisor_on,109,fixed_medium,reactive,on,bypass,0.6761904761904762,0.2523809523809524,0.2523809523809524,0.19047619047619047,0.19047619047619047,0.6508655097547117,0.6508655097547117
SF4_B1_adaptive_assertive_supervisor_off,109,adaptive,assertive,off,monitor_only,0.7374301675977654,0.6927374301675978,0.0,0.13966480446927373,0.0,0.9765432480352964,0.0
SF4_B1_adaptive_reactive_supervisor_on,109,adaptive,reactive,on,bypass,0.6574074074074074,0.24074074074074073,0.24074074074074073,0.18518518518518517,0.18518518518518517,0.5698275822141946,0.5698275822141946
SF4_B1_adaptive_assertive_supervisor_on,109,adaptive,assertive,on,bypass,0.6700507614213198,0.18781725888324874,0.18781725888324874,0.13705583756345177,0.13705583756345177,0.5178113450662853,0.5178113450662853
SF4_B1_fixed_medium_assertive_supervisor_off,109,fixed_medium,assertive,off,monitor_only,0.7586206896551724,0.7126436781609196,0.0,0.14367816091954022,0.0,1.0187806728333817,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,109,fixed_medium,assertive,on,bypass,0.6666666666666666,0.18686868686868688,0.18686868686868688,0.13131313131313133,0.13131313131313133,0.5111978350958446,0.5111978350958446
SF4_B1_adaptive_reactive_supervisor_off,109,adaptive,reactive,off,monitor_only,0.9736842105263158,0.7631578947368421,0.0,0.5263157894736842,0.0,3.070773411498386,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,109,fixed_medium,reactive,off,monitor_only,0.972972972972973,0.7567567567567568,0.0,0.5135135135135135,0.0,3.0861558526841195,0.0
SF4_B1_adaptive_reactive_supervisor_off,110,adaptive,reactive,off,monitor_only,0.23166666666666666,0.21833333333333332,0.0,0.06166666666666667,0.0,0.47870149941035123,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,110,fixed_medium,reactive,on,bypass,0.592274678111588,0.22746781115879827,0.22746781115879827,0.17167381974248927,0.17167381974248927,0.6915148945209632,0.6915148945209632
SF4_B1_fixed_medium_assertive_supervisor_off,110,fixed_medium,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.30700623770876423,0.0
SF4_B1_adaptive_reactive_supervisor_on,110,adaptive,reactive,on,bypass,0.575,0.21666666666666667,0.21666666666666667,0.16666666666666666,0.16666666666666666,0.5634523374336243,0.5634523374336243
SF4_B1_adaptive_assertive_supervisor_on,110,adaptive,assertive,on,bypass,0.6213592233009708,0.20388349514563106,0.20388349514563106,0.14563106796116504,0.14563106796116504,0.595068554119706,0.595068554119706
SF4_B1_adaptive_assertive_supervisor_off,110,adaptive,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.30423026417179455,0.0
SF4_B1_fixed_medium_reactive_supervisor_off,110,fixed_medium,reactive,off,monitor_only,0.23333333333333334,0.22,0.0,0.06333333333333334,0.0,0.4953911561628958,0.0
SF4_B1_fixed_medium_assertive_supervisor_on,110,fixed_medium,assertive,on,bypass,0.6037735849056604,0.18396226415094338,0.18396226415094338,0.14622641509433962,0.14622641509433962,0.591489040596868,0.591489040596868
SF4_B1_adaptive_assertive_supervisor_off,111,adaptive,assertive,off,monitor_only,0.21333333333333335,0.19666666666666666,0.0,0.041666666666666664,0.0,0.3511242246832955,0.0
SF4_B1_adaptive_reactive_supervisor_off,111,adaptive,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.46156447302886583,0.0
SF4_B1_adaptive_reactive_supervisor_on,111,adaptive,reactive,on,bypass,0.6422018348623854,0.24311926605504589,0.24311926605504589,0.1926605504587156,0.1926605504587156,0.6496662602036668,0.6496662602036668
SF4_B1_fixed_medium_assertive_supervisor_on,111,fixed_medium,assertive,on,bypass,0.6368159203980099,0.19900497512437812,0.19900497512437812,0.14925373134328357,0.14925373134328357,0.5921578831586276,0.5921578831586276
SF4_B1_fixed_medium_reactive_supervisor_off,111,fixed_medium,reactive,off,monitor_only,0.23166666666666666,0.215,0.0,0.06,0.0,0.46038126619290715,0.0
SF4_B1_fixed_medium_reactive_supervisor_on,111,fixed_medium,reactive,on,bypass,0.695,0.25,0.25,0.205,0.205,0.6544240334397652,0.6544240334397652
