risk_policy,deadline_name,deadline_s,deadline_source,evaluation_status,finite_attempted_solve_steps,deadline_exceedance_steps,deadline_exceedance_fraction_of_finite_attempts,nonfinite_attempted_solve_steps_excluded,scope,reason_not_evaluated
adaptive,simulator_control_period_s,0.050000000000000003,derived as 1 / the unique carla_fps value in r3_rollout_outcomes.csv,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
adaptive,smpc_planning_interval_s,0.20000000000000001,validated unique ego_effective_vehicle_params_json.dt value across all R3 rollouts,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
adaptive,frozen_runtime_gate_s,0.5,validated unique runtime_gate_limit_s value in r3_corrected_matrix_audit.json,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_aggressive,simulator_control_period_s,0.050000000000000003,derived as 1 / the unique carla_fps value in r3_rollout_outcomes.csv,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_aggressive,smpc_planning_interval_s,0.20000000000000001,validated unique ego_effective_vehicle_params_json.dt value across all R3 rollouts,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_aggressive,frozen_runtime_gate_s,0.5,validated unique runtime_gate_limit_s value in r3_corrected_matrix_audit.json,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_medium,simulator_control_period_s,0.050000000000000003,derived as 1 / the unique carla_fps value in r3_rollout_outcomes.csv,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_medium,smpc_planning_interval_s,0.20000000000000001,validated unique ego_effective_vehicle_params_json.dt value across all R3 rollouts,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_medium,frozen_runtime_gate_s,0.5,validated unique runtime_gate_limit_s value in r3_corrected_matrix_audit.json,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_conservative,simulator_control_period_s,0.050000000000000003,derived as 1 / the unique carla_fps value in r3_rollout_outcomes.csv,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_conservative,smpc_planning_interval_s,0.20000000000000001,validated unique ego_effective_vehicle_params_json.dt value across all R3 rollouts,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
fixed_conservative,frozen_runtime_gate_s,0.5,validated unique runtime_gate_limit_s value in r3_corrected_matrix_audit.json,not_evaluated,,,,,requires raw classification of actual attempted solves,extracted raw snapshot directory was not provided
