baseline,ego_init_id,paired_unit,within_unit_aggregation,B1_top1_ADE_m,baseline_ADE_m,B1_minus_baseline_ADE_m,B1_ADE_better,B1_top1_FDE_m,baseline_FDE_m,B1_minus_baseline_FDE_m,B1_FDE_better
CA,46,held_out_ego_initialisation,mean_over_full_horizon_windows,0.1651659607887268,1.5423034647485494,-1.3771375039598226,1,0.21494311094284058,3.9742262167992037,-3.759283105856363,1
CA,47,held_out_ego_initialisation,mean_over_full_horizon_windows,0.04506846144795418,1.2732418669515566,-1.2281734055036024,1,0.05000435188412666,3.0643644671557086,-3.014360115271582,1
CA,48,held_out_ego_initialisation,mean_over_full_horizon_windows,0.09554315358400345,1.5081829187262832,-1.4126397651422797,1,0.11983299255371094,3.796080749233211,-3.6762477566795,1
CA,49,held_out_ego_initialisation,mean_over_full_horizon_windows,0.17194803059101105,1.5118750767336764,-1.3399270461426653,1,0.20060963928699493,3.7453674357382707,-3.5447577964512758,1
CA,50,held_out_ego_initialisation,mean_over_full_horizon_windows,0.043453529477119446,1.2732712839943265,-1.229817754517207,1,0.04923224076628685,3.0644384881357896,-3.0152062473695027,1
CV,46,held_out_ego_initialisation,mean_over_full_horizon_windows,0.1651659607887268,0.7743540190719055,-0.6091880582831787,1,0.21494311094284058,1.5938437631107025,-1.378900652167862,1
CV,47,held_out_ego_initialisation,mean_over_full_horizon_windows,0.04506846144795418,0.4842718252406597,-0.4392033637927055,1,0.05000435188412666,0.8947164350558104,-0.8447120831716838,1
CV,48,held_out_ego_initialisation,mean_over_full_horizon_windows,0.09554315358400345,0.7504602765275382,-0.6549171229435348,1,0.11983299255371094,1.5613308912945252,-1.4414978987408142,1
CV,49,held_out_ego_initialisation,mean_over_full_horizon_windows,0.17194803059101105,0.6109381281267976,-0.43899009753578655,1,0.20060963928699493,1.2045300711449038,-1.003920431857909,1
CV,50,held_out_ego_initialisation,mean_over_full_horizon_windows,0.043453529477119446,0.4842752076170533,-0.44082167813993384,1,0.04923224076628685,0.8947227642365528,-0.845490523470266,1
train_mean,46,held_out_ego_initialisation,mean_over_full_horizon_windows,0.1651659607887268,0.658081209166522,-0.4929152483777952,1,0.21494311094284058,0.7839655806305575,-0.569022469687717,1
train_mean,47,held_out_ego_initialisation,mean_over_full_horizon_windows,0.04506846144795418,0.3518904896169232,-0.30682202816896903,1,0.05000435188412666,0.41195762146668957,-0.3619532695825629,1
train_mean,48,held_out_ego_initialisation,mean_over_full_horizon_windows,0.09554315358400345,0.5595985523422913,-0.46405539875828783,1,0.11983299255371094,0.649388756501314,-0.5295557639476031,1
train_mean,49,held_out_ego_initialisation,mean_over_full_horizon_windows,0.17194803059101105,0.4403719080469707,-0.26842387745595964,1,0.20060963928699493,0.5092212764582851,-0.30861163717129014,1
train_mean,50,held_out_ego_initialisation,mean_over_full_horizon_windows,0.043453529477119446,0.35189123510477077,-0.3084377056276513,1,0.04923224076628685,0.41195816770690197,-0.3627259269406151,1
