table,hypothesis,block,metric,value,unit,aggregation_unit,population_id,source_locator,note
predictor_transfer,H2,architecture,architecture_direct_mlp_minus_transformer__h1p0__large,0.006707827250162761,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/architecture,"95% CI [0.005067761739095053, 0.008057117462158203]"
predictor_transfer,H2,architecture,H3_attention_history_gain_difference_in_differences,-0.0002984046936035156,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/architecture,"95% CI [-0.0014114379882812498, 0.0006196498870849609]"
predictor_transfer,H2,capacity,transformer-h1p0-large,3.916339747111003,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/capacity/cells/transformer-h1p0-large,
predictor_transfer,H2,capacity,transformer-h1p0-medium,3.915355491638184,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/capacity/cells/transformer-h1p0-medium,
predictor_transfer,H2,capacity,transformer-h1p0-small,3.9167527516682945,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/capacity/cells/transformer-h1p0-small,
predictor_transfer,H2,foundation,B0:top1_ADE_m,1.2826716899871826,m,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B0,
predictor_transfer,H2,foundation,B0:top1_FDE_m,2.6443111896514893,m,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B0,
predictor_transfer,H2,foundation,B0:rollout_macro_nll,2.1707117557525635,nats step^-1,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B0,
predictor_transfer,H2,foundation,B1:top1_ADE_m,0.09965752065181732,m,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B1,
predictor_transfer,H2,foundation,B1:top1_FDE_m,0.12089526653289795,m,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B1,
predictor_transfer,H2,foundation,B1:rollout_macro_nll,1.857094407081604,nats step^-1,ego initialisation group,F1_foundation_adaptation,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/foundation/rows/B1,
predictor_transfer,H2,information,H2_information_mlp_snapshot_minus_full,0.004026412963867188,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/information,"95% CI [0.00338279406229655, 0.004649766286214193]"
predictor_transfer,H2,information,H2_information_transformer_snapshot_minus_full,0.003728008270263672,nats step^-1,ego initialisation group,F4_capacity_information_architecture_v3,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/upstream/information,"95% CI [0.002824831008911133, 0.004523388544718425]"
predictor_transfer,H2,in_loop_prediction,inloop_top1_ADE_m__P_star_minus_B1__fixed_medium,-0.036866393060337774,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/in_loop_prediction,"95% CI [-0.05397095051440976, -0.02329679881387659]"
predictor_transfer,H2,in_loop_prediction,inloop_top1_ADE_m__P_star_minus_B1__adaptive,-0.02213973064398499,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/in_loop_prediction,"95% CI [-0.05465147455889634, 0.019655553378209165]"
predictor_transfer,H2,physical_outcomes,completion_time_s__P_star_minus_B1__fixed_medium,0.09250000137835741,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/physical_outcomes,"95% CI [-0.37000000551342965, 0.5750000085681677]"
predictor_transfer,H2,physical_outcomes,completion_time_s__P_star_minus_B1__adaptive,-0.22000000327825547,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/physical_outcomes,"95% CI [-0.7350000109523535, 0.3500000052154064]"
predictor_transfer,H2,physical_outcomes,min_footprint_separation_m__P_star_minus_B1__fixed_medium,-0.01073733173065502,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/physical_outcomes,"95% CI [-0.031248009607643894, 0.006186924653078339]"
predictor_transfer,H2,physical_outcomes,min_footprint_separation_m__P_star_minus_B1__adaptive,0.016072298826119623,m,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/physical_outcomes,"95% CI [-0.014314048923446555, 0.061744545400052774]"
predictor_transfer,H2,supervisor_intervention,supervisor_active_fraction__P_star_minus_B1__fixed_medium,-0.0024844881507869398,fraction,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/supervisor_intervention,"95% CI [-0.009661682605769646, 0.003963420871184453]"
predictor_transfer,H2,supervisor_intervention,supervisor_active_fraction__P_star_minus_B1__adaptive,0.005062594517754121,fraction,ego_init_id,F5_v3_selected_model_closed_loop,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H2_predictor_transfer/supervisor_intervention,"95% CI [-0.00021759503912900923, 0.010183165742474598]"
