table,hypothesis,block,metric,value,unit,aggregation_unit,population_id,source_locator,note
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_aggressive:mean_adaptive_minus_fixed_completion_s,-0.5000000000000003,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/0,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_aggressive:mean_adaptive_minus_fixed_separation_m,-0.0031561143843151563,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/0,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_conservative:mean_adaptive_minus_fixed_completion_s,-0.3200000000000003,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/1,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_conservative:mean_adaptive_minus_fixed_separation_m,-0.022809068549144884,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/1,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_medium:mean_adaptive_minus_fixed_completion_s,-0.45000000000000034,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/2,dominates
risk_transfer,H3,full_fixed_frontier,B0:assertive:fixed_medium:mean_adaptive_minus_fixed_separation_m,0.01358945362649846,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/2,dominates
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_aggressive:mean_adaptive_minus_fixed_completion_s,0.030000000000000072,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/3,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_aggressive:mean_adaptive_minus_fixed_separation_m,-0.010714664959273246,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/3,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_conservative:mean_adaptive_minus_fixed_completion_s,0.25,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/4,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_conservative:mean_adaptive_minus_fixed_separation_m,-0.008088738114868942,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/4,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_medium:mean_adaptive_minus_fixed_completion_s,-0.17999999999999972,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/5,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B0:reactive:fixed_medium:mean_adaptive_minus_fixed_separation_m,-0.008440729720593643,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/5,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B1:assertive:fixed_aggressive:mean_adaptive_minus_fixed_completion_s,0.5299999999999997,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/6,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B1:assertive:fixed_aggressive:mean_adaptive_minus_fixed_separation_m,-0.015086291591613187,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/6,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B1:assertive:fixed_conservative:mean_adaptive_minus_fixed_completion_s,0.43999999999999984,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/7,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B1:assertive:fixed_conservative:mean_adaptive_minus_fixed_separation_m,-0.00326849899957673,m,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/7,does_not_dominate
risk_transfer,H3,full_fixed_frontier,B1:assertive:fixed_medium:mean_adaptive_minus_fixed_completion_s,-0.4400000000000002,s,ego_init_cluster,F2_r3_predictor_risk,docs/paper/generated/supervisor_masking_v2/evidence/supervisor_masking_evidence.json#/H3_risk_transfer/r3_full_fixed_frontier/comparisons/8,does_not_dominate
