predictor,risk,target,ego_init_id,relative_path,steps,valid_tightening_steps,valid_command_steps,mean_tightening,mean_nominal_accel_mps2,mean_actual_accel_mps2,mean_abs_supervisor_accel_delta_mps2,supervisor_request_fraction,post_action_applied_fraction,controller_accepted_fraction
B1,adaptive,assertive_constant_speed,81,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_81_smpc_var_risk/smpc_debug_steps.jsonl,213,213,213,1.3755889776919283,-0.3539896440636488,-1.3556491982254286,1.0405328975637058,0.6197183098591549,0.2676056338028169,0.9765258215962441
B1,adaptive,assertive_constant_speed,82,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_82_smpc_var_risk/smpc_debug_steps.jsonl,189,189,189,1.3835426612862962,-0.23262153704603947,-0.7926330539340753,0.6412304367952846,0.6772486772486772,0.18518518518518517,0.9947089947089947
B1,adaptive,assertive_constant_speed,83,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_83_smpc_var_risk/smpc_debug_steps.jsonl,267,267,267,1.357459344087348,-0.407753782218322,-1.1671159425715376,0.7909123633843499,0.49812734082397003,0.20224719101123595,0.9887640449438202
B1,adaptive,assertive_constant_speed,84,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_84_smpc_var_risk/smpc_debug_steps.jsonl,199,199,199,1.382119441593071,-0.3321521408066806,-0.7661883619172631,0.4990509801897755,0.6633165829145728,0.21608040201005024,0.9849246231155779
B1,adaptive,assertive_constant_speed,85,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_85_smpc_var_risk/smpc_debug_steps.jsonl,264,264,264,1.3577085246962197,-0.4505698789132284,-1.250199686955543,0.9017042296524814,0.5,0.24242424242424243,0.9810606060606061
B1,adaptive,assertive_constant_speed,86,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_86_smpc_var_risk/smpc_debug_steps.jsonl,234,234,234,1.3666969871366161,-0.41995796791841516,-1.2695500748677793,0.8845300594724884,0.5641025641025641,0.21794871794871795,0.9829059829059829
B1,adaptive,assertive_constant_speed,87,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_87_smpc_var_risk/smpc_debug_steps.jsonl,200,200,200,1.381267431793349,-0.40434307841833605,-0.7599761742568412,0.4085175650813435,0.66,0.215,0.99
B1,adaptive,assertive_constant_speed,88,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_88_smpc_var_risk/smpc_debug_steps.jsonl,237,237,237,1.3663961969131122,-0.37099945803093287,-1.2685450331112613,1.0244622154331804,0.5569620253164557,0.2911392405063291,0.9789029535864979
B1,adaptive,assertive_constant_speed,89,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_89_smpc_var_risk/smpc_debug_steps.jsonl,203,203,203,1.378898431622644,-0.2619420801608215,-1.2243839325534662,1.0033467897244466,0.6502463054187192,0.26108374384236455,0.9852216748768473
B1,adaptive,assertive_constant_speed,90,B1__adaptive__assertive_constant_speed/scenario_uk_give_way_ego_init_90_smpc_var_risk/smpc_debug_steps.jsonl,228,228,228,1.3703846890438576,-0.45251835531848245,-0.8844268790941885,0.5082868861570092,0.5745614035087719,0.17105263157894737,0.9868421052631579
B1,adaptive,defensive_reactive,81,B1__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_81_smpc_var_risk/smpc_debug_steps.jsonl,215,215,215,1.374714202479745,-0.35303118885386675,-1.3453180168462597,1.0309145280990064,0.6139534883720931,0.26976744186046514,0.9767441860465116
B1,adaptive,defensive_reactive,82,B1__adaptive__defensive_reactive/scenario_uk_give_way_ego_init_82_smpc_var_risk/smpc_debug_steps.jsonl,203,203,203,1.4035531763181839,-0.20132280002351835,-0.759223213261033,0.6610683603152692,0.6847290640394089,0.2413793103448276,0.9950738916256158
