metric,contrast_type,contrast,effect,ci_low,ci_high,exact_two_sided_sign_flip_p,paired_initialization_groups
completion_time_s,predictor_effect,Transformer-adapted minus retrained MultiPath | Fixed medium,0.0,-0.020000000298023225,0.02500000037252903,1.0,10
completion_time_s,predictor_effect,Transformer-adapted minus retrained MultiPath | Adaptive,-0.005000000074505806,-0.020000000298023225,0.010000000149011612,1.0,10
completion_time_s,risk_effect,Adaptive minus fixed medium | Retrained MultiPath,0.020000000298023225,-0.015000000223517418,0.06500000096857547,0.5,10
completion_time_s,risk_effect,Adaptive minus fixed medium | Transformer-adapted MultiPath,0.015000000223517418,-0.015000000223517418,0.05000000074505806,0.6875,10
completion_time_s,predictor_by_risk,Predictor-by-risk difference in differences,-0.005000000074505806,-0.04500000067055225,0.02500000037252903,1.0,10
min_footprint_separation_m,predictor_effect,Transformer-adapted minus retrained MultiPath | Fixed medium,0.025714311534924615,-0.0020538935343668773,0.05515912007211861,0.13671875,10
min_footprint_separation_m,predictor_effect,Transformer-adapted minus retrained MultiPath | Adaptive,0.009171240389302615,-0.0016632613644684566,0.020564825468739424,0.169921875,10
min_footprint_separation_m,risk_effect,Adaptive minus fixed medium | Retrained MultiPath,-0.006802431758361371,-0.032148703567138726,0.012455050696997965,0.708984375,10
min_footprint_separation_m,risk_effect,Adaptive minus fixed medium | Transformer-adapted MultiPath,-0.02334550290398337,-0.04573309518697183,-0.0022148008409777265,0.09375,10
min_footprint_separation_m,predictor_by_risk,Predictor-by-risk difference in differences,-0.016543071145622,-0.04558169569604216,0.011242114276867287,0.30859375,10
solver_failure_fraction,predictor_effect,Transformer-adapted minus retrained MultiPath | Fixed medium,-0.0011571384675745117,-0.0028816521320699363,1.1733501102461838e-05,0.375,10
solver_failure_fraction,predictor_effect,Transformer-adapted minus retrained MultiPath | Adaptive,-0.0017149380229834997,-0.0034499668409056646,6.420133538777642e-06,0.25,10
solver_failure_fraction,risk_effect,Adaptive minus fixed medium | Retrained MultiPath,-0.0011943847274292513,-0.00289178677758015,-1.8830053593229397e-05,0.125,10
solver_failure_fraction,risk_effect,Adaptive minus fixed medium | Transformer-adapted MultiPath,-0.0017521842828382393,-0.0034664863048413986,-0.0001053186460254412,0.125,10
solver_failure_fraction,predictor_by_risk,Predictor-by-risk difference in differences,-0.000557799555408988,-0.001691651017427356,2.711236263393613e-05,0.625,10
average_solve_time_s,predictor_effect,Transformer-adapted minus retrained MultiPath | Fixed medium,0.0009612294042161435,-0.0015890175175968303,0.0037408863772097553,0.513671875,10
average_solve_time_s,predictor_effect,Transformer-adapted minus retrained MultiPath | Adaptive,0.0037620536993439356,-0.0035039338041898305,0.012386612393199704,0.470703125,10
average_solve_time_s,risk_effect,Adaptive minus fixed medium | Retrained MultiPath,0.018134240049321026,0.013929119936888678,0.02388860983376201,0.001953125,10
average_solve_time_s,risk_effect,Adaptive minus fixed medium | Transformer-adapted MultiPath,0.020935064344448816,0.015310359968258466,0.029935962567021763,0.001953125,10
average_solve_time_s,predictor_by_risk,Predictor-by-risk difference in differences,0.002800824295127792,-0.006353683462734545,0.012685073294063992,0.6015625,10
