predictor,predictor_label,risk_policy,risk_label,target_style,supervisor_authority,init_id,completion_time_s,min_footprint_separation_m,min_center_distance_m,completion_valid,yield_compliant,footprint_collision,solver_failure_fraction,average_solve_time_s,mode_entropy_nats,top_mode_probability,tightening_mean,tightening_min,tightening_max,target_probability_mean,debug_steps,any_supervisor_request,any_supervisor_application,post_solver_action_requested,post_solver_action_applied,effective_smpc_bypass,solver_debug_rows,weighted_objective_rows,solver_success_rows,solver_non_success_rows,solver_non_success_without_valid_prediction,solver_non_success_action_replaced,solver_non_success_observed_caution,solver_non_success_clear_path_release,prediction_valid_steps,post_solver_action_applied_fraction,effective_smpc_bypass_fraction
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,126,8.950000133365393,1.3022188679585995,4.683015835662778,1,1,0,0.016666666666666666,0.07445093501129943,0.8812575129523645,0.6402991947994794,1.6400000000000001,1.64,1.64,0.9494974165258964,180,179,179,54,54,31,149,149,146,3,3,3,3,0,162,0.3,0.17222222222222222
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,127,8.550000127404928,1.2295752040886168,4.655229639419941,1,1,0,0.005813953488372093,0.07450858678362574,0.8857239906986095,0.6373437498661111,1.6400000000000001,1.64,1.64,0.9494974165258965,172,171,171,40,40,27,145,145,144,1,1,1,1,0,154,0.23255813953488372,0.1569767441860465
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,128,8.850000131875277,1.3616020450070563,4.740956527834385,1,1,0,0.02247191011235955,0.07183165784482759,0.8827368242133156,0.6393008006680354,1.6400000000000001,1.64,1.64,0.9494974165258963,178,177,177,57,57,31,147,147,143,4,4,4,4,0,160,0.3202247191011236,0.17415730337078653
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,129,8.75000013038516,1.4261811700754892,4.815584922822644,1,1,0,0.0,0.0740349810909091,0.8837982614726688,0.6383427200090263,1.6399999999999997,1.64,1.64,0.9494974165258966,176,169,169,38,38,31,145,145,145,0,0,0,0,0,158,0.2159090909090909,0.17613636363636365
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,130,8.75000013038516,1.4750214661846064,4.842307589756793,1,1,0,0.0,0.073002885875,0.8839563766241395,0.6382686632534347,1.6399999999999997,1.64,1.64,0.9494974165258966,176,169,169,40,40,31,145,145,145,0,0,0,0,0,158,0.22727272727272727,0.17613636363636365
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,131,8.950000133365393,0.7645185920682691,4.2359792055896675,1,1,0,0.022222222222222223,0.07130680649431818,0.8817454218701726,0.6401363093877699,1.6400000000000001,1.64,1.64,0.9494974165258964,180,179,179,58,58,30,150,150,146,4,4,4,4,0,162,0.32222222222222224,0.16666666666666666
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,132,9.00000013411045,1.3668334834263707,4.7352679546808245,1,1,0,0.016574585635359115,0.0731140623033708,0.8811850518168888,0.6403475801931792,1.64,1.64,1.64,0.9494974165258964,181,179,179,54,54,31,150,150,147,3,3,3,3,0,163,0.2983425414364641,0.1712707182320442
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,133,8.450000125914812,1.081453614991641,4.514304051202746,1,1,0,0.023529411764705882,0.0705956103313253,0.8861545312584961,0.6370005163685448,1.6400000000000001,1.64,1.64,0.9494974165258965,170,169,169,44,44,26,144,144,140,4,3,4,3,1,152,0.25882352941176473,0.15294117647058825
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,134,8.700000129640102,1.2916032884782855,4.678406447324882,1,1,0,0.011428571428571429,0.07506488670520232,0.884328377387128,0.6379902440136399,1.6399999999999997,1.64,1.64,0.9494974165258966,175,165,165,39,39,24,151,151,149,2,0,2,0,2,157,0.22285714285714286,0.13714285714285715
B1,Retrained MultiPath,fixed_medium,Fixed medium,assertive_constant_speed,on,135,8.800000131130219,1.694279601735934,5.020535928567104,1,1,0,0.011299435028248588,0.07424623426285713,0.8831018140770756,0.6391002509911711,1.6399999999999997,1.64,1.64,0.9494974165258966,177,174,174,44,44,30,147,147,145,2,2,2,2,0,159,0.24858757062146894,0.1694915254237288
