authority,predictor,risk,init_id,rows,any_request_rows,any_request_frac,post_request_rows,post_applied_rows,post_applied_frac,bypass_request_rows,bypass_applied_rows,bypass_applied_frac,solver_attempt_rows,solver_optimal_rows,solver_optimal_frac,actual_command_diff_rows,actual_command_diff_frac
on,B1,adaptive,126,180,133,0.7388888888888889,53,53,0.29444444444444445,31,31,0.17222222222222222,149,146,0.9798657718120806,53,0.29444444444444445
on,B1,adaptive,127,175,132,0.7542857142857143,44,44,0.25142857142857145,30,30,0.17142857142857143,145,144,0.993103448275862,29,0.1657142857142857
on,B1,adaptive,128,181,133,0.7348066298342542,54,54,0.2983425414364641,31,31,0.1712707182320442,150,146,0.9733333333333334,54,0.2983425414364641
on,B1,adaptive,129,176,127,0.7215909090909091,39,39,0.2215909090909091,31,31,0.17613636363636365,145,145,1.0,35,0.19886363636363635
on,B1,adaptive,130,176,127,0.7215909090909091,40,40,0.22727272727272727,31,31,0.17613636363636365,145,145,1.0,36,0.20454545454545456
on,B1,adaptive,131,180,132,0.7333333333333333,55,55,0.3055555555555556,30,30,0.16666666666666666,150,146,0.9733333333333334,55,0.3055555555555556
on,B1,adaptive,132,180,132,0.7333333333333333,52,52,0.28888888888888886,31,31,0.17222222222222222,149,146,0.9798657718120806,52,0.28888888888888886
on,B1,adaptive,133,170,132,0.7764705882352941,41,41,0.2411764705882353,26,26,0.15294117647058825,144,141,0.9791666666666666,41,0.2411764705882353
on,B1,adaptive,134,174,123,0.7068965517241379,38,38,0.21839080459770116,24,24,0.13793103448275862,150,149,0.9933333333333333,38,0.21839080459770116
on,B1,adaptive,135,177,130,0.7344632768361582,44,44,0.24858757062146894,30,30,0.1694915254237288,147,145,0.9863945578231292,34,0.192090395480226
on,B1,fixed_medium,126,180,133,0.7388888888888889,54,54,0.3,31,31,0.17222222222222222,149,146,0.9798657718120806,54,0.3
on,B1,fixed_medium,127,172,132,0.7674418604651163,40,40,0.23255813953488372,27,27,0.1569767441860465,145,144,0.993103448275862,40,0.23255813953488372
on,B1,fixed_medium,128,178,133,0.7471910112359551,57,57,0.3202247191011236,31,31,0.17415730337078653,147,143,0.9727891156462585,57,0.3202247191011236
on,B1,fixed_medium,129,176,127,0.7215909090909091,38,38,0.2159090909090909,31,31,0.17613636363636365,145,145,1.0,38,0.2159090909090909
on,B1,fixed_medium,130,176,127,0.7215909090909091,40,40,0.22727272727272727,31,31,0.17613636363636365,145,145,1.0,36,0.20454545454545456
on,B1,fixed_medium,131,180,132,0.7333333333333333,58,58,0.32222222222222224,30,30,0.16666666666666666,150,146,0.9733333333333334,58,0.32222222222222224
on,B1,fixed_medium,132,181,132,0.7292817679558011,54,54,0.2983425414364641,31,31,0.1712707182320442,150,147,0.98,54,0.2983425414364641
on,B1,fixed_medium,133,170,132,0.7764705882352941,44,44,0.25882352941176473,26,26,0.15294117647058825,144,140,0.9722222222222222,44,0.25882352941176473
on,B1,fixed_medium,134,175,123,0.7028571428571428,39,39,0.22285714285714286,24,24,0.13714285714285715,151,149,0.9867549668874173,39,0.22285714285714286
on,B1,fixed_medium,135,177,130,0.7344632768361582,44,44,0.24858757062146894,30,30,0.1694915254237288,147,145,0.9863945578231292,34,0.192090395480226
on,P_star,adaptive,126,181,133,0.7348066298342542,55,55,0.30386740331491713,31,31,0.1712707182320442,150,148,0.9866666666666667,55,0.30386740331491713
on,P_star,adaptive,127,174,132,0.7586206896551724,44,44,0.25287356321839083,30,30,0.1724137931034483,144,143,0.9930555555555556,29,0.16666666666666666
on,P_star,adaptive,128,181,133,0.7348066298342542,56,56,0.30939226519337015,31,31,0.1712707182320442,150,146,0.9733333333333334,56,0.30939226519337015
on,P_star,adaptive,129,176,127,0.7215909090909091,38,38,0.2159090909090909,31,31,0.17613636363636365,145,145,1.0,34,0.19318181818181818
on,P_star,adaptive,130,176,127,0.7215909090909091,40,40,0.22727272727272727,31,31,0.17613636363636365,145,145,1.0,36,0.20454545454545456
on,P_star,adaptive,131,180,132,0.7333333333333333,56,56,0.3111111111111111,30,30,0.16666666666666666,150,146,0.9733333333333334,56,0.3111111111111111
on,P_star,adaptive,132,180,132,0.7333333333333333,53,53,0.29444444444444445,31,31,0.17222222222222222,149,146,0.9798657718120806,53,0.29444444444444445
on,P_star,adaptive,133,170,132,0.7764705882352941,42,42,0.24705882352941178,26,26,0.15294117647058825,144,142,0.9861111111111112,42,0.24705882352941178
on,P_star,adaptive,134,174,123,0.7068965517241379,39,39,0.22413793103448276,24,24,0.13793103448275862,150,150,1.0,39,0.22413793103448276
on,P_star,adaptive,135,176,130,0.7386363636363636,40,40,0.22727272727272727,30,30,0.17045454545454544,146,144,0.9863013698630136,39,0.2215909090909091
on,P_star,fixed_medium,126,180,133,0.7388888888888889,52,52,0.28888888888888886,31,31,0.17222222222222222,149,146,0.9798657718120806,52,0.28888888888888886
on,P_star,fixed_medium,127,174,132,0.7586206896551724,46,46,0.26436781609195403,30,30,0.1724137931034483,144,143,0.9930555555555556,31,0.1781609195402299
on,P_star,fixed_medium,128,178,133,0.7471910112359551,56,56,0.3146067415730337,31,31,0.17415730337078653,147,143,0.9727891156462585,56,0.3146067415730337
on,P_star,fixed_medium,129,176,127,0.7215909090909091,39,39,0.2215909090909091,31,31,0.17613636363636365,145,145,1.0,35,0.19886363636363635
on,P_star,fixed_medium,130,175,127,0.7257142857142858,39,39,0.22285714285714286,31,31,0.17714285714285713,144,144,1.0,36,0.2057142857142857
on,P_star,fixed_medium,131,180,132,0.7333333333333333,56,56,0.3111111111111111,30,30,0.16666666666666666,150,146,0.9733333333333334,56,0.3111111111111111
on,P_star,fixed_medium,132,180,132,0.7333333333333333,52,52,0.28888888888888886,31,31,0.17222222222222222,149,146,0.9798657718120806,52,0.28888888888888886
on,P_star,fixed_medium,133,170,132,0.7764705882352941,44,44,0.25882352941176473,26,26,0.15294117647058825,144,141,0.9791666666666666,44,0.25882352941176473
on,P_star,fixed_medium,134,175,123,0.7028571428571428,41,41,0.2342857142857143,24,24,0.13714285714285715,151,150,0.9933774834437086,41,0.2342857142857143
on,P_star,fixed_medium,135,177,130,0.7344632768361582,42,42,0.23728813559322035,30,30,0.1694915254237288,147,145,0.9863945578231292,41,0.23163841807909605
off,B1,adaptive,126,141,133,0.9432624113475178,125,0,0.0,26,0,0.0,141,120,0.851063829787234,0,0.0
off,B1,adaptive,127,140,132,0.9428571428571428,123,0,0.0,25,0,0.0,140,118,0.8428571428571429,0,0.0
off,B1,adaptive,128,138,133,0.9637681159420289,127,0,0.0,26,0,0.0,138,117,0.8478260869565217,0,0.0
off,B1,adaptive,129,143,127,0.8881118881118881,117,0,0.0,26,0,0.0,143,138,0.965034965034965,0,0.0
off,B1,adaptive,130,151,127,0.8410596026490066,117,0,0.0,26,0,0.0,151,145,0.9602649006622517,0,0.0
off,B1,fixed_medium,126,142,132,0.9295774647887324,124,0,0.0,26,0,0.0,142,121,0.852112676056338,0,0.0
off,B1,fixed_medium,127,143,132,0.9230769230769231,124,0,0.0,25,0,0.0,143,121,0.8461538461538461,0,0.0
off,B1,fixed_medium,128,139,133,0.9568345323741008,127,0,0.0,26,0,0.0,139,118,0.8489208633093526,0,0.0
off,B1,fixed_medium,129,152,127,0.8355263157894737,117,0,0.0,26,0,0.0,152,145,0.9539473684210527,0,0.0
off,B1,fixed_medium,130,152,127,0.8355263157894737,117,0,0.0,26,0,0.0,152,145,0.9539473684210527,0,0.0
off,P_star,adaptive,126,141,133,0.9432624113475178,125,0,0.0,26,0,0.0,141,120,0.851063829787234,0,0.0
off,P_star,adaptive,127,138,132,0.9565217391304348,124,0,0.0,25,0,0.0,138,116,0.8405797101449275,0,0.0
off,P_star,adaptive,128,138,133,0.9637681159420289,127,0,0.0,26,0,0.0,138,117,0.8478260869565217,0,0.0
off,P_star,adaptive,129,152,127,0.8355263157894737,117,0,0.0,26,0,0.0,152,146,0.9605263157894737,0,0.0
off,P_star,adaptive,130,152,127,0.8355263157894737,117,0,0.0,26,0,0.0,152,146,0.9605263157894737,0,0.0
off,P_star,fixed_medium,126,144,133,0.9236111111111112,125,0,0.0,26,0,0.0,144,123,0.8541666666666666,0,0.0
off,P_star,fixed_medium,127,140,132,0.9428571428571428,124,0,0.0,25,0,0.0,140,118,0.8428571428571429,0,0.0
off,P_star,fixed_medium,128,140,133,0.95,127,0,0.0,26,0,0.0,140,119,0.85,0,0.0
off,P_star,fixed_medium,129,152,127,0.8355263157894737,117,0,0.0,26,0,0.0,152,146,0.9605263157894737,0,0.0
off,P_star,fixed_medium,130,150,127,0.8466666666666667,117,0,0.0,26,0,0.0,150,144,0.96,0,0.0
