authority,authority_label,predictor,predictor_label,risk,risk_label,init_id,init_speed_mps,start_longitudinal_offset_m,execution_complete,competence_gate_pass,formal_rollout_pass,legacy_target_first_yield,completion_valid,fixed_geometry_outcome,early_conflict_entry,target_cleared_before_entry,never_entered_fixed_zone,footprint_collision,completion_time_s,min_footprint_separation_m,min_center_distance_m,solver_failure_fraction,average_solve_time_s,max_abs_lateral_error_m,completion_lateral_error_m,postcarla_status,postcarla_errors,rows,any_request_rows,post_request_rows,post_applied_rows,bypass_request_rows,bypass_applied_rows,solver_attempt_rows,solver_optimal_rows,actual_command_diff_rows,any_request_frac,post_applied_frac,bypass_applied_frac,solver_optimal_frac,actual_command_diff_frac
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,126,9.834648303069205,-1.8254717304050727,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,1.3082510846435755,4.687563084653948,0.016666666666666666,0.0876551354180791,1.7569010297199408,-0.300954013070465,PASS,,180,133,53,53,31,31,149,146,53,0.7388888888888889,0.29444444444444445,0.17222222222222222,0.9798657718120806,0.29444444444444445
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,127,8.160775432779605,1.9981926688404101,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.700000129640102,1.1263413762088257,4.585395876368363,0.005714285714285714,0.09072919754022987,1.3932049705464693,-0.17032380119886498,PASS,,175,132,44,44,30,30,145,144,29,0.7542857142857143,0.25142857142857145,0.17142857142857143,0.993103448275862,0.1657142857142857
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,128,9.709431408440656,-1.0392541658079462,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,9.00000013411045,1.3595873676395993,4.739284377155182,0.022099447513812154,0.09163988589830509,1.6440334638341436,-0.4182541492427284,PASS,,181,133,54,54,31,31,150,146,54,0.7348066298342542,0.2983425414364641,0.1712707182320442,0.9733333333333334,0.2983425414364641
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,129,8.289354794742726,-1.8591227838987705,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.4589411845859412,4.834278327272746,0.0,0.08597169785227274,1.1745052064134391,-0.030363075683968437,PASS,,176,127,39,39,31,31,145,145,35,0.7215909090909091,0.2215909090909091,0.17613636363636365,1.0,0.19886363636363635
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,130,8.358482155458335,-1.909616548833755,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.75000013038516,1.5069525005271438,4.869668471489715,0.0,0.08728522347727273,1.2269082725472917,-0.04657378440110219,PASS,,176,127,40,40,31,31,145,145,36,0.7215909090909091,0.22727272727272727,0.17613636363636365,1.0,0.20454545454545456
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,131,9.569346946598449,1.297250385425902,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,0.7455907828624309,4.220365894514755,0.022222222222222223,0.11151972314772728,1.6815444105329973,-0.29128975891185255,PASS,,180,132,55,55,30,30,150,146,55,0.7333333333333333,0.3055555555555556,0.16666666666666666,0.9733333333333334,0.3055555555555556
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,132,9.79084811322419,-2.057787427905799,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.950000133365393,1.3773727691776252,4.744709717220137,0.016666666666666666,0.08460100550282487,1.769139336584059,-0.28660127080086345,PASS,,180,132,52,52,31,31,149,146,52,0.7333333333333333,0.28888888888888886,0.17222222222222222,0.9798657718120806,0.28888888888888886
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,133,8.921468652144595,1.315758718031688,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.450000125914812,1.0828781480350254,4.515542052832983,0.01764705882352941,0.0939891128502994,1.4792251111231671,-0.21588837235160768,PASS,,170,132,41,41,26,26,144,141,41,0.7764705882352941,0.2411764705882353,0.15294117647058825,0.9791666666666666,0.2411764705882353
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,134,8.07696736440444,-1.3019072300690582,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.650000128895044,1.2665197298226514,4.660783486583297,0.005747126436781609,0.0874332495317919,1.2236941902716088,-0.07210785957816256,PASS,,174,123,38,38,24,24,150,149,38,0.7068965517241379,0.21839080459770116,0.13793103448275862,0.9933333333333333,0.21839080459770116
on,Authority on,B1,Retrained MultiPath,adaptive,Adaptive,135,8.630610520425076,-0.4060810503853973,1,1,1,1,1,target_cleared_before_ego_entry,0,1,0,0,8.800000131130219,1.6928280729284364,5.019018858309679,0.011299435028248588,0.09267481597714286,1.823805349709584,-0.36133002996567454,PASS,,177,130,44,44,30,30,147,145,34,0.7344632768361582,0.24858757062146894,0.1694915254237288,0.9863945578231292,0.192090395480226
