metric,contrast,effect,ci_low,ci_high,exact_two_sided_sign_flip_p,independent_initialisation_groups,group_differences
competence_gate_pass,Supervisor authority on minus off,0.6,0.2,1.0,0.25,5,"[1.0, 1.0, 1.0, 0.0, 0.0]"
completion_valid,Supervisor authority on minus off,0.0,0.0,0.0,1.0,5,"[0.0, 0.0, 0.0, 0.0, 0.0]"
early_conflict_entry,Supervisor authority on minus off,-0.6,-1.0,-0.2,0.25,5,"[-1.0, -1.0, -1.0, 0.0, 0.0]"
footprint_collision,Supervisor authority on minus off,-0.2,-0.6,0.0,1.0,5,"[0.0, -1.0, 0.0, 0.0, 0.0]"
completion_time_s,Supervisor authority on minus off,1.6325000243261456,1.3500000201165676,1.9150000285357236,0.0625,5,"[1.9125000284984708, 1.675000024959445, 2.037500030361116, 1.312500019557774, 1.2250000182539225]"
min_footprint_separation_m,Supervisor authority on minus off,-0.024506011236139314,-0.9850259994935936,0.9360139770213148,1.0,5,"[0.42513601211291185, 1.1742825572903053, 0.953184379206526, -1.3652456863839506, -1.309887318406489]"
solver_failure_fraction,Supervisor authority on minus off,-0.09882918187369291,-0.1393215063618971,-0.05833685738548873,0.0625,5,"[-0.1326358184864053, -0.1511324164776799, -0.12907106188131515, -0.03999125874125874, -0.04131535378180551]"
average_solve_time_s,Supervisor authority on minus off,-0.016083339857313524,-0.021673680690769463,-0.009879162380980019,0.0625,5,"[-0.011997814120102354, -0.02501673556429093, -0.005616303765426656, -0.017236759348229908, -0.020549086488517776]"
max_abs_lateral_error_m,Supervisor authority on minus off,-4.021883342186116,-4.314411997985099,-3.699771472815369,0.0625,5,"[-4.0308213921782166, -3.38418075450965, -3.9237952653690726, -4.4225198351788215, -4.348099463694816]"
any_request_frac,Supervisor authority on minus off,-0.1680789332548223,-0.20217875811419322,-0.13397910839545135,0.0625,5,"[-0.19706002552348956, -0.18158599846511692, -0.21759387052943502, -0.12708179977916811, -0.11707297197690181]"
post_applied_frac,Supervisor authority on minus off,0.2605335209450683,0.2280289369812225,0.29303810490891424,0.0625,5,"[0.2968001841620626, 0.25030702256845, 0.31064156682599786, 0.21875, 0.22616883116883119]"
bypass_applied_frac,Supervisor authority on minus off,0.17310618662616445,0.17060907724543545,0.17555254242002333,0.0625,5,"[0.1719843462246777, 0.16830822545537863, 0.17271401080141535, 0.17613636363636365, 0.17638798701298702]"
solver_optimal_frac,Supervisor authority on minus off,0.09703127281421287,0.05740623804606515,0.13665630758236058,0.0625,5,"[0.129464244951359, 0.14996754141244395, 0.12441796518419701, 0.03999125874125875, 0.04131535378180562]"
