t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
0,0,-0.7345738174,-0.138336182,7.703005791,-4.091091142,-0.01766775216,-0.002737948722,-0.3000003235,127.49308,1.64,0.9494974165,,0,0,0.3333333333
0.05,1,-0.7355785505,-0.1411730461,7.90131105,3.966103508,-0.2494293507,0.01563026158,0.2494543501,112.149599,1.68,0.9535213421,16.66306931,0,0,0.3333333333
0.1,2,-0.7363145843,-0.130706788,7.696679595,-4.092651308,-0.5482414085,0.03055289013,0.548260045,77.5337,1.68,0.9535213421,16.66306931,0,0,0.3333333333
0.15,3,-0.7361866591,-0.07870484143,7.894887469,3.96375496,-4,0.1762095043,2.983885009,144.999581,1.68,0.9535213421,15.46306931,1,0,0.3333333333
0.2,4,-0.7325983212,0.1334533393,7.663492109,-4.635205721,-4,0.1762095043,2.444317438,154.062089,1.68,0.9535213421,15.46306931,1,0,0.3333333333
0.25,5,-0.7246211671,0.5230407119,7.832189629,3.360655269,-4,0.1762095043,3.000000083,108.307472,1.68,0.9535213421,15.46306931,1,0,0.3333333333
0.3,6,-0.7116640208,1.065918088,7.573917985,-5.188453102,-6,0.1762095043,5.000006159,103.319423,1.8,0.9640696809,14.25106929,1,0,0.3333333333
0.35,7,-0.6916312147,1.817976509,7.698468843,2.445431001,-7,0.1762095043,5.999991247,90.106967,1.8,0.9640696809,14.25106929,1,0,0.3333333333
0.4,8,-0.6652779097,2.699324403,7.36620687,-6.687494803,-7,0.1762095043,6.000016678,106.41186,1.8,0.9640696809,14.25106929,1,0,0.3333333333
0.45,9,-0.6324784558,3.664688144,7.43298479,1.281079362,-7,0.1762095043,6.000000579,126.716946,1.8,0.9640696809,13.03638515,1,0,0.3333333333
0.5,10,-0.5922160421,4.272818654,7.056184687,-7.578660115,-7,0.1762095043,6.391204866,172.03733,1.8,0.9640696809,13.03638515,1,0,0.3333333333
0.55,11,-0.5505284042,5.277459233,7.105831558,0.9362791164,-7,0.1762095043,6.337653951,84.5538,1.8,0.9640696809,13.03638515,1,0,0.3333333333
0.6,12,-0.5042190028,6.268398373,6.697381457,-8.212550286,-7,0.1762095043,6.235100138,110.414519,1.8,0.9640696809,11.83101688,1,0,0.3333333333
0.65,13,-0.4620557276,2.982191946,6.737859968,0.751376861,-7,0.1762095043,6.206122154,88.605057,1.8,0.9640696809,11.83101688,1,0,0.3333333333
0.7,14,-0.4307711458,3.943406488,6.320037487,-8.399765536,-7,0.1762095043,6.205726816,105.688933,1.8,0.9640696809,11.83101688,1,0,0.3333333333
0.75,15,-0.3944097913,4.895710375,6.362249554,0.7846876092,-7,0.1762095043,6.387763748,135.226949,1.8,0.9640696809,11.83101688,1,0,0.3333333333
0.8,16,-0.3562408868,1.263420256,5.939491557,-8.497712832,-7,0.1762095043,6.290553611,121.433243,1.8,0.9640696809,10.64696449,1,0,0.3333333333
0.85,17,-0.3354658731,2.168026122,5.984997136,0.8498528721,-7,0.1762095043,6.238662437,103.872047,1.8,0.9640696809,10.64696449,1,0,0.3333333333
0.9,18,-0.3126848021,3.345823439,5.097758609,-17.76282464,-7,0.1762095043,10.00000003,0,1.8,0.9640696809,10.64696449,1,0,0.4557198882
0.95,19,-0.2911635213,4.549038085,4.075635839,-20.45546548,-7,0.1762095043,10.00000003,0,1.8,0.9640696809,10.64696449,1,0,0.4809589684
1,20,-0.2716652327,5.430264624,3.005933408,-21.40887966,-7,0.1762095043,7,0,1.8,0.9640696809,10.64696449,1,0,0.5248350501
1.05,21,-0.2605804222,1.506137682,1.922699393,-21.67079001,1.430920243,-0.51051585,-1.88153217,107.927048,1.8,0.9640696809,10.64696449,0,0,0.4787370861
1.1,22,-0.2577226262,1.865757777,0.7207813743,-24.03335791,-0.5690797572,0.1762095043,0.5690797572,0,1.8,0.9640696809,9.496227967,1,0,0.4737522602
1.15,23,-0.2576865001,1.864202334,0.4566721988,-5.285815999,-2.569079757,0.1762095043,2.569079757,0,1.8,0.9640696809,9.496227967,1,0,0.5347197056
1.2,24,-0.257740591,1.860480143,0.003771641563,-9.200501395,-4.569079757,0.1762095043,4.569079757,0,1.8,0.9640696809,9.496227967,1,0,0.6229981184
1.25,25,-0.2577335657,1.860383822,0.004904612273,-0.02405976255,-6.569079757,0.1762095043,6.569079757,0,1.8,0.9640696809,9.496227967,1,0,0.8748508692
1.3,26,-0.2577179667,1.860357119,0.004479069178,0.008176722266,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8161031604
1.35,27,-0.2576961657,1.860359026,0.003672996371,0.01607514414,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8613651991
1.4,28,-0.2576744423,1.860418154,0.002881532797,0.01564579989,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8839219213
1.45,29,-0.2576539233,1.860480143,0.002207737715,0.01323642912,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.815256536
1.5,30,-0.2576373151,1.860508753,0.001670423436,0.01044485751,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.7132216692
1.55,31,-0.2576247986,1.860539271,0.001254228569,0.008008001697,-7,0.1762095043,7,0,1.8,0.9640696809,9.496227967,1,0,0.8211449385
