t,step,ey,epsi_deg,speed,vehicle_accel,cmd_accel,cmd_yaw_or_steer,final_accel_delta,solve_time_ms,risk_tightening,target_prob,ego_distance_to_conflict,supervisor_active,target_cleared,top_mode_probability
0,0,-0.7345776205,-0.138336182,7.703007699,-4.091024385,-0.01798562169,-0.002744744759,-0.3000003235,49.655841,1.64,0.9494974165,,0,0,0.3333333333
0.05,1,-0.7355828281,-0.141179155,7.901309143,3.96602722,-0.2499540838,0.01563727537,0.2498637094,95.450379,1.64,0.9494974165,16.6630692,0,0,0.3333333333
0.1,2,-0.7363188596,-0.1307067871,7.696682457,-4.092555934,-0.5490563792,0.03058372904,0.5487161035,71.176744,1.64,0.9494974165,16.6630692,0,0,0.3333333333
0.15,3,-0.736722148,-0.1047363281,7.895080481,3.967893085,-4,0.1762095328,2.969619888,31.458808,1.64,0.9494974165,15.4630692,1,0,0.3333333333
0.2,4,-0.7339118093,0.07293701172,7.663652512,-4.634680826,-4,0.1762095328,2.433632679,93.287971,1.64,0.9494974165,15.4630692,1,0,0.3333333333
0.25,5,-0.7247578414,0.5343932509,7.813175465,2.965438395,-4,0.1762095328,4.000004389,52.050621,1.64,0.9494974165,15.4630692,1,0,0.3333333333
0.3,6,-0.7093953328,1.206115961,7.539805199,-5.500723182,-6,0.1762095328,6.000000033,32.184077,1.64,0.9494974165,14.25106919,1,0,0.3333333333
0.35,7,-0.6872738788,2.04179195,7.663498524,2.425848266,-7,0.1762095328,7.000000094,73.92222,1.64,0.9494974165,14.25106919,1,0,0.3333333333
0.4,8,-0.6591736666,2.959944521,7.331593517,-6.680627894,-7,0.1762095328,6.999792874,76.589537,1.64,0.9494974165,14.25106919,1,0,0.3333333333
0.45,9,-0.6247291609,3.939956938,7.399533178,1.3043694,-7,0.1762095328,7.000010091,122.653982,1.64,0.9494974165,13.03638505,1,0,0.3333333333
0.5,10,-0.5827802182,4.556999772,7.010796659,-7.818123854,-7,0.1762095328,7.000208445,99.492358,1.64,0.9494974165,13.03638505,1,0,0.3333333333
0.55,11,-0.5395855496,5.564905255,7.056267277,0.8528251423,-7,0.1762095328,6.999672836,81.138447,1.64,0.9494974165,13.03638505,1,0,0.3333333333
0.6,12,-0.4918863626,6.553920834,6.647292495,-8.222945788,-7,0.1762095328,6.999992349,99.687616,1.64,0.9494974165,11.83101678,1,0,0.3333333333
0.65,13,-0.4471421391,3.26200905,6.691089931,0.8179671114,-7,0.1762095328,6.700328018,104.689049,1.64,0.9494974165,11.83101678,1,0,0.3333333333
0.7,14,-0.4144870383,4.216386225,6.273601351,-8.393070727,-7,0.1762095328,6.700286594,58.409916,1.64,0.9494974165,11.83101678,1,0,0.3333333333
0.75,15,-0.3768495644,5.162098314,6.316434295,0.7969755615,-7,0.1762095328,6.876786486,63.755719,1.64,0.9494974165,11.83101678,1,0,0.3333333333
0.8,16,-0.3356714108,1.523308905,5.893385405,-8.50339226,-7,0.1762095328,7.000026329,82.421758,1.64,0.9494974165,10.64696439,1,0,0.3333333333
0.85,17,-0.3136985721,2.46282688,5.808215393,-1.761768529,-7,0.1762095328,7.000022842,64.49796,1.64,0.9494974165,10.64696439,1,0,0.3333333333
0.9,18,-0.2900742586,3.775662573,4.924871645,-17.6830029,-7,0.1762095328,10.70000004,0,1.64,0.9494974165,10.64696439,1,0,0.4553853571
0.95,19,-0.2675677633,4.997589263,3.90533091,-20.40533271,-7,0.1762095328,10.70000004,0,1.64,0.9494974165,10.64696439,1,0,0.4842354953
1,20,-0.2475607431,5.865260275,2.836874407,-21.38496394,-0.9224577411,0.1762095328,0.9224577411,0,1.64,0.9494974165,10.64696439,1,0,0.5300226808
1.05,21,-0.2317950587,1.922308756,1.774081755,-21.26165522,1.490367298,-0.5000321103,-1.853735567,130.530456,1.64,0.9494974165,10.64696439,0,0,0.4779745936
1.1,22,-0.2285518636,2.108376337,1.570917693,-4.05678713,1.571632923,-0.4394111342,-2.867767594,204.853966,1.64,0.9494974165,10.64696439,0,0,0.4679265022
1.15,23,-0.2283372793,1.986607386,1.522725747,-0.9775196596,-0.4283670774,0.1762095328,0.4283670774,0,1.64,0.9494974165,9.496227878,1,0,0.5391967893
1.2,24,-0.2280835709,1.875309778,1.568467178,0.9166795387,-2.428367077,0.1762095328,2.428367077,0,1.64,0.9494974165,9.496227878,1,0,0.6123010516
1.25,25,-0.2266509507,1.852542712,0.8331209328,-14.69619838,-4.428367077,0.1762095328,4.428367077,0,1.64,0.9494974165,9.496227878,1,0,0.8719444275
1.3,26,-0.2264810883,1.850528551,0.001625506482,-16.6305193,-6.428367077,0.1762095328,6.428367077,0,1.64,0.9494974165,9.496227878,1,0,0.81440413
1.35,27,-0.2264870876,1.850529505,0.002478330383,-0.07901014652,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8555532694
1.4,28,-0.2264744464,1.850531412,0.003140532342,-0.01324462348,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8812763691
1.45,29,-0.226454882,1.850560976,0.002836829499,0.005969100047,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8185654879
1.5,30,-0.226436174,1.850589587,0.002308096699,0.01039980068,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.7139651179
1.55,31,-0.2264190523,1.850652529,0.001796057924,0.01000312877,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8209773302
1.6,32,-0.2264034965,1.850684954,0.001367425189,0.0082996832,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8538655639
1.65,33,-0.2263924548,1.850714518,0.001029281984,0.006497605661,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9323070645
1.7,34,-0.2263835974,1.850743128,0.0007701347359,0.004944474734,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9594891667
1.75,35,-0.2263766727,1.850773646,0.000573989666,0.003715911818,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9735751152
1.8,36,-0.2263716501,1.850775553,0.0004269521736,0.002768780431,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9718829989
1.85,37,-0.226367599,1.850807024,0.0003171304611,0.002059418947,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9657539129
1.9,38,-0.2263668692,1.850807024,0.0001672712122,0.002759614769,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9733277559
1.95,39,-0.2263645041,1.850807024,0.0001830011983,-0.0002745277197,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9785735011
2,40,-0.226362144,1.850807024,0.0001574788286,0.0004746612126,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.9205302596
2.05,41,-0.2263593362,1.850807024,0.0001254878053,0.0006053018844,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8628236651
2.1,42,-0.2263606793,1.850835634,8.53808797e-05,0.0005948121276,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.8029278517
2.15,43,-0.226362259,1.850835634,6.410781138e-05,0.0004249378327,-7,0.1762095328,7,0,1.64,0.9494974165,9.496227878,1,0,0.5496103764
